Common name,Total catch,Method
alewife,68,Seining
american eel,1,Seining
asian shore crab,1,Seining
atlantic herring,1784,Seining
atlantic mackerel,1,Seining
atlantic moonfish,1,Seining
atlantic saury,2,Seining
atlantic silverside,12120,Seining
atlantic tomcod,99,Seining
bluefish,31,Seining
crevalle jack,11,Seining
fallfish,28,Seining
green crab,526,Seining
grubby sculpin,21,Seining
longhorn sculpin,2,Seining
mummichog,1732,Seining
ninespine stickleback,2,Seining
northern pipefish,15,Seining
permit,12,Seining
pollock,2,Seining
red hake,1,Seining
sandlance,21,Seining
sculpin spp,1,Seining
sturgeon spp,1,Seining
threespine stickleback,6,Seining
white mullet,115,Seining
white perch,4,Seining
winter flounder,94,Seining
cod,60,Jigging
cunner,5,Jigging
longhorn sculpin,6,Jigging
mackerel,60,Jigging
pollock,184,Jigging
redfish,8,Jigging
sea raven,2,Jigging
shorthorn sculpin,1,Jigging
whiting,6,Jigging
