species_name,year,Group,lambda,week,mu,ll,ul,overlap,min.length,max.length,agemax,Linf,range,coverage
atlantic herring,2014,1,0.295029731,26,46.84222098,43.67668534,63.94939677,0,14,137,25,450,20.27271144,0.014069047
atlantic herring,2014,1,0.807073846,29,57.95533761,49.60282034,66.30785487,0,14,137,25,450,16.70503453,0.037122299
atlantic herring,2014,1,1,30,61.6394893,50.18200938,73.09696922,0,14,137,25,450,22.91495984,0.050922133
atlantic herring,2014,1,1,32,74.05418568,64.13281997,83.97555139,0,14,137,25,450,19.84273142,0.044094959
atlantic herring,2014,1,0.846797406,33,67.64602963,60.30831017,74.98374909,0,14,137,25,450,14.67543892,0.032612086
atlantic herring,2015,1,1,27,55.86499794,41.32143746,70.40855843,0,14,137,25,450,29.08712097,0.064638047
atlantic herring,2015,1,1,30,71.92358082,57.61504778,86.23211385,0,14,137,25,450,28.61706607,0.06359348
atlantic herring,2016,1,0.410286536,24,59.22998882,52.91860657,83.04271759,0,14,137,25,450,30.12411102,0.028050588
atlantic herring,2016,1,1,25,60.55497505,50.30249728,70.80745283,0,14,137,25,450,20.50495555,0.045566568
atlantic herring,2016,1,1,26,73.46738936,59.74247284,87.19230587,0,14,137,25,450,27.44983303,0.060999629
atlantic herring,2017,1,0.299654065,25,56.98965556,53.67281915,68.515706,0,14,137,25,450,14.84288685,0.014741495
atlantic herring,2017,1,0.720617903,26,60.36824461,54.76997875,65.96651048,0,14,137,25,450,11.19653173,0.024881182
atlantic herring,2017,1,0.644376264,28,65.21756856,53.1732762,77.26186092,0,14,137,25,450,24.08858472,0.053530188
atlantic herring,2018,1,1,24,58.56557779,51.71579383,65.41536174,0,14,137,25,450,13.69956791,0.030443484
atlantic herring,2018,1,1,28,75.71285469,63.7576333,87.66807607,0,14,137,25,450,23.91044276,0.053134317
atlantic herring,2018,1,1,32,97.40522759,87.11089258,107.6995626,0,14,137,25,450,20.58867002,0.0457526
atlantic herring,2020,1,1,26,58.89333477,47.18753958,70.59912996,0,14,137,25,450,23.41159038,0.052025756
atlantic herring,2020,1,1,28,66.24697805,55.27845779,77.21549831,0,14,137,25,450,21.93704053,0.048748979
atlantic herring,2020,1,1,30,72.00832984,63.47810675,80.53855292,0,14,137,25,450,17.06044617,0.037912103
atlantic herring,2020,1,0.819996621,34,96.3695837,85.63982539,107.099342,0,14,137,25,450,21.45951662,0.047687815
atlantic herring,2020,1,1,36,89.92687709,71.83226557,108.0214886,0,14,137,25,450,36.18922304,0.080420496
atlantic herring,2021,1,2.53787017400414e-07,24,48.38831987,43.34412861,53.43251114,0,14,137,25,450,10.08838253,0.022418628
atlantic herring,2021,1,0.802873336,25,54.2328257,42.18107121,66.28458019,15.69379982,14,137,25,450,24.10350898,0.053563353
atlantic herring,2021,1,1,26,55.3995956,47.55486584,63.24432535,0,14,137,25,450,15.68945951,0.034865466
atlantic herring,2021,1,1,27,56.39058507,45.8931175,66.88805264,0,14,137,25,450,20.99493514,0.046655411
atlantic herring,2021,1,1,28,61.92591712,43.77769402,80.07414023,0,14,137,25,450,36.29644621,0.080658769
atlantic herring,2022,1,0.751940953,24,56.52472411,50.83848769,62.21096053,0,14,137,25,450,11.37247284,0.025272162
