"date","site_name","bay_location","week","month","year","green.crab","tomcod","winter.flounder","sandlance","mummichog","atlantic.silverside","atlantic.herring","do_mg.l","salinity_ppt","temp_degc","TideHT.m","numeric.tide","shannon","simpson","substrate","weather","set_time"
2014-06-16,"Mackworth Island - Beach","Mid",25,6,2014,1,0,0,0,0,0,0,10.5,31.46,15.4,3.137,0.974014062977683,0,0,"sand/shell","sunny",2014-06-16 15:10:00
2014-06-16,"Mackworth Island - North","Mid",25,6,2014,1,6,2,0,0,0,0,10.4,32.83,15,1.41133333333333,0.511718045790517,1.2945451658449,0.644628099173554,"sand/mud/gravel","sunny",2014-06-16 11:20:00
2014-06-16,"Mussel Cove","Mid",25,6,2014,1,1,0,0,0,0,0,9.8,32.41,17.8,2.333,0.760951865873445,0.693147180559945,0.5,"mud","sunny",2014-06-16 12:20:00
2014-06-19,"Alewife Cove","Outer",25,6,2014,0,0,3,1,0,0,0,10.3,31.89,14.7,-0.109333333333333,0.0124103160752374,1.242453324894,0.666666666666667,"sand/gravel","sunny",2014-06-19 10:20:00
2014-06-19,"Audubon","Inner",25,6,2014,4,8,2,0,7,6,0,8.9,4.35,22,0.389,0.165173237753883,1.52032086608605,0.768175582990398,"sand/mud","sunny",2014-06-19 12:40:00
2014-06-19,"Back Cove","Mid",25,6,2014,1,0,0,0,0,1,0,8.9,32.06,17.6,2.4835,0.790770609318996,0.693147180559945,0.5,"mud/gravel","sunny",2014-06-19 15:15:00
2014-06-19,"Cushing Island","Outer",25,6,2014,3,20,1,0,0,0,0,14,33.03,16.1,-0.124666666666667,0.0117483074472322,1.08561042070116,0.57439446366782,"sand/mud","sunny",2014-06-19 11:10:00
2014-06-19,"Presumpscot Moorings","Inner",25,6,2014,0,0,1,0,2,1,0,9.3,0.28,21.8,1.8495,0.601403823178017,1.03972077083992,0.625,"mud/gravel","sunny",2014-06-19 14:25:00
2014-06-19,"Skitterygusset","Inner",25,6,2014,0,0,0,0,3,3,0,9.2,0.84,22.4,1.05,0.362604540023895,1.08219553003877,0.65625,"mud","sunny",2014-06-19 13:30:00
2014-06-27,"Audubon","Inner",26,6,2014,22,1,0,0,0,1,58,8,7.4,19.8,1.95266666666667,0.702982202982203,0.95763428657547,0.5092791314228,"sand/mud","sunny",2014-06-27 09:50:00
2014-06-27,"Great Diamond Island","Outer",26,6,2014,0,0,0,0,0,0,2079,9.8,30.28,18.4,2.76975,0.996875945405357,0,0,"sand/gravel","sunny",2014-06-27 11:55:00
2014-06-27,"Mackworth Island - North","Mid",26,6,2014,2,4,0,0,0,0,0,10.7,33.1,16.3,2.74383333333333,0.983888660359249,0.636514168294813,0.444444444444444,"sand/mud/gravel","sunny",2014-06-27 12:37:00
2014-06-27,"Mussel Cove","Mid",26,6,2014,0,0,0,0,0,1,8,9,31.62,17.3,2.6495,0.95436507936508,0.639031859650177,0.34,"mud","sunny",2014-06-27 11:15:00
2014-06-27,"Presumpscot Moorings","Inner",26,6,2014,0,0,0,0,2,0,0,9.2,0.15,21,2.311,0.832251082251082,0.636514168294813,0.444444444444444,"mud/gravel","sunny",2014-06-27 10:30:00
2014-07-01,"Back Cove","Mid",27,7,2014,10,1,0,0,2,3,0,8.1,29.77,20.3,1.52066666666667,0.510537473500436,1.04083983742324,0.5546875,"mud/gravel","sunny",2014-07-01 11:40:00
2014-07-01,"Cushing Island","Outer",27,7,2014,3,22,0,0,0,0,3,10.1,31.05,15.5,0.169,0.00175932441942285,1.26476459777138,0.650046168051708,"sand/mud","sunny",2014-07-01 08:30:00
2014-07-01,"Mackworth Island - Beach","Mid",27,7,2014,139,0,2,0,0,1,0,8.2,16.9,22.3,0.4935,0.126262626262626,0.115839937416148,0.0415592144415791,"sand/shell","sunny",2014-07-01 10:05:00
2014-07-01,"Skitterygusset","Inner",27,7,2014,0,0,0,0,29,1,0,8.9,0.86,23.4,0.985333333333333,0.31026312507794,0.146144746008564,0.0644444444444445,"mud","sunny",2014-07-01 10:55:00
2014-07-01,"SMCC","Outer",27,7,2014,4,0,0,0,0,0,0,9.3,29.02,16.5,0.235666666666667,0.0252169833450621,0.673011667009257,0.48,"sand/gravel","sunny",2014-07-01 07:50:00
2014-07-01,"The Brothers - North","Mid",27,7,2014,1,7,0,0,8,0,0,9.8,33.05,21.1,0.265,0.040778151889263,0.881532261188164,0.5546875,"gravel/shell","sunny",2014-07-01 09:25:00
2014-07-08,"Audubon","Inner",28,7,2014,6,0,0,0,0,1,0,8.1,6.66,24.1,NA,NA,0.377659327619408,0.189797282245489,"sand/mud","sunny",NA
2014-07-08,"Great Diamond Island","Outer",28,7,2014,0,0,0,0,0,0,24914,8.2,30.34,16,2.65633333333333,0.961358635863586,0,0,"sand/gravel","sunny",2014-07-08 08:35:00
2014-07-08,"Mackworth Island - North","Mid",28,7,2014,1,4,0,0,0,1,0,9.3,31.93,16.2,2.42833333333333,0.867299229922992,1.15374194270109,0.612244897959184,"sand/mud/gravel","sunny",2014-07-08 09:20:00
2014-07-08,"Presumpscot Moorings","Inner",28,7,2014,0,0,0,0,1,0,0,7.8,0.68,25.5,1.91133333333333,0.654015401540154,0.535961049709069,0.272189349112426,"mud/gravel","sunny",2014-07-08 10:20:00
2014-07-08,"SMCC","Outer",28,7,2014,6,0,4,0,0,0,0,8.5,32.19,14.6,1.5375,0.499793729372937,0.673011667009257,0.48,"sand/gravel","sunny",2014-07-08 10:55:00
2014-07-17,"Alewife Cove","Outer",29,7,2014,1,0,2,114,0,0,0,10,30.6,13.9,-0.0393333333333333,0.0707897957262544,0.718353981093521,0.430803231214754,"sand/gravel","mostly cloudy",2014-07-17 10:44:00
2014-07-17,"Back Cove","Mid",29,7,2014,1,0,1,0,0,0,5,8.8,32,15.6,1.65866666666667,0.550315353478302,0.442448663271601,0.206035379812695,"mud/gravel","sunny",2014-07-17 12:55:00
2014-07-17,"Cushing Island","Outer",29,7,2014,33,2,1,0,0,0,0,8.7,31.83,17.2,0.735,0.289466252471053,0.339878830414062,0.155864197530864,"sand/mud","sunny",2014-07-17 11:55:00
