"loc_id","date","site_name","site_id","bay_location","week","month","year","green crab","northern pipefish","shorthorn sculpin","tomcod","winter flounder","atlantic cod","sandlance","hake","mummichog","atlantic silverside","banded killifish","alewife","atlantic herring","striped bass","white hake","pollock","rock gunnel","unID sculpin","american shad","atlantic menhaden","unID shiner","smallmouth bass","bluefish","ninespine stickleback","red hake","spotted hake","longhorn sculpin","threespine stickleback","river herring","white sucker","blueback herring","smelt","horseshoe crab","common dab","largemouth bass","american eel","northern puffer","lumpfish","white mullet","mullet","golden shiner","emerald shiner","slimy sculpin","grubby sculpin","striped sculpin","unID sturgeon","shortnose sturgeon","periwinkle","butterfish","unID gunnel","shortfin squid","permit","crevalle jack","substrate","do_mg.l","salinity_ppt","temp_degc","TideHT.m","numeric.tide","shannon","simpson","logcrab","logshannon"
"2014_001_04","2014-06-16","Mussel Cove",4,"Mid",25,6,2014,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mud",9.8,32.41,17.8,2.333,0.760951865873445,0.693147180559945,0.5,1,0.732321259285659
"2014_001_06","2014-06-16","Mackworth Island - North",6,"Mid",25,6,2014,1,1,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mud/shell",10.4,32.83,15,1.41133333333333,0.511718045790517,1.2945451658449,0.644628099173554,1,1.24537351708757
"2014_001_07","2014-06-16","Mackworth Island - Beach",7,"Mid",25,6,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sand/shell",10.5,31.46,15.4,3.137,0.974014062977683,0,0,1,0
"2014_002_01","2014-06-19","Presumpscot Moorings",1,"Inner",25,6,2014,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mud/gravel",9.3,0.28,21.8,1.8495,0.601403823178017,1.03972077083992,0.625,0,1.03366357388618
"2014_002_02","2014-06-19","Skitterygusset",2,"Inner",25,6,2014,0,0,0,0,0,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mud",9.2,0.84,22.4,1.05,0.362604540023895,1.08219553003877,0.65625,0,1.06944849933029
"2014_002_03","2014-06-19","Audubon",3,"Inner",25,6,2014,4,0,0,8,2,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mud",8.9,4.35,22,0.389,0.165173237753883,1.52032086608605,0.768175582990398,1.5157165665104,1.42772632642148
"2014_002_08","2014-06-19","Back Cove",8,"Mid",25,6,2014,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mud",8.9,32.06,17.6,2.4835,0.790770609318996,0.693147180559945,0.5,1,0.732321259285659
"2014_002_11","2014-06-19","Cushing Island",11,"Outer",25,6,2014,3,0,0,20,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mud",14,33.03,16.1,-0.124666666666667,0.0117483074472322,1.08561042070116,0.57439446366782,1.39038917031591,1.07231628835596
"2014_002_12","2014-06-19","Alewife Cove",12,"Outer",25,6,2014,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"gravel",10.3,31.89,14.7,-0.109333333333333,0.0124103160752374,1.242453324894,0.666666666666667,0,1.20264671742116
"2014_003_01","2014-06-27","Presumpscot Moorings",1,"Inner",26,6,2014,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mud/gravel",9.2,0.15,21,2.311,0.832251082251082,0.636514168294813,0.444444444444444,0,0.681140751041535
"2014_003_03","2014-06-27","Audubon",3,"Inner",26,6,2014,22,0,0,1,0,0,0,0,0,1,0,6,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mud",8,7.4,19.8,1.95266666666667,0.702982202982203,0.95763428657547,0.5092791314228,2.5277074255111,0.963872819955204
"2014_003_04","2014-06-27","Mussel Cove",4,"Mid",26,6,2014,0,0,0,0,0,0,0,0,0,1,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mud",9,31.62,17.3,2.6495,0.95436507936508,0.639031859650177,0.34,0,0.683430150323276
"2014_003_06","2014-06-27","Mackworth Island - North",6,"Mid",26,6,2014,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mud/shell",10.7,33.1,16.3,2.74383333333333,0.983888660359249,0.636514168294813,0.444444444444444,1.23114441334492,0.681140751041535
