Date,Obs.Time,Station.Num,Station.Name,Gauge.mm
6/1/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,0
6/2/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,0
6/3/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,17.8
6/4/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,8.9
6/5/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,16.8
6/6/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,3
6/7/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,0.5
6/8/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,1.5
6/9/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,  T  
6/10/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,  T  
6/11/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,0.5
6/12/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,0
6/13/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,0
6/14/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,6.9
6/15/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,2.8
6/16/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,  T  
6/17/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,1
6/18/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,38.6
6/19/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,  T  
6/20/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,1.5
6/21/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,1.8
6/22/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,0
6/23/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,0
6/24/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,0
6/25/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,5.8
6/26/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,0
6/27/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,20.3
6/28/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,0.5
6/29/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,4.6
6/30/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,0.2
7/1/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,0.5
7/2/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,0.5
7/3/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,37.1
7/4/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,5.3
7/5/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,3
7/6/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,0
7/7/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,0
7/8/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,0.2
7/9/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,0.5
7/10/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,0.8
7/11/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,9.1
7/12/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,0.8
7/13/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,  T  
7/14/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,0.5
7/15/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,14.7
7/16/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,  T  
7/17/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,26.7
7/18/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,0
7/19/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,0
7/20/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,2.8
7/21/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,0
7/22/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,6.1
7/23/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,0
7/24/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,0
7/25/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,0
7/26/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,0
7/27/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,0
7/28/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,9.4
7/29/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,0
7/30/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,11.9
7/31/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,0
8/1/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,4.6
8/2/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,0
8/3/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,0
8/4/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,2
8/5/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,15.7
8/6/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,0
8/7/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,0
8/8/2023, 7:00 AM , ME-CM-148 , Harpswell 3.1 WSW ,7.6
