date,time.gmt,temp.f
6/1/2023,00:00,52.2
6/1/2023,00:06,52
6/1/2023,00:12,52.2
6/1/2023,00:18,52.3
6/1/2023,00:24,52.3
6/1/2023,00:30,52.3
6/1/2023,00:36,52.3
6/1/2023,00:42,52.3
6/1/2023,00:48,52.3
6/1/2023,00:54,52.2
6/1/2023,01:00,52
6/1/2023,01:06,51.8
6/1/2023,01:12,51.8
6/1/2023,01:18,51.6
6/1/2023,01:24,51.6
6/1/2023,01:30,51.6
6/1/2023,01:36,51.8
6/1/2023,01:42,52
6/1/2023,01:48,52.2
6/1/2023,01:54,52.2
6/1/2023,02:00,51.8
6/1/2023,02:06,51.8
6/1/2023,02:12,51.8
6/1/2023,02:18,51.8
6/1/2023,02:24,51.8
6/1/2023,02:30,52
6/1/2023,02:36,52
6/1/2023,02:42,52
6/1/2023,02:48,52
6/1/2023,02:54,51.8
6/1/2023,03:00,52
6/1/2023,03:06,52
6/1/2023,03:12,52
6/1/2023,03:18,52.2
6/1/2023,03:24,52.2
6/1/2023,03:30,52.2
6/1/2023,03:36,52.2
6/1/2023,03:42,52.2
6/1/2023,03:48,52.2
6/1/2023,03:54,52.3
6/1/2023,04:00,52.7
6/1/2023,04:06,52.9
6/1/2023,04:12,52.9
6/1/2023,04:18,52.7
6/1/2023,04:24,52.7
6/1/2023,04:30,52.7
6/1/2023,04:36,52.9
6/1/2023,04:42,53.1
6/1/2023,04:48,53.1
6/1/2023,04:54,53.1
6/1/2023,05:00,53.1
6/1/2023,05:06,53.2
6/1/2023,05:12,53.2
6/1/2023,05:18,53.2
6/1/2023,05:24,53.2
6/1/2023,05:30,53.2
6/1/2023,05:36,53.4
6/1/2023,05:42,53.4
6/1/2023,05:48,53.6
6/1/2023,05:54,53.6
6/1/2023,06:00,53.8
6/1/2023,06:06,53.8
6/1/2023,06:12,53.6
6/1/2023,06:18,53.6
6/1/2023,06:24,53.6
6/1/2023,06:30,54
6/1/2023,06:36,54.1
6/1/2023,06:42,54.3
6/1/2023,06:48,54.3
6/1/2023,06:54,54.3
6/1/2023,07:00,54.3
6/1/2023,07:06,54.3
6/1/2023,07:12,54.3
6/1/2023,07:18,54.3
6/1/2023,07:24,54.3
6/1/2023,07:30,54.3
6/1/2023,07:36,54.3
6/1/2023,07:42,54.5
6/1/2023,07:48,54.5
6/1/2023,07:54,54.7
6/1/2023,08:00,54.9
6/1/2023,08:06,54.9
6/1/2023,08:12,55
6/1/2023,08:18,55
6/1/2023,08:24,55
6/1/2023,08:30,55
6/1/2023,08:36,55
6/1/2023,08:42,55
6/1/2023,08:48,54.9
6/1/2023,08:54,54.9
6/1/2023,09:00,54.9
6/1/2023,09:06,54.7
6/1/2023,09:12,54.7
6/1/2023,09:18,54.7
6/1/2023,09:24,54.5
6/1/2023,09:30,54.5
6/1/2023,09:36,54.7
6/1/2023,09:42,54.5
6/1/2023,09:48,54.5
6/1/2023,09:54,54.5
6/1/2023,10:00,54.7
6/1/2023,10:06,54.7
6/1/2023,10:12,54.9
6/1/2023,10:18,54.7
6/1/2023,10:24,54.7
6/1/2023,10:30,54.7
6/1/2023,10:36,54.5
6/1/2023,10:42,54.5
6/1/2023,10:48,54.3
6/1/2023,10:54,54.3
6/1/2023,11:00,54.3
6/1/2023,11:06,53.8
6/1/2023,11:12,53.6
6/1/2023,11:18,53.8
6/1/2023,11:24,53.8
6/1/2023,11:30,53.6
6/1/2023,11:36,53.2
6/1/2023,11:42,53.1
6/1/2023,11:48,52.9
6/1/2023,11:54,52.9
6/1/2023,12:00,52.9
6/1/2023,12:06,52.9
6/1/2023,12:12,52.9
6/1/2023,12:18,53.1
6/1/2023,12:24,53.1
6/1/2023,12:30,53.2
6/1/2023,12:36,53.2
6/1/2023,12:42,53.2
6/1/2023,12:48,53.2
6/1/2023,12:54,53.1
6/1/2023,13:00,53.1
6/1/2023,13:06,53.1
6/1/2023,13:12,53.1
6/1/2023,13:18,53.1
6/1/2023,13:24,52.9
6/1/2023,13:30,52.9
6/1/2023,13:36,52.9
6/1/2023,13:42,53.1
6/1/2023,13:48,53.1
6/1/2023,13:54,53.1
6/1/2023,14:00,53.1
6/1/2023,14:06,52.9
6/1/2023,14:12,52.9
6/1/2023,14:18,52.9
6/1/2023,14:24,53.1
6/1/2023,14:30,53.1
6/1/2023,14:36,53.1
6/1/2023,14:42,53.1
6/1/2023,14:48,53.2
6/1/2023,14:54,53.2
6/1/2023,15:00,53.2
6/1/2023,15:06,53.2
6/1/2023,15:12,53.2
6/1/2023,15:18,53.2
6/1/2023,15:24,53.2
6/1/2023,15:30,53.2
6/1/2023,15:36,53.2
6/1/2023,15:42,53.2
6/1/2023,15:48,53.2
6/1/2023,15:54,53.2
6/1/2023,16:00,53.4
6/1/2023,16:06,53.6
6/1/2023,16:12,53.6
6/1/2023,16:18,53.6
6/1/2023,16:24,53.4
6/1/2023,16:30,53.6
6/1/2023,16:36,53.6
6/1/2023,16:42,53.6
6/1/2023,16:48,53.6
6/1/2023,16:54,53.6
6/1/2023,17:00,53.4
6/1/2023,17:06,53.6
6/1/2023,17:12,53.6
6/1/2023,17:18,53.8
6/1/2023,17:24,54.3
6/1/2023,17:30,54.3
6/1/2023,17:36,54.7
6/1/2023,17:42,54.7
6/1/2023,17:48,54.7
6/1/2023,17:54,56.3
6/1/2023,18:00,56.7
6/1/2023,18:06,57
6/1/2023,18:12,57.7
6/1/2023,18:18,57.7
6/1/2023,18:24,57.6
6/1/2023,18:30,57.4
6/1/2023,18:36,57.9
6/1/2023,18:42,58.1
6/1/2023,18:48,57.7
6/1/2023,18:54,57.7
6/1/2023,19:00,57.9
6/1/2023,19:06,57.6
6/1/2023,19:12,57.7
6/1/2023,19:18,58.1
6/1/2023,19:24,58.1
6/1/2023,19:30,59.2
6/1/2023,19:36,59
6/1/2023,19:42,59.5
6/1/2023,19:48,59.9
6/1/2023,19:54,59.5
6/1/2023,20:00,57.7
6/1/2023,20:06,57.6
6/1/2023,20:12,57.7
6/1/2023,20:18,57.9
6/1/2023,20:24,58.1
6/1/2023,20:30,58.1
6/1/2023,20:36,58.1
6/1/2023,20:42,58.5
6/1/2023,20:48,58.8
6/1/2023,20:54,59.4
6/1/2023,21:00,59.2
6/1/2023,21:06,58.8
6/1/2023,21:12,58.5
6/1/2023,21:18,58.3
6/1/2023,21:24,58.1
6/1/2023,21:30,58.1
6/1/2023,21:36,57.7
6/1/2023,21:42,57.7
6/1/2023,21:48,57.9
6/1/2023,21:54,57.9
6/1/2023,22:00,57.7
6/1/2023,22:06,57.2
6/1/2023,22:12,57
6/1/2023,22:18,56.8
6/1/2023,22:24,56.1
6/1/2023,22:30,55.6
6/1/2023,22:36,55.4
6/1/2023,22:42,54.9
6/1/2023,22:48,54.1
6/1/2023,22:54,53.8
6/1/2023,23:00,53.6
6/1/2023,23:06,53.4
6/1/2023,23:12,53.2
6/1/2023,23:18,53.2
6/1/2023,23:24,53.2
6/1/2023,23:30,53.2
6/1/2023,23:36,53.2
6/1/2023,23:42,53.2
6/1/2023,23:48,53.2
6/1/2023,23:54,53.4
6/2/2023,00:00,53.4
6/2/2023,00:06,53.6
6/2/2023,00:12,53.6
6/2/2023,00:18,53.6
6/2/2023,00:24,53.6
6/2/2023,00:30,53.6
6/2/2023,00:36,53.6
6/2/2023,00:42,53.4
6/2/2023,00:48,53.4
6/2/2023,00:54,53.6
6/2/2023,01:00,53.6
6/2/2023,01:06,53.4
6/2/2023,01:12,53.2
6/2/2023,01:18,53.2
6/2/2023,01:24,53.2
6/2/2023,01:30,53.4
6/2/2023,01:36,53.4
6/2/2023,01:42,53.6
6/2/2023,01:48,53.6
6/2/2023,01:54,53.8
6/2/2023,02:00,53.6
6/2/2023,02:06,53.4
6/2/2023,02:12,53.4
6/2/2023,02:18,53.4
6/2/2023,02:24,53.6
6/2/2023,02:30,53.6
6/2/2023,02:36,53.6
6/2/2023,02:42,53.8
6/2/2023,02:48,53.8
6/2/2023,02:54,53.4
6/2/2023,03:00,53.4
6/2/2023,03:06,53.4
6/2/2023,03:12,53.4
6/2/2023,03:18,53.4
6/2/2023,03:24,53.6
6/2/2023,03:30,53.6
6/2/2023,03:36,53.6
6/2/2023,03:42,53.6
6/2/2023,03:48,53.8
6/2/2023,03:54,53.8
6/2/2023,04:00,53.8
6/2/2023,04:06,54
6/2/2023,04:12,54
6/2/2023,04:18,54
6/2/2023,04:24,54
6/2/2023,04:30,54
6/2/2023,04:36,54
6/2/2023,04:42,54
6/2/2023,04:48,54
6/2/2023,04:54,54.1
6/2/2023,05:00,54.1
6/2/2023,05:06,54.3
6/2/2023,05:12,54.5
6/2/2023,05:18,54.5
6/2/2023,05:24,54.5
6/2/2023,05:30,54.5
6/2/2023,05:36,54.5
6/2/2023,05:42,54.5
6/2/2023,05:48,54.7
6/2/2023,05:54,54.7
6/2/2023,06:00,54.7
6/2/2023,06:06,54.9
6/2/2023,06:12,55
6/2/2023,06:18,55.2
6/2/2023,06:24,55.6
6/2/2023,06:30,55.6
6/2/2023,06:36,55.8
6/2/2023,06:42,55.9
6/2/2023,06:48,56.3
6/2/2023,06:54,56.7
6/2/2023,07:00,56.8
6/2/2023,07:06,57
6/2/2023,07:12,57.2
6/2/2023,07:18,57.2
6/2/2023,07:24,57.2
6/2/2023,07:30,57.2
6/2/2023,07:36,57.2
6/2/2023,07:42,57.2
6/2/2023,07:48,57.2
6/2/2023,07:54,57.2
6/2/2023,08:00,57
6/2/2023,08:06,57
6/2/2023,08:12,57
