Date,Time_enter_exit_oven,Site,Oyster_ID,Oyster_length_mm,Oyster_width_mm,Whole oyster_weight_g,Wet_shell_weight_g,Wet_meat_weight_g,Dry_shell_weight_g,Dry_meat_weight_g,Index_1,Index _3,Cavity_volume,Difference_wet_dry_shell,Difference_cavity_vol_wet_meat,,,,
6/8/2023,,Snow Island ,SI_1A,75.9,59.82,61.946,42.79,10.499,40.636,1.8541,9.678951764,4.562703022,19.156,2.154,8.657,,,,
6/8/2023,,Snow Island ,SI_1B,72.09,50.64,38.351,25.807,6.133,24.653,0.999,7.963966837,4.052245163,12.544,1.154,6.411,,,,
6/8/2023,,Snow Island ,SI_1C,91,54.77,49.59,34.322,10.185,31.815,1.187,7.774430181,3.730944523,15.268,2.507,5.083,,,,
6/8/2023,,Snow Island ,SI_1D,66.41,45.98,32.812,23.062,8.427,21.609,0.821,8.420512821,3.799342866,9.75,1.453,1.323,,,,
6/8/2023,,Snow Island ,SI_1E,86.69,56.78,55.528,37.218,15.523,35.518,1.628,8.891316221,4.583591418,18.31,1.7,2.787,,,,
6/8/2023,,Dog's Head,DH_1A,80.47,54.09,42.995,29.084,8.003,26.997,1.215,8.73409532,4.500500056,13.911,2.087,5.908,,,,
6/8/2023,,Dog's Head,DH_1B,75.56,52.96,44.767,32.331,9.219,30.412,1.272,10.22836925,4.182559516,12.436,1.919,3.217,,,,
6/8/2023,,Dog's Head,DH_1C,65.93,52.9,33.816,21.986,8.684,20.565,1.343,11.35249366,6.530513008,11.83,1.421,3.146,,,,
6/8/2023,,Dog's Head,DH_1D,85.16,56.55,57.299,38.988,10.996,36.465,1.421,7.760362624,3.896887426,18.311,2.523,7.315,,,,
6/8/2023,,Dog's Head,DH_1E,72.97,53.05,31.909,22.935,6.277,21.993,0.818,9.115221752,3.719365253,8.974,0.942,2.697,,,,
6/13/2023,12:15,Snow Island ,SI_2A,66.22,55.31,50.092,-,-,36.189,0.731,#VALUE!,2.019950814,#VALUE!,#VALUE!,#VALUE!,,,,
6/13/2023,12:15,Snow Island ,SI_2B,80.91,59.71,39.282,26.031,11.021,24.29,0.927,6.995698438,3.816385344,13.251,1.741,2.23,,,,
6/13/2023,12:15,Snow Island ,SI_2C,78.64,57.81,67.457,49.742,12.796,46.539,1.523,8.597233983,3.27252412,17.715,3.203,4.919,,,,
6/13/2023,12:15,Snow Island ,SI_2D,70.6,51.77,49.984,37.052,7.798,34.837,0.947,7.322919889,2.718374142,12.932,2.215,5.134,,,,
6/13/2023,12:15,Snow Island ,SI_2E,81.17,58.85,86.653,61.764,17.021,58.603,2.085,8.377194745,3.557838336,24.889,3.161,7.868,,,,
6/13/2023,9:45:00 AM/10:45:00AM,Dog's Head,DH_2A,73.63,52.62,40.318,29.07,8.774,27.863,1.146,10.18847795,4.112981373,11.248,1.207,2.474,,,,
6/13/2023,9:45:00 AM/10:45:00AM,Dog's Head,DH_2B,63.71,48.37,29.163,20.178,4.11,19.517,0.56,6.232609905,2.869293436,8.985,0.661,4.875,,,,
6/13/2023,9:45:00 AM/10:45:00AM,Dog's Head,DH_2C,78.06,51.94,48.058,33.481,10.803,31.654,1.849,12.68436578,5.841283882,14.577,1.827,3.774,,,,
6/13/2023,9:45:00 AM/10:45:00AM,Dog's Head,DH_2D,69.83,57.87,39.451,28.235,7.723,27.196,1.05,9.361626248,3.860861891,11.216,1.039,3.493,,,,
6/13/2023,9:45:00 AM/10:45:00AM,Dog's Head,DH_2E,70.79,54.41,37.894,25.591,9.791,24.181,1.172,9.526131838,4.84678053,12.303,1.41,2.512,,,,
6/19/2023,11:00:00 AM,Snow Island ,SI_3A,67.63,56.15,62.575,41.843,11.398,39.708,1.935,9.333397646,4.873073436,20.732,2.135,9.334,,,,
