loc_id,date,site_name,site_id,bay_location,species_name,catch
2014_001_06,6/16/2014,Mackworth Island - North,06,Mid,green crab,1
2014_001_06,6/16/2014,Mackworth Island - North,06,Mid,northern pipefish,1
2014_001_06,6/16/2014,Mackworth Island - North,06,Mid,shorthorn sculpin,1
2014_001_06,6/16/2014,Mackworth Island - North,06,Mid,atlantic tomcod,6
2014_001_06,6/16/2014,Mackworth Island - North,06,Mid,winter flounder,2
2014_001_04,6/16/2014,Mussel Cove,04,Mid,green crab,1
2014_001_04,6/16/2014,Mussel Cove,04,Mid,atlantic tomcod,1
2014_001_07,6/16/2014,Mackworth Island - Beach,07,Mid,green crab,1
2014_002_12,6/19/2014,Alewife Cove,12,Outer,atlantic cod,1
2014_002_12,6/19/2014,Alewife Cove,12,Outer,sandlance,1
2014_002_12,6/19/2014,Alewife Cove,12,Outer,shorthorn sculpin,1
2014_002_12,6/19/2014,Alewife Cove,12,Outer,winter flounder,3
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic cod,9
2014_002_11,6/19/2014,Cushing Island,11,Outer,green crab,3
2014_002_11,6/19/2014,Cushing Island,11,Outer,hake spp,1
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic tomcod,20
2014_002_11,6/19/2014,Cushing Island,11,Outer,winter flounder,1
2014_002_03,6/19/2014,Audubon,03,Inner,green crab,4
2014_002_03,6/19/2014,Audubon,03,Inner,mummichog,7
2014_002_03,6/19/2014,Audubon,03,Inner,atlantic silverside,6
2014_002_03,6/19/2014,Audubon,03,Inner,atlantic tomcod,8
2014_002_03,6/19/2014,Audubon,03,Inner,winter flounder,2
2014_002_02,6/19/2014,Skitterygusset,02,Inner,killifish spp,2
2014_002_02,6/19/2014,Skitterygusset,02,Inner,mummichog,3
2014_002_02,6/19/2014,Skitterygusset,02,Inner,atlantic silverside,3
2014_002_01,6/19/2014,Presumpscot Moorings,01,Inner,mummichog,2
2014_002_01,6/19/2014,Presumpscot Moorings,01,Inner,atlantic silverside,1
2014_002_01,6/19/2014,Presumpscot Moorings,01,Inner,winter flounder,1
2014_002_08,6/19/2014,Back Cove,08,Mid,green crab,1
2014_002_08,6/19/2014,Back Cove,08,Mid,atlantic silverside,1
2014_003_03,6/27/2014,Audubon,03,Inner,alewife,6
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,58
2014_003_03,6/27/2014,Audubon,03,Inner,green crab,22
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic silverside,1
2014_003_03,6/27/2014,Audubon,03,Inner,striped bass,1
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic tomcod,1
2014_003_01,6/27/2014,Presumpscot Moorings,01,Inner,alewife,1
2014_003_01,6/27/2014,Presumpscot Moorings,01,Inner,mummichog,2
2014_003_04,6/27/2014,Mussel Cove,04,Mid,atlantic herring,8
2014_003_04,6/27/2014,Mussel Cove,04,Mid,atlantic silverside,1
2014_003_04,6/27/2014,Mussel Cove,04,Mid,striped bass,1
2014_003_09,6/27/2014,Great Diamond Island,09,Outer,atlantic herring,2079
2014_003_06,6/27/2014,Mackworth Island - North,06,Mid,green crab,2
2014_003_06,6/27/2014,Mackworth Island - North,06,Mid,atlantic tomcod,4
2014_004_10,7/1/2014,SMCC,10,Outer,green crab,4
2014_004_10,7/1/2014,SMCC,10,Outer,white hake,6
2014_004_11,7/1/2014,Cushing Island,11,Outer,atlantic herring,3
2014_004_11,7/1/2014,Cushing Island,11,Outer,green crab,3
2014_004_11,7/1/2014,Cushing Island,11,Outer,pollock,25
2014_004_11,7/1/2014,Cushing Island,11,Outer,rock gunnel,1
2014_004_11,7/1/2014,Cushing Island,11,Outer,sculpin spp,3
2014_004_11,7/1/2014,Cushing Island,11,Outer,atlantic tomcod,22
2014_004_05,7/1/2014,The Brothers - North,05,Mid,green crab,1
2014_004_05,7/1/2014,The Brothers - North,05,Mid,mummichog,8
2014_004_05,7/1/2014,The Brothers - North,05,Mid,atlantic tomcod,7
2014_004_07,7/1/2014,Mackworth Island - Beach,07,Mid,green crab,139
2014_004_07,7/1/2014,Mackworth Island - Beach,07,Mid,atlantic silverside,1
2014_004_07,7/1/2014,Mackworth Island - Beach,07,Mid,winter flounder,2
2014_004_02,7/1/2014,Skitterygusset,02,Inner,mummichog,29
2014_004_02,7/1/2014,Skitterygusset,02,Inner,atlantic silverside,1
2014_004_08,7/1/2014,Back Cove,08,Mid,green crab,10
2014_004_08,7/1/2014,Back Cove,08,Mid,mummichog,2
2014_004_08,7/1/2014,Back Cove,08,Mid,atlantic silverside,3
2014_004_08,7/1/2014,Back Cove,08,Mid,atlantic tomcod,1
2014_005_09,7/8/2014,Great Diamond Island,09,Outer,atlantic herring,24914
2014_005_06,7/8/2014,Mackworth Island - North,06,Mid,green crab,1
2014_005_06,7/8/2014,Mackworth Island - North,06,Mid,shorthorn sculpin,1
