"loc_id","date","site_name","site_id","bay_location","species_name","catch","week","month","year"
"2014_001_06",2014-06-16,"Mackworth Island - North","06","Mid","green crab",1,25,6,2014
"2014_001_06",2014-06-16,"Mackworth Island - North","06","Mid","northern pipefish",1,25,6,2014
"2014_001_06",2014-06-16,"Mackworth Island - North","06","Mid","shorthorn sculpin",1,25,6,2014
"2014_001_06",2014-06-16,"Mackworth Island - North","06","Mid","tomcod",6,25,6,2014
"2014_001_06",2014-06-16,"Mackworth Island - North","06","Mid","winter flounder",2,25,6,2014
"2014_001_04",2014-06-16,"Mussel Cove","04","Mid","green crab",1,25,6,2014
"2014_001_04",2014-06-16,"Mussel Cove","04","Mid","tomcod",1,25,6,2014
"2014_001_07",2014-06-16,"Mackworth Island - Beach","07","Mid","green crab",1,25,6,2014
"2014_002_12",2014-06-19,"Alewife Cove","12","Outer","atlantic cod",1,25,6,2014
"2014_002_12",2014-06-19,"Alewife Cove","12","Outer","sandlance",1,25,6,2014
"2014_002_12",2014-06-19,"Alewife Cove","12","Outer","shorthorn sculpin",1,25,6,2014
"2014_002_12",2014-06-19,"Alewife Cove","12","Outer","winter flounder",3,25,6,2014
"2014_002_11",2014-06-19,"Cushing Island","11","Outer","atlantic cod",9,25,6,2014
"2014_002_11",2014-06-19,"Cushing Island","11","Outer","green crab",3,25,6,2014
"2014_002_11",2014-06-19,"Cushing Island","11","Outer","hake",1,25,6,2014
"2014_002_11",2014-06-19,"Cushing Island","11","Outer","tomcod",20,25,6,2014
"2014_002_11",2014-06-19,"Cushing Island","11","Outer","winter flounder",1,25,6,2014
"2014_002_03",2014-06-19,"Audubon","03","Inner","green crab",4,25,6,2014
"2014_002_03",2014-06-19,"Audubon","03","Inner","mummichog",7,25,6,2014
"2014_002_03",2014-06-19,"Audubon","03","Inner","atlantic silverside",6,25,6,2014
"2014_002_03",2014-06-19,"Audubon","03","Inner","tomcod",8,25,6,2014
"2014_002_03",2014-06-19,"Audubon","03","Inner","winter flounder",2,25,6,2014
"2014_002_02",2014-06-19,"Skitterygusset","02","Inner","banded killifish",2,25,6,2014
"2014_002_02",2014-06-19,"Skitterygusset","02","Inner","mummichog",3,25,6,2014
"2014_002_02",2014-06-19,"Skitterygusset","02","Inner","atlantic silverside",3,25,6,2014
"2014_002_01",2014-06-19,"Presumpscot Moorings","01","Inner","mummichog",2,25,6,2014
"2014_002_01",2014-06-19,"Presumpscot Moorings","01","Inner","atlantic silverside",1,25,6,2014
"2014_002_01",2014-06-19,"Presumpscot Moorings","01","Inner","winter flounder",1,25,6,2014
"2014_002_08",2014-06-19,"Back Cove","08","Mid","green crab",1,25,6,2014
"2014_002_08",2014-06-19,"Back Cove","08","Mid","atlantic silverside",1,25,6,2014
"2014_003_03",2014-06-27,"Audubon","03","Inner","alewife",6,26,6,2014
"2014_003_03",2014-06-27,"Audubon","03","Inner","atlantic herring",58,26,6,2014
"2014_003_03",2014-06-27,"Audubon","03","Inner","green crab",22,26,6,2014
"2014_003_03",2014-06-27,"Audubon","03","Inner","atlantic silverside",1,26,6,2014
"2014_003_03",2014-06-27,"Audubon","03","Inner","striped bass",1,26,6,2014
"2014_003_03",2014-06-27,"Audubon","03","Inner","tomcod",1,26,6,2014
"2014_003_01",2014-06-27,"Presumpscot Moorings","01","Inner","alewife",1,26,6,2014
"2014_003_01",2014-06-27,"Presumpscot Moorings","01","Inner","mummichog",2,26,6,2014
"2014_003_04",2014-06-27,"Mussel Cove","04","Mid","atlantic herring",8,26,6,2014
"2014_003_04",2014-06-27,"Mussel Cove","04","Mid","atlantic silverside",1,26,6,2014
"2014_003_04",2014-06-27,"Mussel Cove","04","Mid","striped bass",1,26,6,2014
"2014_003_09",2014-06-27,"Great Diamond Island","09","Outer","atlantic herring",2079,26,6,2014
"2014_003_06",2014-06-27,"Mackworth Island - North","06","Mid","green crab",2,26,6,2014
"2014_003_06",2014-06-27,"Mackworth Island - North","06","Mid","tomcod",4,26,6,2014
"2014_004_10",2014-07-01,"SMCC","10","Outer","green crab",4,27,7,2014
"2014_004_10",2014-07-01,"SMCC","10","Outer","white hake",6,27,7,2014
"2014_004_11",2014-07-01,"Cushing Island","11","Outer","atlantic herring",3,27,7,2014
"2014_004_11",2014-07-01,"Cushing Island","11","Outer","green crab",3,27,7,2014
