loc_id,date,site_name,site_id,bay_location,species_name,sex,length_mm,notes
2014_001_06,6/16/2014,Mackworth Island - North,06,Mid,green crab,f,70,NA
2014_001_06,6/16/2014,Mackworth Island - North,06,Mid,northern pipefish,NA,153,NA
2014_001_06,6/16/2014,Mackworth Island - North,06,Mid,shorthorn sculpin,NA,29,Sculpin (Photo 1)
2014_001_06,6/16/2014,Mackworth Island - North,06,Mid,winter flounder,NA,85,Winter flounder?
2014_001_06,6/16/2014,Mackworth Island - North,06,Mid,winter flounder,NA,125,Winter flounder?
2014_001_06,6/16/2014,Mackworth Island - North,06,Mid,atlantic tomcod,NA,45,UnID- Tomcod?
2014_001_06,6/16/2014,Mackworth Island - North,06,Mid,atlantic tomcod,NA,41,UnID- Tomcod?
2014_001_06,6/16/2014,Mackworth Island - North,06,Mid,atlantic tomcod,NA,43,UnID- Tomcod?
2014_001_06,6/16/2014,Mackworth Island - North,06,Mid,atlantic tomcod,NA,57,UnID- Tomcod?
2014_001_06,6/16/2014,Mackworth Island - North,06,Mid,atlantic tomcod,NA,50,UnID- Tomcod?
2014_001_06,6/16/2014,Mackworth Island - North,06,Mid,atlantic tomcod,NA,49,UnID- Tomcod?
2014_001_04,6/16/2014,Mussel Cove,04,Mid,atlantic tomcod,NA,54,UnID (Same)
2014_001_04,6/16/2014,Mussel Cove,04,Mid,green crab,NA,9,NA
2014_001_07,6/16/2014,Mackworth Island - Beach,07,Mid,green crab,f,28,NA
2014_002_12,6/19/2014,Alewife Cove,12,Outer,winter flounder,NA,104,NA
2014_002_12,6/19/2014,Alewife Cove,12,Outer,winter flounder,NA,83,NA
2014_002_12,6/19/2014,Alewife Cove,12,Outer,winter flounder,NA,78,NA
2014_002_12,6/19/2014,Alewife Cove,12,Outer,sandlance,NA,65,NA
2014_002_12,6/19/2014,Alewife Cove,12,Outer,shorthorn sculpin,NA,64,NA
2014_002_12,6/19/2014,Alewife Cove,12,Outer,atlantic cod,NA,62,Found left in seine at the third site (Gizzland farm)
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic tomcod,NA,42,NA
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic tomcod,NA,51,NA
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic tomcod,NA,59,NA
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic tomcod,NA,38,NA
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic tomcod,NA,62,NA
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic tomcod,NA,43,NA
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic tomcod,NA,47,NA
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic tomcod,NA,62,NA
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic tomcod,NA,50,NA
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic tomcod,NA,41,NA
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic tomcod,NA,48,NA
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic tomcod,NA,53,NA
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic tomcod,NA,44,NA
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic tomcod,NA,43,NA
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic tomcod,NA,55,NA
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic tomcod,NA,54,NA
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic tomcod,NA,50,NA
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic tomcod,NA,61,NA
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic tomcod,NA,51,NA
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic tomcod,NA,42,NA
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic cod,NA,65,NA
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic cod,NA,63,NA
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic cod,NA,41,NA
