species_name,abbrev,sgroup,name
alewife,alewf,alewf,alewife
american eel,am.eel,am.eel,American eel
american shad,am.shd,am.shd,shad
asian shore crab,a.crab,a.crab,Asian shore crab
atlantic cod,atl.cod,atl.cod,Atlantic cod
atlantic herring,herring,herring,herring
atlantic mackerel,mckrl,mckrl,mackerel
atlantic menhaden,pogy,pogy,menhaden
atlantic moonfish,moonfsh,moonfsh,moonfish
atlantic saury,saury,saury,saury
atlantic silverside,slvrsd,slvrsd,silverside
atlantic tomcod,tomcod,tomcod,tomcod
blueback herring,b.hrrg,herring,herring
bluefish,bfsh,bfsh,bluefish
butterfish,bttrfsh,bttrfsh,butterfish
common dab,c.dab,c.dab,dab
common sucker,sucker,sucker,sucker
crevalle jack,cvl.jk,cvl.jk,crevalle jack
cunner,cunner,cunner,cunner
eastern silver minnow,e.s.mnw,e.s.mnw,eastern silver minnow
fallfish,fllfsh,fllfsh,fallfish
fourspine stickleback,4.stcbk,stcbk,stickleback
green crab,g.crab,g.crab,green crab
grubby sculpin,g.sculp,sculp,sculpin
hake spp,u.hake,hake,hake
killifish spp,kllfsh,kllfsh,killifish
largemouth bass,lgm.bss,lgm.bss,largemouth bass
longhorn sculpin,l.sculp,sculp,sculpin
lumpfish,lmpfsh,lmpfsh,lumpfish
mummichog,mmichg,mmichg,mummichog
ninespine stickleback,9.stcbk,stcbk,stickleback
northern pipefish,pipefsh,pipefsh,pipefish
northern puffer,n.pffr,n.pffr,puffer
permit,permit,permit,permit
pollock,pollck,pollck,pollock
red hake,r.hake,hake,hake
river herring,r.hrrg,herring,herring
rock gunnel,gunnel,gunnel,gunnel
sandlance,sndlnce,sndlnce,sandlance
sculpin spp,u.sculp,sculp,sculpin
shiner spp,shiner,shiner,shiner
shortfin squid,s.squid,s.squid,shortfin squid
shorthorn sculpin,s.sculp,sculp,sculpin
slimy sculpin,m.sculp,sculp,sculpin
smallmouth bass,sm.bss,sm.bss,smallmouth bass
smelt,smelt,smelt,smelt
spotted hake,s.hake,hake,hake
stickleback spp,u.stcbk,stcbk,stickleback
striped bass,str.bss,str.bss,striped bass
sturgeon spp,sturgn,sturgn,sturgeon
summer flounder,s.fldr,s.fldr,summer flounder
threespine stickleback,3.stcbk,stcbk,stickleback
white hake,w.hake,hake,hake
white mullet,w.mllt,w.mllt,white mullet
white perch,w.prch,w.prch,white perch
white sucker,w.sckr,w.sckr,white sucker
winter flounder,w.fldr,w.fldr,winter flounder
