"site_name","fetch","bathy","sea","aspect","birds","eelgrass","shells","struct"
"Alewife Cove",2,6,5,0,0,0,0,0
"Audubon",8,6,6,6,1,0,1,0
"Back Cove",8,6,6,4,1,0,0,0
"Cedar Beach",2,0,5,4,0,0,0,0
"Cushing Island",8,6,5,2,1,0,0,0
"Garrison Cove",8,6,5,2,1,1,1,1
"Great Diamond Island",2,6,5,4,1,0,0,0
"Long Point Cove",2,6,6,4,0,0,1,1
"Lowell Cove",2,6,5,4,1,0,1,1
"Mackworth Island - Beach",8,6,5,2,1,0,1,0
"Mackworth Island - North",8,6,0,0,1,0,0,0
"Mussel Cove",8,6,6,2,1,0,1,0
"Orrs Cove",8,6,0,6,0,0,1,0
"Presumpscot Moorings",8,6,6,4,1,0,0,0
"SMCC",6,6,0,0,0,0,0,1
"Skitterygusset",8,6,6,4,1,0,1,0
"Snow Island",8,6,6,6,0,0,1,0
"Stovers Point",8,0,5,4,1,0,0,1
"The Brothers - North",6,6,5,2,1,0,1,0
"The Brothers - South",6,6,0,4,1,0,0,0
