"loc_id","year","date","site_id","site_name","bay_location","substrate","set_time","weather","temp_degc","do_mg/l","salinity_ppt","hermit_crabs","shrimp","notes"
"2014_001_06",2014,2014-06-16,"06","Mackworth Island - North","Mid","mud/shell",2014-06-16 15:20:00,"sunny",15,10.4,32.83,NA,NA,NA
"2014_001_04",2014,2014-06-16,"04","Mussel Cove","Mid","mud",2014-06-16 16:20:00,"sunny",17.8,9.8,32.41,NA,NA,NA
"2014_001_09",2014,2014-06-16,"09","Great Diamond Island","Outer","sand/shell",2014-06-16 17:40:00,"sunny",14.8,10.7,31.76,NA,NA,NA
"2014_001_07",2014,2014-06-16,"07","Mackworth Island - Beach","Mid","sand/shell",2014-06-16 19:10:00,"sunny",15.4,10.5,31.46,NA,NA,NA
"2014_002_12",2014,2014-06-19,"12","Alewife Cove","Outer","gravel",2014-06-19 14:20:00,"sunny",14.7,10.3,31.89,NA,NA,"lots of seaweed at this site"
"2014_002_11",2014,2014-06-19,"11","Cushing Island","Outer","mud",2014-06-19 15:10:00,"sunny",16.1,14,33.03,NA,NA,"Ran the seine in a circular area from the boat (not the beach)"
"2014_002_03",2014,2014-06-19,"03","Audubon","Inner","mud",2014-06-19 16:40:00,"sunny",22,8.9,4.35,NA,NA,NA
"2014_002_02",2014,2014-06-19,"02","Skitterygusset","Inner","mud",2014-06-19 17:30:00,"sunny",22.4,9.2,0.84,NA,NA,NA
"2014_002_01",2014,2014-06-19,"01","Presumpscot Moorings","Inner","mud/gravel",2014-06-19 18:25:00,"sunny",21.8,9.3,0.28,NA,NA,NA
"2014_002_08",2014,2014-06-19,"08","Back Cove","Mid","mud",2014-06-19 19:15:00,"sunny",17.6,8.9,32.06,NA,NA,NA
"2014_003_12",2014,2014-06-27,"12","Alewife Cove","Outer","gravel",2014-06-27 12:50:00,"sunny",14.5,9,28.54,NA,NA,"no catch"
"2014_003_03",2014,2014-06-27,"03","Audubon","Inner","mud",2014-06-27 13:50:00,"sunny",19.8,8,7.4,NA,NA,NA
"2014_003_01",2014,2014-06-27,"01","Presumpscot Moorings","Inner","mud/gravel",2014-06-27 14:30:00,"sunny",21,9.2,0.15,NA,NA,NA
"2014_003_04",2014,2014-06-27,"04","Mussel Cove","Mid","mud",2014-06-27 15:15:00,"sunny",17.3,9,31.62,NA,NA,NA
"2014_003_09",2014,2014-06-27,"09","Great Diamond Island","Outer","sand/shell",2014-06-27 15:55:00,"sunny",18.4,9.8,30.28,NA,NA,NA
"2014_003_06",2014,2014-06-27,"06","Mackworth Island - North","Mid","mud/shell",2014-06-27 16:37:00,NA,16.3,10.7,33.1,NA,NA,NA
"2014_004_10",2014,2014-07-01,"10","SMCC","Outer","sand",2014-07-01 11:50:00,"sunny",16.5,9.3,29.02,NA,NA,NA
"2014_004_11",2014,2014-07-01,"11","Cushing Island","Outer","mud",2014-07-01 12:30:00,"sunny",15.5,10.1,31.05,NA,NA,NA
"2014_004_05",2014,2014-07-01,"05","The Brothers - North","Mid","mud/gravel",2014-07-01 13:25:00,"sunny",21.1,9.8,33.05,NA,NA,NA
