species_name,length_mm,week,year,Group
atlantic herring,44,26,2014,1
atlantic herring,44,26,2014,1
atlantic herring,45,26,2014,1
atlantic herring,45,26,2014,1
atlantic herring,46,26,2014,1
atlantic herring,46,26,2014,1
atlantic herring,46,26,2014,1
atlantic herring,46,26,2014,1
atlantic herring,47,26,2014,1
atlantic herring,47,26,2014,1
atlantic herring,47,26,2014,1
atlantic herring,48,26,2014,1
atlantic herring,48,26,2014,1
atlantic herring,48,26,2014,1
atlantic herring,48,26,2014,1
atlantic herring,48,26,2014,1
atlantic herring,48,26,2014,1
atlantic herring,49,26,2014,1
atlantic herring,49,26,2014,1
atlantic herring,49,26,2014,1
atlantic herring,49,26,2014,1
atlantic herring,51,26,2014,1
atlantic herring,51,26,2014,1
atlantic herring,52,26,2014,1
atlantic herring,52,26,2014,1
atlantic herring,52,26,2014,1
atlantic herring,54,26,2014,1
atlantic herring,54,26,2014,1
atlantic herring,54,26,2014,1
atlantic herring,54,26,2014,1
atlantic herring,54,26,2014,1
atlantic herring,55,26,2014,1
atlantic herring,55,26,2014,1
atlantic herring,55,26,2014,1
atlantic herring,56,26,2014,1
atlantic herring,56,26,2014,1
atlantic herring,56,26,2014,1
atlantic herring,56,26,2014,1
atlantic herring,56,26,2014,1
atlantic herring,56,26,2014,1
atlantic herring,56,26,2014,1
atlantic herring,56,26,2014,1
atlantic herring,56,26,2014,1
atlantic herring,56,26,2014,1
atlantic herring,56,26,2014,1
atlantic herring,57,26,2014,1
atlantic herring,57,26,2014,1
atlantic herring,57,26,2014,1
atlantic herring,57,26,2014,1
atlantic herring,57,26,2014,1
atlantic herring,57,26,2014,1
atlantic herring,57,26,2014,1
atlantic herring,58,26,2014,1
atlantic herring,58,26,2014,1
atlantic herring,60,26,2014,1
atlantic herring,61,26,2014,1
atlantic herring,61,26,2014,1
atlantic herring,47,27,2014,1
atlantic herring,51,27,2014,1
atlantic herring,55,27,2014,1
atlantic herring,50,28,2014,1
atlantic herring,50,28,2014,1
atlantic herring,51,28,2014,1
atlantic herring,51,28,2014,1
atlantic herring,51,28,2014,1
atlantic herring,51,28,2014,1
atlantic herring,51,28,2014,1
atlantic herring,51,28,2014,1
atlantic herring,51,28,2014,1
atlantic herring,51,28,2014,1
atlantic herring,51,28,2014,1
atlantic herring,51,28,2014,1
atlantic herring,52,28,2014,1
atlantic herring,52,28,2014,1
atlantic herring,52,28,2014,1
atlantic herring,52,28,2014,1
atlantic herring,52,28,2014,1
atlantic herring,53,28,2014,1
atlantic herring,53,28,2014,1
atlantic herring,53,28,2014,1
atlantic herring,53,28,2014,1
atlantic herring,51,29,2014,1
atlantic herring,52,29,2014,1
atlantic herring,52,29,2014,1
atlantic herring,53,29,2014,1
atlantic herring,53,29,2014,1
atlantic herring,53,29,2014,1
atlantic herring,53,29,2014,1
atlantic herring,54,29,2014,1
atlantic herring,54,29,2014,1
atlantic herring,54,29,2014,1
atlantic herring,54,29,2014,1
atlantic herring,54,29,2014,1
atlantic herring,54,29,2014,1
atlantic herring,55,29,2014,1
atlantic herring,55,29,2014,1
atlantic herring,56,29,2014,1
atlantic herring,56,29,2014,1
atlantic herring,56,29,2014,1
atlantic herring,56,29,2014,1
atlantic herring,57,29,2014,1
atlantic herring,57,29,2014,1
atlantic herring,58,29,2014,1
atlantic herring,58,29,2014,1
atlantic herring,59,29,2014,1
atlantic herring,59,29,2014,1
atlantic herring,60,29,2014,1
atlantic herring,60,29,2014,1
atlantic herring,60,29,2014,1
atlantic herring,61,29,2014,1
atlantic herring,61,29,2014,1
atlantic herring,61,29,2014,1
atlantic herring,61,29,2014,1
atlantic herring,62,29,2014,1
atlantic herring,62,29,2014,1
atlantic herring,62,29,2014,1
atlantic herring,63,29,2014,1
atlantic herring,63,29,2014,1
atlantic herring,69,29,2014,1
atlantic herring,54,30,2014,1
atlantic herring,55,30,2014,1
atlantic herring,56,30,2014,1
atlantic herring,56,30,2014,1
