"year","alewife","american eel","american shad","asian shore crab","atlantic cod","atlantic herring","atlantic mackerel","atlantic menhaden","atlantic moonfish","atlantic saury","atlantic silverside","atlantic tomcod","blueback herring","bluefish","butterfish","common dab","common sucker","crevalle jack","cunner","eastern silver minnow","fallfish","fourspine stickleback","green crab","grubby sculpin","hake spp","killifish spp","largemouth bass","longhorn sculpin","lumpfish","mummichog","ninespine stickleback","northern pipefish","northern puffer","permit","pollock","red hake","river herring","rock gunnel","sandlance","sculpin spp","shiner spp","shortfin squid","shorthorn sculpin","slimy sculpin","smallmouth bass","smelt","spotted hake","stickleback spp","striped bass","sturgeon spp","summer flounder","threespine stickleback","white hake","white mullet","white perch","white sucker","winter flounder"
2014,2290,0,1,0,10,30456,0,98,0,0,2358,77,0,25,0,0,0,0,0,0,0,0,619,0,1,2,0,0,0,299,2,1,0,0,25,1,0,3,1670,16,4,0,5,0,6,0,1,0,3,0,0,0,6,0,0,0,70
2015,486,1,4,0,0,168,0,0,0,0,6162,32,3,1,0,4,0,0,0,0,0,0,549,0,1,0,3,18,2,3312,1,6,1,0,0,0,1,0,204,1,0,0,19,0,0,3,0,0,2,0,0,6,1,2,0,8,132
2016,355,0,0,0,0,2697,0,0,0,0,10306,25,0,12,0,0,0,0,0,0,0,0,482,0,0,12,1,0,1,3797,0,7,0,0,1,0,0,0,47,17,3,0,4,0,8,2,0,0,0,0,0,1,0,2,0,3,380
2017,70,0,0,0,0,10744,0,88,0,0,2041,30,0,2,0,0,0,0,0,0,0,0,209,43,0,0,0,0,0,1521,0,6,0,0,0,0,0,2,57,1,0,0,16,1,0,0,0,0,0,1,0,0,0,0,0,0,82
2018,593,0,1,0,0,911,0,496,0,0,6071,3,1,0,1,0,0,0,0,0,0,0,205,5,0,0,5,0,0,176,0,2,0,0,0,0,0,1,436,5,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,72
2020,1130,0,0,0,0,1731,0,0,0,0,22362,6,16,0,2,0,0,0,0,0,0,0,297,0,0,0,1,0,0,1126,0,1,1,0,2,0,0,0,124,0,0,0,2,0,0,0,0,0,0,5,0,2,0,7,0,1,156
2021,629,0,2,0,0,4359,0,0,0,0,3304,3,0,5,1,0,0,0,0,0,0,0,309,14,0,1,0,0,0,503,0,4,0,0,5,0,0,1,329,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,184
2022,21,0,0,0,0,3923,0,0,0,0,5497,6,0,31,1,0,0,2,0,0,0,0,881,7,0,0,0,0,0,1939,0,15,0,9,0,0,0,12,1786,24,0,4,0,0,0,0,0,0,0,1,0,6,0,5,0,6,173
2023,4623,1,1,0,0,4313,5,0,0,0,11121,14,0,104,0,0,12,2,1,1,0,1,918,8,0,1,0,0,0,923,38,28,0,0,0,0,0,7,169,18,0,0,1,0,0,0,0,130,0,0,1,3,0,217,0,1,57
2024,68,1,0,1,0,1747,1,0,1,2,11241,99,0,46,0,0,0,2,0,0,28,1,629,21,0,0,0,2,0,1751,2,15,0,7,2,1,0,0,19,1,0,0,0,0,0,0,0,0,0,1,0,5,0,115,4,0,94
2019,0,0,0,0,0,546,0,0,0,0,240,6,0,0,0,0,0,0,0,0,0,0,19,4,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35
