"day","daily.wattemp","daily.ws","daily.wd","daily.airtemp","daily.pres","daily.vis","gauge.mm"
2023-06-01,12.3993055555556,1.10040413408072,94.7511312217195,17.7789237668161,1018.62376681614,14967.6210313901,0
2023-06-02,13.3780092592593,1.45153727620818,68.4701492537313,21.8955390334573,1013.85494423792,16093.44,0
2023-06-03,13.65,2.09907202006689,51.1895910780669,11.4254180602007,1018.37628762542,13582.5405351171,17.8
2023-06-04,12.8914351851852,1.73939282931596,41.1494252873563,7.36319218241042,1018.97123778502,12245.6925732899,8.9
2023-06-05,12.5053240740741,1.26243096222222,101.460674157303,10.2726984126984,1013.09695238095,12025.3761904762,16.8
2023-06-06,12.5342592592593,1.193511704,170.268199233716,13.5472727272727,1003.28469090909,15841.7970909091,3
2023-06-07,12.5814814814815,1.7771726,253.818897637795,13.5511363636364,997.988484848485,15901.4160606061,0.5
2023-06-08,12.5972222222222,1.025147984,78.8970588235294,12.7421818181818,1003.57149090909,15976.3968,1.5
2023-06-09,12.6803240740741,0.885281162190813,64.568345323741,13.1233215547703,1007.43745583039,15733.7544522968,0.01
2023-06-10,12.9668981481481,0.673922557,63.5906040268456,12.1833333333333,1007.16666666667,12249.7901666667,0.01
2023-06-11,12.9824074074074,1.02524085602837,99.3140794223827,14.8156028368794,1009.93319148936,11664.8903191489,0.5
2023-06-12,13.3347222222222,1.344571375,94.9618320610687,17.7579545454545,1012.18503787879,15922.7521212121,0
2023-06-13,13.594212962963,1.64273527932203,72.2866894197952,16.4552542372881,1009.04901694915,11745.4842372881,0
2023-06-14,13.7293981481481,1.3161767,79.5364238410596,14.7977272727273,1004.37519480519,10503.8439935065,6.9
2023-06-15,13.9909722222222,1.26092914230769,88.4285714285714,16.120979020979,999.908321678322,15294.3950699301,2.8
2023-06-16,14.2456018518519,1.215466175,79.8936170212766,18.1496478873239,1003.86788732394,15895.1057746479,0.01
2023-06-17,14.4893518518519,1.49874889266667,60.3460207612457,16.6073333333333,1005.86753333333,12775.5088,1
2023-06-18,14.6553240740741,1.85461042210145,209.227467811159,13.7666666666667,1004.90148550725,11212.929673913,38.6
2023-06-19,14.6472222222222,0.53673111299639,45.3731343283582,14.7841155234657,1016.44007220217,16093.44,0.01
2023-06-20,14.3472222222222,1.194246625,108.489208633094,15.3214285714286,1023.48885714286,15691.1040714286,1.5
2023-06-21,14.1550925925926,1.06818725902778,64.9647887323944,14.3868055555556,1027.64159722222,11349.1111188811,1.8
