"date","site","index_1","index_3","water_temperature","salinity","ph","turbidity"
2023-06-08,"Dogs",8.73409532,4.500500056,12.9,31.1,7.9,6
2023-06-08,"Dogs",10.22836925,4.182559516,12.9,31.1,7.9,6
2023-06-08,"Dogs",11.35249366,6.530513008,12.9,31.1,7.9,6
2023-06-08,"Dogs",7.760362624,3.896887426,12.9,31.1,7.9,6
2023-06-08,"Dogs",9.115221752,3.719365253,12.9,31.1,7.9,6
2023-06-08,"Snow",9.678951764,4.562703022,13.3,31.28,8.02,10
2023-06-08,"Snow",7.963966837,4.052245163,13.3,31.28,8.02,10
2023-06-08,"Snow",7.774430181,3.730944523,13.3,31.28,8.02,10
2023-06-08,"Snow",8.420512821,3.799342866,13.3,31.28,8.02,10
2023-06-08,"Snow",8.891316221,4.583591418,13.3,31.28,8.02,10
2023-06-13,"Dogs",10.18847795,4.112981373,14.5,31.49,8.06,9.5
2023-06-13,"Dogs",6.232609905,2.869293436,14.5,31.49,8.06,9.5
2023-06-13,"Dogs",12.68436578,5.841283882,14.5,31.49,8.06,9.5
2023-06-13,"Dogs",9.361626248,3.860861891,14.5,31.49,8.06,9.5
2023-06-13,"Dogs",9.526131838,4.84678053,14.5,31.49,8.06,9.5
2023-06-13,"Snow",6.995698438,3.816385344,16.7,30.58,8.08,11
2023-06-13,"Snow",8.597233983,3.27252412,16.7,30.58,8.08,11
2023-06-13,"Snow",7.322919889,2.718374142,16.7,30.58,8.08,11
2023-06-13,"Snow",8.377194745,3.557838336,16.7,30.58,8.08,11
2023-06-19,"Snow",9.333397646,4.873073436,15.9,30.5,8.07,9
2023-06-19,"Snow",10.13192612,5.01125575,15.9,30.5,8.07,9
2023-06-19,"Snow",8.764836311,4.485831581,15.9,30.5,8.07,9
2023-06-19,"Snow",8.834782609,3.519061584,15.9,30.5,8.07,9
2023-06-19,"Snow",8.185642369,3.451885887,15.9,30.5,8.07,9
2023-06-20,"Dogs",7.025866938,4.094125391,15,31.25,8,7
2023-06-20,"Dogs",6.834506276,3.73572335,15,31.25,8,7
2023-06-20,"Dogs",10.80418089,5.794531518,15,31.25,8,7
2023-06-20,"Dogs",10.71262707,5.362401199,15,31.25,8,7
2023-06-20,"Dogs",7.042747022,3.018833919,15,31.25,8,7
2023-06-26,"Dogs",12.52204586,5.268737411,18.6,29.88,8.15,8
2023-06-26,"Dogs",15.14568444,6.458544971,18.6,29.88,8.15,8
2023-06-26,"Dogs",15.42118063,6.590603076,18.6,29.88,8.15,8
2023-06-26,"Dogs",10.84429359,5.400836749,18.6,29.88,8.15,8
2023-06-26,"Dogs",13.84912726,5.463686618,18.6,29.88,8.15,8
2023-06-26,"Snow",13.21288295,3.751282394,21.3,26.41,8.25,7.5
2023-06-26,"Snow",9.008800371,3.54065534,21.3,26.41,8.25,7.5
2023-06-26,"Snow",4.219185352,2.122688739,21.3,26.41,8.25,7.5
2023-06-26,"Snow",9.787120096,3.246436026,21.3,26.41,8.25,7.5
2023-06-26,"Snow",7.612226816,3.797002173,21.3,26.41,8.25,7.5
2023-07-06,"Dogs",18.01873199,8.402486141,18.9,28.83,8.1,7
2023-07-06,"Dogs",7.582765336,4.675773041,18.9,28.83,8.1,7
2023-07-06,"Dogs",8.708393232,4.343509556,18.9,28.83,8.1,7
2023-07-06,"Dogs",13.2972973,5.840782123,18.9,28.83,8.1,7
2023-07-06,"Dogs",15.03992902,7.466686245,18.9,28.83,8.1,7
2023-07-06,"Snow",10.34779884,4.891867871,25.3,26.66,8.3,4.5
2023-07-06,"Snow",11.9666901,5.470681301,25.3,26.66,8.3,4.5
2023-07-06,"Snow",14.14136711,8.178048255,25.3,26.66,8.3,4.5
2023-07-06,"Snow",12.22591362,6.571428571,25.3,26.66,8.3,4.5
2023-07-06,"Snow",9.762456547,3.865565497,25.3,26.66,8.3,4.5
2023-07-12,"Dogs",17.88355775,6.480654251,21.9,27.83,8.19,9
2023-07-12,"Dogs",10.83072932,5.687658679,21.9,27.83,8.19,9
2023-07-12,"Dogs",12.59997461,5.949348119,21.9,27.83,8.19,9
2023-07-12,"Dogs",13.41092211,6.006415397,21.9,27.83,8.19,9
2023-07-12,"Dogs",7.781842368,4.484820607,21.9,27.83,8.19,9
2023-07-12,"Snow",9.353078722,3.779229982,18.2,29.1,8.13,7.5
2023-07-12,"Snow",7.880469859,3.933000483,18.2,29.1,8.13,7.5
2023-07-12,"Snow",6.050006478,3.358383373,18.2,29.1,8.13,7.5
2023-07-12,"Snow",3.903882234,2.071051221,18.2,29.1,8.13,7.5
2023-07-12,"Snow",15.1210706,6.195629452,18.2,29.1,8.13,7.5
2023-07-20,"Dogs",10.18500099,5.246707998,21.2,29.2,8.23,6
