"species","week","year","catch"
"northern pipefish",22,2014,NA
"shorthorn sculpin",22,2014,NA
"atlantic tomcod",22,2014,NA
"winter flounder",22,2014,NA
"atlantic cod",22,2014,NA
"american sand lance",22,2014,NA
"mummichog",22,2014,NA
"atlantic silverside",22,2014,NA
"alewife",22,2014,NA
"atlantic herring",22,2014,NA
"striped bass",22,2014,NA
"white hake",22,2014,NA
"saithe",22,2014,NA
"rock gunnel",22,2014,NA
"american shad",22,2014,NA
"atlantic menhaden",22,2014,NA
"bluefish",22,2014,NA
"ninespine stickleback",22,2014,NA
"red hake",22,2014,NA
"spotted hake",22,2014,NA
"longhorn sculpin",22,2014,NA
"threespine stickleback",22,2014,NA
"blueback herring",22,2014,NA
"american eel",22,2014,NA
"northern puffer",22,2014,NA
"lumpfish",22,2014,NA
"white mullet",22,2014,NA
"grubby",22,2014,NA
"shortnose sturgeon",22,2014,NA
"permit",22,2014,NA
"crevalle jack",22,2014,NA
"cunner",22,2014,NA
"summer flounder",22,2014,NA
"atlantic mackerel",22,2014,NA
"fourspine stickleback",22,2014,NA
"northern pipefish",23,2014,NA
"shorthorn sculpin",23,2014,NA
"atlantic tomcod",23,2014,NA
"winter flounder",23,2014,NA
"atlantic cod",23,2014,NA
"american sand lance",23,2014,NA
"mummichog",23,2014,NA
"atlantic silverside",23,2014,NA
"alewife",23,2014,NA
"atlantic herring",23,2014,NA
"striped bass",23,2014,NA
"white hake",23,2014,NA
"saithe",23,2014,NA
"rock gunnel",23,2014,NA
"american shad",23,2014,NA
"atlantic menhaden",23,2014,NA
"bluefish",23,2014,NA
"ninespine stickleback",23,2014,NA
"red hake",23,2014,NA
"spotted hake",23,2014,NA
"longhorn sculpin",23,2014,NA
"threespine stickleback",23,2014,NA
"blueback herring",23,2014,NA
"american eel",23,2014,NA
"northern puffer",23,2014,NA
"lumpfish",23,2014,NA
"white mullet",23,2014,NA
"grubby",23,2014,NA
"shortnose sturgeon",23,2014,NA
"permit",23,2014,NA
"crevalle jack",23,2014,NA
"cunner",23,2014,NA
"summer flounder",23,2014,NA
"atlantic mackerel",23,2014,NA
"fourspine stickleback",23,2014,NA
"northern pipefish",24,2014,NA
"shorthorn sculpin",24,2014,NA
"atlantic tomcod",24,2014,NA
"winter flounder",24,2014,NA
"atlantic cod",24,2014,NA
"american sand lance",24,2014,NA
"mummichog",24,2014,NA
"atlantic silverside",24,2014,NA
"alewife",24,2014,NA
"atlantic herring",24,2014,NA
"striped bass",24,2014,NA
"white hake",24,2014,NA
"saithe",24,2014,NA
"rock gunnel",24,2014,NA
"american shad",24,2014,NA
"atlantic menhaden",24,2014,NA
"bluefish",24,2014,NA
"ninespine stickleback",24,2014,NA
"red hake",24,2014,NA
"spotted hake",24,2014,NA
"longhorn sculpin",24,2014,NA
"threespine stickleback",24,2014,NA
"blueback herring",24,2014,NA
"american eel",24,2014,NA
"northern puffer",24,2014,NA
"lumpfish",24,2014,NA
"white mullet",24,2014,NA
"grubby",24,2014,NA
"shortnose sturgeon",24,2014,NA
"permit",24,2014,NA
"crevalle jack",24,2014,NA
"cunner",24,2014,NA
"summer flounder",24,2014,NA
"atlantic mackerel",24,2014,NA
"fourspine stickleback",24,2014,NA
"northern pipefish",25,2014,1
"shorthorn sculpin",25,2014,2
"atlantic tomcod",25,2014,35
"winter flounder",25,2014,9
"atlantic cod",25,2014,10
"american sand lance",25,2014,1
"mummichog",25,2014,12
"atlantic silverside",25,2014,11
"alewife",25,2014,0
"atlantic herring",25,2014,0
"striped bass",25,2014,0
"white hake",25,2014,0
"saithe",25,2014,0
"rock gunnel",25,2014,0
"american shad",25,2014,0
"atlantic menhaden",25,2014,0
"bluefish",25,2014,0
"ninespine stickleback",25,2014,0
"red hake",25,2014,0
"spotted hake",25,2014,0
"longhorn sculpin",25,2014,0
"threespine stickleback",25,2014,0
"blueback herring",25,2014,0
"american eel",25,2014,0
"northern puffer",25,2014,0
"lumpfish",25,2014,0
"white mullet",25,2014,0
"grubby",25,2014,0
"shortnose sturgeon",25,2014,0
"permit",25,2014,0
"crevalle jack",25,2014,0
"cunner",25,2014,0
"summer flounder",25,2014,0
"atlantic mackerel",25,2014,0
"fourspine stickleback",25,2014,0
"northern pipefish",26,2014,0
"shorthorn sculpin",26,2014,0
"atlantic tomcod",26,2014,5
"winter flounder",26,2014,0
"atlantic cod",26,2014,0
"american sand lance",26,2014,0
"mummichog",26,2014,2
"atlantic silverside",26,2014,2
"alewife",26,2014,7
"atlantic herring",26,2014,2145
"striped bass",26,2014,2
"white hake",26,2014,0
"saithe",26,2014,0
"rock gunnel",26,2014,0
"american shad",26,2014,0
"atlantic menhaden",26,2014,0
"bluefish",26,2014,0
"ninespine stickleback",26,2014,0
"red hake",26,2014,0
"spotted hake",26,2014,0
"longhorn sculpin",26,2014,0
"threespine stickleback",26,2014,0
"blueback herring",26,2014,0
"american eel",26,2014,0
"northern puffer",26,2014,0
"lumpfish",26,2014,0
"white mullet",26,2014,0
"grubby",26,2014,0
"shortnose sturgeon",26,2014,0
"permit",26,2014,0
"crevalle jack",26,2014,0
"cunner",26,2014,0
"summer flounder",26,2014,0
"atlantic mackerel",26,2014,0
"fourspine stickleback",26,2014,0
"northern pipefish",27,2014,0
"shorthorn sculpin",27,2014,0
"atlantic tomcod",27,2014,30
"winter flounder",27,2014,2
"atlantic cod",27,2014,0
"american sand lance",27,2014,0
"mummichog",27,2014,39
"atlantic silverside",27,2014,5
"alewife",27,2014,0
"atlantic herring",27,2014,3
"striped bass",27,2014,0
"white hake",27,2014,6
"saithe",27,2014,25
"rock gunnel",27,2014,1
"american shad",27,2014,0
"atlantic menhaden",27,2014,0
"bluefish",27,2014,0
"ninespine stickleback",27,2014,0
"red hake",27,2014,0
"spotted hake",27,2014,0
"longhorn sculpin",27,2014,0
"threespine stickleback",27,2014,0
"blueback herring",27,2014,0
"american eel",27,2014,0
"northern puffer",27,2014,0
"lumpfish",27,2014,0
"white mullet",27,2014,0
"grubby",27,2014,0
"shortnose sturgeon",27,2014,0
"permit",27,2014,0
"crevalle jack",27,2014,0
"cunner",27,2014,0
"summer flounder",27,2014,0
"atlantic mackerel",27,2014,0
"fourspine stickleback",27,2014,0
"northern pipefish",28,2014,0
