"Common","Genus","species","Salinity","Habitat","Migratory","Depth","Temperature","Coastal","Seasonal","orientation","dist.to.center","Species","filename","centr.x","centr.y"
"alewife","Alosa","pseudoharengus","euryhaline","pelagic-neritic","anadromous","5-145m","temperate","coastal","Adults ascend in May and June; Juveniles descend in late summer to early winter","South of center",-1.3390222713827,"Alosa pseudoharengus","Alosa_pseudoharengus.nc",-63.2942823553207,44.9947222713827
"american eel","Anguilla","rostrata","euryhaline","demersal","catadromous","0-464m","subtropical to temperate","coastal","Adults spawn in sargasso sea in autumn, semelparous","North of center",1.14298635754749,"Anguilla rostrata","Anguilla_rostrata.nc",-63.490038088475,42.5127136424525
"american plaice","Hippoglossoides","platessoides","marine","demersal","nonmigratory","10-3000m","temperate to subpolar","offshore","Minimal migration","South of center",-10.1812874832242,"Hippoglossoides platessoides","Hippoglossoides_platessoides.nc",-56.4274077218738,53.8369874832242
"american shad","Alosa","sapidissima","euryhaline","pelagic-neritic","anadromous","0-250m","subtropical to temperate","offshore","Adults spawn upstream in May and June; Juvenile downstream in autumn","South of center",-0.993529319726449,"Alosa sapidissima","Alosa_sapidissima.nc",-63.4981526963223,44.6492293197265
"atlantic cod","Gadus","morhua","marine-brackish","benthopelagic","oceanodromous","0-600m","temperate to subpolar","offshore","Juveniles use sublittoral shallows","South of center",-6.02507108058789,"Gadus morhua","Gadus_morhua.nc",-57.5039572517788,49.6807710805879
"atlantic herring","Clupea","harengus","marine-brackish","benthopelagic","oceanodromous","0-364m","temperate to subpolar","offshore","Juveniles use sublittoral shallows","South of center",-4.96588815862967,"Clupea harengus","Clupea_harengus.nc",-59.0112424750202,48.6215881586297
"atlantic menhaden","Brevoortia","tyrannus","marine-brackish","pelagic-neritic","oceanodromous","0-50m","temperate","coastal","Seasonal inshore-offshore migrations","North of center",5.187516790388,"Brevoortia tyrannus","Brevoortia_tyrannus.nc",-73.4832593556287,38.468183209612
"atlantic silverside","Menidia","menidia","marine-brackish","pelagic-neritic","nonmigratory","0-3m","temperate","coastal","Minimal inshore-offshore seasonal migration","North of center",0.137148995702134,"Menidia menidia","Menidia_menidia.nc",-66.3087887027454,43.5185510042979
"atlantic tomcod","Microgadus","tomcod","euryhaline","demersal","anadromous","0-69m","temperate","coastal","Ascend in winter to spawn, juveniles descend in late spring","South of center",-2.70167255579056,"Microgadus tomcod","Microgadus_tomcod.nc",-64.0460892649027,46.3573725557906
"blueback herring","Alosa","aestivalis","euryhaline","pelagic-neritic","anadromous","5-55m","subtropical to temperate","coastal","Adults ascend in late spring, juveniles descend in autumn. Moves later than alewife.","North of center",3.68110377853269,"Alosa aestivalis","Alosa_aestivalis.nc",-71.1022855950891,39.9745962214673
"bluefish","Pomatomus","saltatrix","marine-brackish","pelagic-oceanic","oceanodromous","0-200m","tropical to temperate","offshore","Juveniles use sublittoral shallows","North of center",6.67571089028043,"Pomatomus saltatrix","Pomatomus_saltatrix.nc",-71.4850939286687,36.9799891097196
"crevalle jack","Caranx","hippos","marine-brackish","pelagic-neritic","oceanodromous","1-350m","tropical to subtropical","offshore","Juveniles use sublittoral shallows","North of center",9.11830075228372,"Caranx hippos","Caranx_hippos.nc",-75.4050779150994,34.5373992477163
"cunner","Tautogolabrus","adspersus","marine","reef-associated","nonmigratory","10-128m","temperate","coastal","Minimal migration","South of center",-1.58986741871587,"Tautogolabrus adspersus","Tautogolabrus_adspersus.nc",-60.6153316585342,45.2455674187159
"grubby sculpin","Myoxocephalus","aenaeus","marine-brackish","demersal","nonmigratory","1-357m","temperate","coastal","Minimal migration","South of center",-1.22048824201379,"Myoxocephalus aenaeus","Myoxocephalus_aenaeus.nc",-65.5461323487414,44.8761882420138
"longhorn sculpin","Myoxocephalus","octodecemspinosus","marine-brackish","demersal","oceanodromous","1-190m","temperate","coastal","Seasonal inshore-offshore migrations","South of center",-1.94759644997694,"Myoxocephalus octodecemspinosus","Myoxocephalus_octodecemspinosus.nc",-60.772683264177,45.6032964499769
"lumpfish","Cyclopterus","lumpus","marine","benthopelagic","oceanodromous","0-868m","subpolar to polar","offshore","Seasonal inshore-offshore migrations","South of center",-6.19200368478488,"Cyclopterus lumpus","Cyclopterus_lumpus.nc",-57.9273433327916,49.8477036847849
"mummichog","Fundulus","heteroclitus","euryhaline","benthopelagic","nonmigratory","","temperate","coastal","Minimal migration","North of center",1.59896424870466,"Fundulus heteroclitus","Fundulus_heteroclitus.nc",-69.0205814622913,42.0567357512953
"ninespine stickleback","Pungitius","pungitius","euryhaline","benthopelagic","anadromous","0-110m","subpolar to polar","coastal","Circumarctic, seasonal inshore-offshore movements for spring spawning","South of center",-10.4852355918377,"Pungitius pungitius","Pungitius_pungitius.nc",-59.6545274055591,54.1409355918377
"northern pipefish","Syngnathus","fuscus","euryhaline","demersal","oceanodromous","5-49m","subtropical to temperate","coastal","Seasonal inshore-offshore migrations","North of center",2.41603474163146,"Syngnathus fuscus","Syngnathus_fuscus.nc",-66.3391452713682,41.2396652583685
"northern puffer","Sphoeroides","maculatus","marine-brackish","demersal","nonmigratory","10-183m","temperate","coastal","Minimal migration","North of center",3.88473853111433,"Sphoeroides maculatus","Sphoeroides_maculatus.nc",-69.3133140376266,39.7709614688857
"permit","Trachinotus","falcatus","marine-brackish","reef-associated","oceanodromous","0-36m","tropical to subtropical","coastal","Seasonal inshore-offshore migrations","North of center",11.831410533721,"Trachinotus falcatus","Trachinotus_falcatus.nc",-78.2471860050652,31.824289466279
"pollock","Pollachius","virens","marine","demersal","oceanodromous","37-364m","temperate to subpolar","offshore","Seasonal inshore-offshore migrations","South of center",-4.28059819544423,"Pollachius virens","Pollachius_virens.nc",-58.5663560464123,47.9362981954442
"rainbow smelt","Osmerus","mordax","euryhaline","pelagic-oceanic","anadromous","0-425m","temperate to subpolar","offshore","Adults ascend in spring","South of center",-8.50928602236421,"Osmerus mordax","Osmerus_mordax.nc",-56.9320986421725,52.1649860223642
"red hake","Urophycis","chuss","marine","demersal","oceanodromous","35-1152m","temperate","coastal","Juveniles use sublittoral shallows","North of center",0.523118965357114,"Urophycis chuss","Urophycis_chuss.nc",-65.7537614934522,43.1325810346429
"rock gunnel","Pholis","gunnellus","marine-brackish","demersal","nonmigratory","0-100m","temperate","coastal","Minimal migration, winter spawning","South of center",-5.87292736862909,"Pholis gunnellus","Pholis_gunnellus.nc",-58.2966437730069,49.5286273686291
"sandlance","Ammodytes","americanus","marine-brackish","demersal","nonmigratory","0-73m","temperate","coastal","Minimial migration","South of center",-2.42302556556116,"Ammodytes americanus","Ammodytes_americanus.nc",-61.1454947287503,46.0787255655612
"shortfin squid","Illex","illecebrosus","marine","pelagic-neritic","oceanodromous","","subtropical to subpolar","offshore","Seasonal inshore-offshore migrations","South of center",-3.56563197901821,"Illex illecebrosus","Illex_illecebrosus.nc",-58.0224674812771,47.2213319790182
"shorthorn sculpin","Myoxocephalus","scorpius","marine-brackish","demersal","nonmigratory","0-541m","temperate to polar","coastal","Minimal migration","South of center",-11.4288288722652,"Myoxocephalus scorpius","Myoxocephalus_scorpius.nc",-58.2025499137504,55.0845288722652
