"site_name","latitude","longitude","bay_location"
"Presumpscot Moorings",43.71546,-70.25923,"Inner"
"Skitterygusset",43.71458,-70.24791,"Inner"
"Audubon",43.705967,-70.245789,"Inner"
"Mussel Cove",43.71143,-70.21814,"Mid"
"The Brothers - North",43.701058,-70.218932,"Mid"
"Mackworth Island - North",43.69248,-70.23123,"Mid"
"Mackworth Island - Beach",43.68958,-70.23572,"Mid"
"Back Cove",43.67912,-70.26547,"Mid"
"Great Diamond Island",43.67601,-70.20443,"Outer"
"SMCC",43.650227,-70.225804,"Outer"
"Cushing Island",43.64294,-70.20761,"Outer"
"Alewife Cove",43.59085,-70.21031,"Outer"
"The Brothers - South",43.70047,-70.21832,"Mid"
