sst,ID,bathy,lon,lon
10.099,859958,-14.26929848,-70.19000244,43.56999969
10.132,858859,-10.38203686,-70.19999695,43.58000183
10.154,859959,-12.04300802,-70.19000244,43.58000183
10.169,861059,-15.55591349,-70.18000031,43.58000183
10.176,862159,-21.36774197,-70.16999817,43.58000183
10.176,863259,-27.1949599,-70.16000366,43.58000183
10.167,858860,-9.736542279,-70.19999695,43.59000015
10.193,859960,-17.59150682,-70.19000244,43.59000015
10.206,861060,-18.8403733,-70.18000031,43.59000015
10.204,862160,-19.66727332,-70.16999817,43.59000015
10.193,863260,-24.37592263,-70.16000366,43.59000015
10.181,864360,-29.08680497,-70.15000153,43.59000015
10.169,865460,-25.94427485,-70.13999939,43.59000015
10.149,857761,-13.3083732,-70.20999908,43.59999847
10.177,858861,-17.37621763,-70.19999695,43.59999847
10.2,859961,-15.67513971,-70.19000244,43.59999847
10.209,861061,-20.13055173,-70.18000031,43.59999847
10.203,862161,-22.95526201,-70.16999817,43.59999847
10.189,863261,-25.05814907,-70.16000366,43.59999847
10.174,864361,-32.97472585,-70.15000153,43.59999847
10.16,865461,-34.82144341,-70.13999939,43.59999847
10.15,866561,-24.52400563,-70.12999725,43.59999847
10.142,867661,-24.7658952,-70.12000275,43.59999847
10.136,868761,-32.51152955,-70.11000061,43.59999847
10.145,857762,-13.89181947,-70.20999908,43.61000061
10.167,858862,-19.64029285,-70.19999695,43.61000061
10.182,859962,-20.56726513,-70.19000244,43.61000061
10.188,861062,-17.85108689,-70.18000031,43.61000061
10.183,862162,-22.51801699,-70.16999817,43.61000061
10.173,863262,-30.34069818,-70.16000366,43.61000061
10.161,864362,-36.2344555,-70.15000153,43.61000061
10.15,865462,-40.3480368,-70.13999939,43.61000061
10.142,866562,-35.56074637,-70.12999725,43.61000061
10.137,867662,-30.04223387,-70.12000275,43.61000061
10.132,868762,-34.28508038,-70.11000061,43.61000061
10.128,869862,-26.01985824,-70.09999847,43.61000061
10.124,870962,-40.34511774,-70.08999634,43.61000061
10.117,872062,-35.83450198,-70.08000183,43.61000061
10.151,858863,-17.01877282,-70.19999695,43.61999893
10.161,859963,-18.89820273,-70.19000244,43.61999893
10.166,861063,-21.73337492,-70.18000031,43.61999893
10.166,862163,-21.3696863,-70.16999817,43.61999893
10.163,863263,-26.70668572,-70.16000366,43.61999893
10.157,864363,-33.05960468,-70.15000153,43.61999893
10.151,865463,-30.99121767,-70.13999939,43.61999893
10.147,866563,-34.93661778,-70.12999725,43.61999893
10.145,867663,-35.29881238,-70.12000275,43.61999893
10.145,868763,-37.19746255,-70.11000061,43.61999893
10.143,869863,-27.67507507,-70.09999847,43.61999893
10.139,870963,-22.07654926,-70.08999634,43.61999893
10.131,872063,-40.4301449,-70.08000183,43.61999893
10.121,873163,-39.71121839,-70.06999969,43.61999893
10.111,874263,-46.72988906,-70.05999756,43.61999893
10.125,857764,-16.49641339,-70.20999908,43.63000107
10.138,858864,-18.53977717,-70.19999695,43.63000107
10.148,859964,-14.34134944,-70.19000244,43.63000107
10.156,861064,-17.46402698,-70.18000031,43.63000107
10.162,862164,-23.59335429,-70.16999817,43.63000107
10.166,863264,-27.69422602,-70.16000366,43.63000107
10.167,864364,-31.24126956,-70.15000153,43.63000107
10.166,865464,-33.42365309,-70.13999939,43.63000107
10.166,866564,-39.5959233,-70.12999725,43.63000107
10.168,867664,-29.07586821,-70.12000275,43.63000107
10.171,868764,-37.53885184,-70.11000061,43.63000107
10.173,869864,-30.47346043,-70.09999847,43.63000107
10.168,870964,-24.65436193,-70.08999634,43.63000107
