species_name,year,Group,lambda,week,mu,ll,ul,overlap,min.length,max.length,agemax,Linf,range,coverage
atlantic herring,2014,1,0.295029731,26,46.84222098,43.67668534,63.94939677,0,14,137,15,350,20.27271144,0.018088775
atlantic herring,2014,1,0.807693738,28,51.52380151,49.71173472,53.33586829,0,14,137,15,350,3.624133571,0.010354667
atlantic herring,2014,1,0.843111884,29,55.66622911,44.91719235,66.41526587,0,14,137,15,350,21.49807352,0.061423067
atlantic herring,2014,1,1,30,61.6394893,50.18200938,73.09696922,0,14,137,15,350,22.91495984,0.065471314
atlantic herring,2014,1,1,32,74.05418568,64.13281997,83.97555139,0,14,137,15,350,19.84273142,0.056693518
atlantic herring,2014,1,0.84679763,33,67.6460297,60.3083112,74.98374821,0,14,137,15,350,14.67543701,0.04192982
atlantic herring,2015,1,1,27,55.86499794,41.32143746,70.40855843,0,14,137,15,350,29.08712097,0.08310606
atlantic herring,2015,1,1,28,68.7872318,57.58604139,79.98842221,0,14,137,15,350,22.40238083,0.064006802
atlantic herring,2015,1,1,30,71.92358082,57.61504778,86.23211385,0,14,137,15,350,28.61706607,0.081763046
atlantic herring,2016,1,0.410199731,24,59.22965979,52.91871707,83.04277571,0,14,137,15,350,30.12405864,0.03606253
atlantic herring,2016,1,1,25,60.55497505,50.30249728,70.80745283,0,14,137,15,350,20.50495555,0.058585587
atlantic herring,2016,1,1,26,73.46738936,59.74247284,87.19230587,0,14,137,15,350,27.44983303,0.078428094
atlantic herring,2017,1,0.299655167,25,56.98965881,53.67281948,68.51570565,0,14,137,15,350,14.84288617,0.018953368
atlantic herring,2017,1,0.954465437,26,58.81347405,53.78536167,63.84158643,0,14,137,15,350,10.05622476,0.028732071
atlantic herring,2017,1,0.741359103,27,60.72887764,45.15442159,76.30333369,0,14,137,15,350,31.14891209,0.088996892
atlantic herring,2017,1,0.886617197,28,64.63590741,54.04328338,75.22853143,0,14,137,15,350,21.18524805,0.06052928
atlantic herring,2017,1,0.825853166,31,65.82451165,56.30492028,75.34410302,0,14,137,15,350,19.03918274,0.054397665
atlantic herring,2018,1,1,24,58.56557779,51.71579383,65.41536174,0,14,137,15,350,13.69956791,0.039141623
atlantic herring,2018,1,1,26,62.12322377,40.54913801,83.69730953,0,14,137,15,350,43.14817152,0.12328049
atlantic herring,2018,1,1,28,75.71285469,63.7576333,87.66807607,0,14,137,15,350,23.91044276,0.068315551
atlantic herring,2018,1,1,32,97.40522759,87.11089258,107.6995626,0,14,137,15,350,20.58867002,0.058824771
atlantic herring,2020,1,1,26,58.89333477,47.18753958,70.59912996,0,14,137,15,350,23.41159038,0.066890258
atlantic herring,2020,1,1,28,66.21661255,54.25284536,78.18037974,0,14,137,15,350,23.92753438,0.068364384
atlantic herring,2020,1,1,30,72.16905593,54.8659148,89.47219706,0,14,137,15,350,34.60628225,0.098875092
atlantic herring,2020,1,1,36,89.77408534,68.12893223,111.4192384,0,14,137,15,350,43.29030622,0.123686589
atlantic herring,2021,1,0.802873246,25,54.23282438,42.18107163,66.28457713,15.69385343,14,137,15,350,24.1035055,0.068867159
atlantic herring,2021,1,1,26,55.3995956,47.55486584,63.24432535,0,14,137,15,350,15.68945951,0.044827027
atlantic herring,2021,1,1,27,56.39058507,45.8931175,66.88805264,0,14,137,15,350,20.99493514,0.059985529
atlantic herring,2021,1,1,28,61.92591712,43.77769402,80.07414023,0,14,137,15,350,36.29644621,0.103704132
atlantic herring,2022,1,0.75194098,24,56.52472438,50.83848754,62.21096121,0,14,137,15,350,11.37247367,0.032492782
atlantic herring,2022,1,0.93581529,26,58.7990656,42.13311443,75.46501676,0,14,137,15,350,33.33190233,0.095234007
atlantic herring,2022,1,1,28,63.19586653,52.75507347,73.63665958,0,14,137,15,350,20.88158611,0.059661675
atlantic herring,2022,1,0.904235072,30,63.80331768,57.17166403,70.43497133,5.715398741,14,137,15,350,13.2633073,0.037895164
atlantic silverside,2014,1,0.604630753,30,52.65367206,46.81132865,58.49601548,0,7,213,2,140,11.68468684,0.083462049
atlantic silverside,2014,1,1,31,57.1121339,45.18577254,69.03849525,0,7,213,2,140,23.85272272,0.170376591
atlantic silverside,2014,1,1,32,63.20294818,38.21287608,88.19302028,0,7,213,2,140,49.98014421,0.35700103
atlantic silverside,2014,1,0.384989486,35,58.58501961,51.66478044,103.8327673,0,7,213,2,140,52.16798684,0.098860559
atlantic silverside,2015,1,1,31,63.16236145,44.49770667,81.82701623,0,7,213,2,140,37.32930956,0.266637925
atlantic silverside,2015,1,0.674977062,32,59.81452221,43.6018552,76.02718923,0,7,213,2,140,32.42533403,0.231609529
atlantic silverside,2015,1,0.720288729,33,69.08827335,46.28206052,91.89448618,0,7,213,2,140,45.61242566,0.32580304
atlantic silverside,2015,1,0.319884926,37,68.62283899,55.72705068,81.5186273,41.76994949,7,213,2,140,25.79157662,0.184225547
atlantic silverside,2015,1,0.454934164,39,70.34740456,46.59489372,94.09991541,33.24826508,7,213,2,140,47.50502169,0.339321584
atlantic silverside,2016,1,0.151466986,29,47.52429899,27.36248951,67.68610847,0,7,213,2,140,40.32361896,0.28802585
atlantic silverside,2016,1,0.60169819,30,39.64370325,23.93895815,55.34844835,62.42252965,7,213,2,140,31.4094902,0.224353501
atlantic silverside,2016,1,0.967411722,33,57.39796377,42.65886036,72.13706719,21.15598958,7,213,2,140,29.47820683,0.21055862
atlantic silverside,2017,1,0.193548387,28,27.5,25.58514578,29.41485422,0,7,213,2,140,3.829708431,0.02735506
atlantic silverside,2017,1,1,31,54.10496801,26.41865395,81.79128208,0,7,213,2,140,55.37262813,0.395518772
atlantic silverside,2017,1,0.61865512,32,59.28889572,43.34733093,75.23046051,0,7,213,2,140,31.88312958,0.22773664
atlantic silverside,2017,1,0.767461428,37,77.33097785,53.34071444,101.3212412,0,7,213,2,140,47.98052681,0.342718049
atlantic silverside,2018,1,0.804592601,32,64.08497266,42.47720319,85.69274212,0,7,213,2,140,43.21553892,0.308682421
atlantic silverside,2018,1,0.960471473,34,71.44992768,49.98336717,92.91648818,0,7,213,2,140,42.93312101,0.30666515
atlantic silverside,2020,1,0.579449374,30,52.28798921,41.26094594,63.31503249,0,7,213,2,140,22.05408656,0.15752919
atlantic silverside,2020,1,0.716664648,32,64.47870698,39.11098435,89.84642961,0,7,213,2,140,50.73544526,0.362396038
atlantic silverside,2021,1,0.332365904,27,49.00978675,28.37516469,69.6444088,0,7,213,2,140,41.2692441,0.294780315
atlantic silverside,2021,1,0.698064099,31,63.27361422,43.41651757,83.13071087,10.60044987,7,213,2,140,39.7141933,0.283672809
atlantic silverside,2022,1,0.185185185,28,41,26.82960833,55.17039166,0,7,213,2,140,28.34078332,0.202434167
atlantic silverside,2022,1,1.46746333533505e-07,29,42.28447219,32.43838,52.13056439,0,7,213,2,140,19.69218439,0.14065846
atlantic silverside,2022,1,1,30,51.35280082,30.12360711,72.58199453,0,7,213,2,140,42.45838742,0.303274196
atlantic silverside,2022,1,0.736075153,31,66.87499333,47.3101882,86.43979846,0,7,213,2,140,39.12961027,0.279497216
atlantic silverside,2022,1,0.714695299,32,69.14620742,45.55450885,92.73790598,0,7,213,2,140,47.18339712,0.337024265
atlantic silverside,2022,1,1,39,97.24229225,70.44079107,124.0437934,0,7,213,2,140,53.60300235,0.382878588
atlantic silverside,2023,1,0.891320694,28,79.38360939,55.44613815,103.3210806,0,7,213,2,140,47.87494248,0.341963875
atlantic silverside,2023,1,1,30,56.0348729,46.39122214,65.67852366,0,7,213,2,140,19.28730152,0.137766439
