"species_name","year","Group","lambda","week","mu","ll","ul","overlap","Linf","agemax","range","coverage"
"atlantic herring",2014,"1",0.2950297306174,26,46.8422209801529,43.6766853354319,50.0077566248738,50.4555243896753,430,20,6.33107128944184,0.0147234216033531
"atlantic herring",2014,"2",0.7049702693826,26,55.3813890899771,46.8133814063017,63.9493967736525,0,430,20,17.1360153673508,0.0398511985287227
"atlantic herring",2014,"1",0.843111883820113,29,55.6662291082064,44.917192350447,66.4152658659658,0,430,20,21.4980735155188,0.0499955198035321
"atlantic herring",2014,"1",1,30,61.6394892974479,50.1820093758488,73.096969219047,0,430,20,22.9149598431982,0.0532906042865074
"atlantic herring",2014,"1",1,32,74.0541856810639,64.1328199718006,83.9755513903272,0,430,20,19.8427314185266,0.0461458870198294
"atlantic herring",2014,"1",0.846797630288332,33,67.6460297039193,60.3083112001942,74.9837482076444,0,430,20,14.6754370074503,0.0341289232731401
"atlantic herring",2015,"1",1,27,55.8649979447642,41.321437462023,70.4085584275054,0,430,20,29.0871209654824,0.067644467361587
"atlantic herring",2015,"1",1,30,71.9235808152648,57.6150477790987,86.232113851431,0,430,20,28.6170660723324,0.0665513164472846
"atlantic herring",2016,"1",0.410286354418805,24,59.2299881343276,52.9186068022544,65.5413694664007,62.7226799788103,430,20,12.6227626641463,0.0293552620096426
"atlantic herring",2016,"2",0.589713645581195,24,70.3333760734675,57.6240344360835,83.0427177108516,0,430,20,25.4186832747682,0.0591132169180655
"atlantic herring",2016,"1",1,25,60.5549750523447,50.3024972790155,70.807452825674,0,430,20,20.5049555466586,0.0476859431317641
"atlantic herring",2016,"1",1,26,73.4673893567668,59.7424728421452,87.1923058713884,0,430,20,27.4498330292433,0.0638368209982401
"atlantic herring",2017,"1",0.299653959024771,25,56.9896552501703,53.6728191173227,60.3064913830178,59.7181916997606,430,20,6.63367226569514,0.0154271448039422
"atlantic herring",2017,"2",0.700346040975229,25,62.4303441475226,56.3449822626562,68.515706032389,0,430,20,12.1707237697329,0.0283040087668206
"atlantic herring",2017,"2",0.720597173075904,26,60.3683752305429,54.7701786814086,65.9665717796771,0,430,20,11.1963930982685,0.0260381234843453
