Year,Week Num,Black sea bass,Cod,Cunner,Cusk,Haddock,Hake,Longhorn sculpin,Mackerel,No fish,Pollock,Red Hake,Redfish,Sculpin,Sea Raven,Shorthorn sculpin,White Hake,Whiting,Total
2014,21,,1,1,,,,2,,,,,,,,1,,,
2014,22,,1,,,,,1,,,,,,,,2,,,
2014,24,,8,1,,,,3,,,,,,,,1,,,
2014,26,,7,1,,,,6,3,,1,,,,1,2,,1,
2014,28,,9,3,1,,,13,2,,23,,3,,,4,,,
2014,30,,6,,,,1,5,,,2,,,,,,,1,
2014,32,,4,2,,,,4,,,8,,,,,,,3,
2014,34,,24,2,,,,,6,,64,,7,,,,,1,
2014,39,,33,8,,,,3,5,,24,1,2,,,2,,,
2015,23,,22,2,,,,7,,,1,,3,1,,,,,
2015,26,,11,2,,,,4,23,,12,,3,,,,,,
2015,28,,3,,,,,2,,,4,,,,,,,,
2015,30,,38,6,,,,7,4,,20,,4,,,,,8,
2015,32,,16,4,,,,2,1,,6,,,,2,,,,
2015,34,,19,6,,,,7,,,3,,1,,1,2,,,
2015,36,,21,11,,,,5,2,,7,,1,,,1,,,
2015,39,,5,4,,,,3,4,,5,,,,,,,,
2016,26,,1,1,,4,,,,,6,,1,1,,,1,,
2016,28,,21,2,,,,,2,,2,,1,,,,1,,
2016,30,,21,1,,,,,1,,12,,,,1,1,,,
2016,32,,18,2,,,,4,1,,10,,,,,1,,,
2016,39,,6,,,,,4,2,,1,,,,,1,,,
2017,26,,8,,,,,3,,,,,,,,3,,,
2017,27,,1,,,,,4,,,,,,,,2,,,
2017,32,,3,2,,,,7,4,,18,,1,,,,,4,
2023,23,,1,,,,,2,2,5,18,,,,,,,,
2023,24,,2,,,,,,,7,3,1,1,,,,,,
2023,25,,3,,,,,,,6,2,,,,,1,,1,
2023,28,,1,,,,,3,1,5,3,,,,,,,1,
2023,29,,4,,,,,2,,3,6,,,,,,,,
2023,30,1,4,,,,,,1,7,1,,,,,,,,
2023,32,,5,,,,,1,,5,10,,,,,,,1,
2023,33,,5,,,,,,1,3,3,,,,1,1,,,
2023,34,,3,,,,,2,,5,29,,,,,,,,
2023,36,,1,,,,,,2,5,13,,,,,,,,
2024,24,,4,,,,,,17,,27,,,,,,,,
2024,26,,8,,,,,1,7,2,16,,2,,,,,1,
2024,27,,5,,,,,,,3,25,,,,,,,,
2024,28,,11,,,,,,9,2,12,,,,,,,2,
2024,29,,10,,,,,3,9,1,11,,,,1,,,,
2024,31,,6,,,,,,,3,8,,,,,1,,1,
2024,32,,2,1,,,,1,3,1,25,,,,,,,1,
2024,33,,5,,,,,,4,2,8,,5,,,,,1,
2024,34,,2,2,,,,1,2,,23,,,,,,,,
2024,35,,4,1,,,,,6,1,25,,1,,1,,,,
2024,36,,3,1,,,,,3,2,4,,,,,,,,
