#,Date-Time (EDT),Temperature   (°C),Started,Host Connected,End of File
1,06/02/2025 08:24:00,21.75,Logged,,
2,06/02/2025 08:29:00,21.66,,,
3,06/02/2025 08:34:00,21.53,,,
4,06/02/2025 08:39:00,21.40,,,
5,06/02/2025 08:44:00,21.36,,,
6,06/02/2025 08:49:00,21.32,,,
7,06/02/2025 08:54:00,21.28,,,
8,06/02/2025 08:59:00,21.28,,,
9,06/02/2025 09:04:00,21.28,,,
10,06/02/2025 09:09:00,21.32,,,
11,06/02/2025 09:14:00,21.28,,,
12,06/02/2025 09:19:00,21.32,,,
13,06/02/2025 09:24:00,21.28,,,
14,06/02/2025 09:29:00,21.32,,,
15,06/02/2025 09:34:00,21.36,,,
16,06/02/2025 09:39:00,21.36,,,
17,06/02/2025 09:44:00,21.40,,,
18,06/02/2025 09:49:00,21.40,,,
19,06/02/2025 09:54:00,21.49,,,
20,06/02/2025 09:59:00,21.45,,,
21,06/02/2025 10:04:00,21.45,,,
22,06/02/2025 10:09:00,21.45,,,
23,06/02/2025 10:14:00,21.45,,,
24,06/02/2025 10:19:00,21.49,,,
25,06/02/2025 10:24:00,21.53,,,
26,06/02/2025 10:29:00,21.62,,,
27,06/02/2025 10:34:00,21.58,,,
28,06/02/2025 10:39:00,21.62,,,
29,06/02/2025 10:44:00,21.62,,,
30,06/02/2025 10:49:00,21.66,,,
31,06/02/2025 10:54:00,21.75,,,
32,06/02/2025 10:59:00,21.70,,,
33,06/02/2025 11:04:00,21.66,,,
34,06/02/2025 11:09:00,21.66,,,
35,06/02/2025 11:14:00,21.66,,,
36,06/02/2025 11:19:00,21.66,,,
37,06/02/2025 11:24:00,21.75,,,
38,06/02/2025 11:29:00,21.79,,,
39,06/02/2025 11:34:00,21.75,,,
40,06/02/2025 11:39:00,21.79,,,
41,06/02/2025 11:44:00,21.83,,,
42,06/02/2025 11:49:00,21.88,,,
43,06/02/2025 11:54:00,21.88,,,
44,06/02/2025 11:59:00,21.88,,,
45,06/02/2025 12:04:00,21.92,,,
46,06/02/2025 12:09:00,21.92,,,
47,06/02/2025 12:14:00,21.88,,,
48,06/02/2025 12:19:00,21.92,,,
49,06/02/2025 12:24:00,21.88,,,
50,06/02/2025 12:29:00,21.83,,,
51,06/02/2025 12:34:00,21.92,,,
52,06/02/2025 12:39:00,21.92,,,
53,06/02/2025 12:44:00,21.92,,,
54,06/02/2025 12:49:00,21.92,,,
55,06/02/2025 12:54:00,21.96,,,
56,06/02/2025 12:59:00,21.96,,,
57,06/02/2025 13:04:00,22.01,,,
58,06/02/2025 13:09:00,21.92,,,
59,06/02/2025 13:14:00,21.96,,,
60,06/02/2025 13:19:00,22.01,,,
61,06/02/2025 13:24:00,22.01,,,
62,06/02/2025 13:29:00,21.96,,,
63,06/02/2025 13:34:00,22.01,,,
64,06/02/2025 13:39:00,22.01,,,
65,06/02/2025 13:44:00,22.01,,,
66,06/02/2025 13:49:00,22.01,,,
67,06/02/2025 13:54:00,22.01,,,
68,06/02/2025 13:59:00,22.05,,,
69,06/02/2025 14:04:00,22.05,,,
70,06/02/2025 14:09:00,22.01,,,
71,06/02/2025 14:14:00,22.05,,,
72,06/02/2025 14:19:00,22.05,,,
73,06/02/2025 14:24:00,22.09,,,
74,06/02/2025 14:29:00,22.09,,,
75,06/02/2025 14:34:00,22.09,,,
76,06/02/2025 14:39:00,22.09,,,
77,06/02/2025 14:44:00,22.13,,,
78,06/02/2025 14:49:00,22.13,,,
79,06/02/2025 14:54:00,22.13,,,
80,06/02/2025 14:59:00,22.18,,,
81,06/02/2025 15:04:00,22.18,,,
82,06/02/2025 15:09:00,22.18,,,
83,06/02/2025 15:14:00,22.18,,,
84,06/02/2025 15:19:00,22.22,,,
85,06/02/2025 15:24:00,22.18,,,
86,06/02/2025 15:29:00,22.22,,,
87,06/02/2025 15:34:00,22.22,,,
88,06/02/2025 15:39:00,22.18,,,
89,06/02/2025 15:44:00,22.09,,,
90,06/02/2025 15:49:00,22.05,,,
91,06/02/2025 15:54:00,22.05,,,
92,06/02/2025 15:59:00,22.05,,,
93,06/02/2025 16:04:00,22.05,,,
94,06/02/2025 16:09:00,22.01,,,
95,06/02/2025 16:14:00,22.01,,,
96,06/02/2025 16:19:00,21.96,,,
97,06/02/2025 16:24:00,21.92,,,
98,06/02/2025 16:29:00,21.92,,,
99,06/02/2025 16:34:00,21.88,,,
100,06/02/2025 16:39:00,21.88,,,
101,06/02/2025 16:44:00,21.88,,,
102,06/02/2025 16:49:00,21.83,,,
103,06/02/2025 16:54:00,21.83,,,
104,06/02/2025 16:59:00,21.79,,,
105,06/02/2025 17:04:00,21.79,,,
106,06/02/2025 17:09:00,21.79,,,
107,06/02/2025 17:14:00,21.79,,,
108,06/02/2025 17:19:00,21.79,,,
109,06/02/2025 17:24:00,21.79,,,
110,06/02/2025 17:29:00,21.75,,,
111,06/02/2025 17:34:00,21.75,,,
112,06/02/2025 17:39:00,21.70,,,
113,06/02/2025 17:44:00,21.70,,,
114,06/02/2025 17:49:00,21.66,,,
115,06/02/2025 17:54:00,21.70,,,
116,06/02/2025 17:59:00,21.66,,,
117,06/02/2025 18:04:00,21.66,,,
118,06/02/2025 18:09:00,21.66,,,
119,06/02/2025 18:14:00,21.62,,,
120,06/02/2025 18:19:00,21.66,,,
121,06/02/2025 18:24:00,21.58,,,
122,06/02/2025 18:29:00,21.58,,,
123,06/02/2025 18:34:00,21.58,,,
124,06/02/2025 18:39:00,21.58,,,
125,06/02/2025 18:44:00,21.53,,,
126,06/02/2025 18:49:00,21.49,,,
127,06/02/2025 18:54:00,21.49,,,
128,06/02/2025 18:59:00,21.53,,,
129,06/02/2025 19:04:00,21.49,,,
130,06/02/2025 19:09:00,21.49,,,
131,06/02/2025 19:14:00,21.49,,,
132,06/02/2025 19:19:00,21.45,,,
133,06/02/2025 19:24:00,21.45,,,
134,06/02/2025 19:29:00,21.40,,,
135,06/02/2025 19:34:00,21.40,,,
136,06/02/2025 19:39:00,21.36,,,
137,06/02/2025 19:44:00,21.36,,,
138,06/02/2025 19:49:00,21.32,,,
139,06/02/2025 19:54:00,21.36,,,
140,06/02/2025 19:59:00,21.32,,,
141,06/02/2025 20:04:00,21.32,,,
142,06/02/2025 20:09:00,21.32,,,
143,06/02/2025 20:14:00,21.28,,,
144,06/02/2025 20:19:00,21.28,,,
145,06/02/2025 20:24:00,21.28,,,
146,06/02/2025 20:29:00,21.23,,,
147,06/02/2025 20:34:00,21.28,,,
148,06/02/2025 20:39:00,21.23,,,
149,06/02/2025 20:44:00,21.23,,,
150,06/02/2025 20:49:00,21.23,,,
151,06/02/2025 20:54:00,21.19,,,
152,06/02/2025 20:59:00,21.23,,,
153,06/02/2025 21:04:00,21.19,,,
154,06/02/2025 21:09:00,21.19,,,
155,06/02/2025 21:14:00,21.19,,,
156,06/02/2025 21:19:00,21.19,,,
157,06/02/2025 21:24:00,21.15,,,
158,06/02/2025 21:29:00,21.15,,,
159,06/02/2025 21:34:00,21.15,,,
160,06/02/2025 21:39:00,21.06,,,
161,06/02/2025 21:44:00,21.10,,,
162,06/02/2025 21:49:00,21.06,,,
163,06/02/2025 21:54:00,21.10,,,
164,06/02/2025 21:59:00,21.06,,,
165,06/02/2025 22:04:00,21.06,,,
166,06/02/2025 22:09:00,21.06,,,
167,06/02/2025 22:14:00,21.06,,,
168,06/02/2025 22:19:00,21.06,,,
169,06/02/2025 22:24:00,21.06,,,
170,06/02/2025 22:29:00,21.06,,,
171,06/02/2025 22:34:00,21.02,,,
172,06/02/2025 22:39:00,21.02,,,
173,06/02/2025 22:44:00,21.06,,,
174,06/02/2025 22:49:00,21.06,,,
175,06/02/2025 22:54:00,21.06,,,
176,06/02/2025 22:59:00,21.06,,,
177,06/02/2025 23:04:00,20.98,,,
178,06/02/2025 23:09:00,21.06,,,
179,06/02/2025 23:14:00,20.98,,,
180,06/02/2025 23:19:00,21.02,,,
181,06/02/2025 23:24:00,21.02,,,
182,06/02/2025 23:29:00,21.02,,,
183,06/02/2025 23:34:00,21.02,,,
184,06/02/2025 23:39:00,20.98,,,
185,06/02/2025 23:44:00,20.98,,,
186,06/02/2025 23:49:00,20.98,,,
187,06/02/2025 23:54:00,21.02,,,
188,06/02/2025 23:59:00,20.98,,,
189,06/03/2025 00:04:00,20.98,,,
190,06/03/2025 00:09:00,20.98,,,
191,06/03/2025 00:14:00,20.98,,,
192,06/03/2025 00:19:00,20.98,,,
193,06/03/2025 00:24:00,20.98,,,
194,06/03/2025 00:29:00,20.98,,,
195,06/03/2025 00:34:00,20.93,,,
196,06/03/2025 00:39:00,20.93,,,
197,06/03/2025 00:44:00,20.93,,,
198,06/03/2025 00:49:00,20.93,,,
199,06/03/2025 00:54:00,20.93,,,
200,06/03/2025 00:59:00,20.93,,,
201,06/03/2025 01:04:00,20.93,,,
202,06/03/2025 01:09:00,20.89,,,
203,06/03/2025 01:14:00,20.93,,,
204,06/03/2025 01:19:00,20.93,,,
205,06/03/2025 01:24:00,20.93,,,
206,06/03/2025 01:29:00,20.93,,,
207,06/03/2025 01:34:00,20.93,,,
208,06/03/2025 01:39:00,20.89,,,
209,06/03/2025 01:44:00,20.89,,,
210,06/03/2025 01:49:00,20.89,,,
211,06/03/2025 01:54:00,20.89,,,
212,06/03/2025 01:59:00,20.89,,,
213,06/03/2025 02:04:00,20.93,,,
214,06/03/2025 02:09:00,20.85,,,
215,06/03/2025 02:14:00,20.89,,,
216,06/03/2025 02:19:00,20.93,,,
217,06/03/2025 02:24:00,20.89,,,
218,06/03/2025 02:29:00,20.89,,,
219,06/03/2025 02:34:00,20.89,,,
220,06/03/2025 02:39:00,20.89,,,
221,06/03/2025 02:44:00,20.85,,,
222,06/03/2025 02:49:00,20.85,,,
223,06/03/2025 02:54:00,20.80,,,
224,06/03/2025 02:59:00,20.80,,,
225,06/03/2025 03:04:00,20.85,,,
226,06/03/2025 03:09:00,20.85,,,
227,06/03/2025 03:14:00,20.85,,,
228,06/03/2025 03:19:00,20.80,,,
229,06/03/2025 03:24:00,20.85,,,
230,06/03/2025 03:29:00,20.85,,,
231,06/03/2025 03:34:00,20.85,,,
232,06/03/2025 03:39:00,20.85,,,
233,06/03/2025 03:44:00,20.80,,,
234,06/03/2025 03:49:00,20.80,,,
235,06/03/2025 03:54:00,20.80,,,
236,06/03/2025 03:59:00,20.80,,,
237,06/03/2025 04:04:00,20.80,,,
238,06/03/2025 04:09:00,20.76,,,
239,06/03/2025 04:14:00,20.80,,,
240,06/03/2025 04:19:00,20.80,,,
241,06/03/2025 04:24:00,20.80,,,
242,06/03/2025 04:29:00,20.80,,,
243,06/03/2025 04:34:00,20.85,,,
244,06/03/2025 04:39:00,20.80,,,
245,06/03/2025 04:44:00,20.76,,,
246,06/03/2025 04:49:00,20.76,,,
247,06/03/2025 04:54:00,20.76,,,
248,06/03/2025 04:59:00,20.80,,,
249,06/03/2025 05:04:00,20.76,,,
250,06/03/2025 05:09:00,20.76,,,
251,06/03/2025 05:14:00,20.76,,,
252,06/03/2025 05:19:00,20.76,,,
253,06/03/2025 05:24:00,20.76,,,
254,06/03/2025 05:29:00,20.72,,,
255,06/03/2025 05:34:00,20.72,,,
256,06/03/2025 05:39:00,20.76,,,
257,06/03/2025 05:44:00,20.76,,,
258,06/03/2025 05:49:00,20.76,,,
259,06/03/2025 05:54:00,20.76,,,
260,06/03/2025 05:59:00,20.72,,,
261,06/03/2025 06:04:00,20.72,,,
262,06/03/2025 06:09:00,20.76,,,
263,06/03/2025 06:14:00,20.76,,,
264,06/03/2025 06:19:00,20.72,,,
265,06/03/2025 06:24:00,20.72,,,
266,06/03/2025 06:29:00,20.76,,,
267,06/03/2025 06:34:00,20.76,,,
268,06/03/2025 06:39:00,20.80,,,
269,06/03/2025 06:44:00,20.80,,,
270,06/03/2025 06:49:00,20.85,,,
271,06/03/2025 06:54:00,20.85,,,
272,06/03/2025 06:59:00,20.89,,,
273,06/03/2025 07:04:00,20.93,,,
274,06/03/2025 07:09:00,21.02,,,
275,06/03/2025 07:14:00,21.10,,,
276,06/03/2025 07:19:00,21.32,,,
277,06/03/2025 07:24:00,21.40,,,
278,06/03/2025 07:29:00,21.32,,,
279,06/03/2025 07:34:00,21.32,,,
280,06/03/2025 07:39:00,21.28,,,
281,06/03/2025 07:44:00,21.32,,,
282,06/03/2025 07:49:00,21.28,,,
283,06/03/2025 07:54:00,21.28,,,
284,06/03/2025 07:59:00,21.32,,,
285,06/03/2025 08:04:00,21.40,,,
286,06/03/2025 08:09:00,19.77,,,
287,06/03/2025 08:14:00,19.39,,,
288,06/03/2025 08:19:00,18.53,,,
289,06/03/2025 08:24:00,21.62,,,
290,06/03/2025 08:29:00,23.89,,,
291,06/03/2025 08:34:00,25.91,,,
292,06/03/2025 08:39:00,29.34,,,
293,06/03/2025 08:44:00,34.10,,,
294,06/03/2025 08:49:00,28.14,,,
295,06/03/2025 08:54:00,22.82,,,
296,06/03/2025 08:59:00,20.68,,,
297,06/03/2025 09:04:00,19.82,,,
298,06/03/2025 09:09:00,19.47,,,
299,06/03/2025 09:14:00,20.89,,,
300,06/03/2025 09:19:00,20.59,,,
301,06/03/2025 09:24:00,24.15,,,
302,06/03/2025 09:29:00,28.31,,,
303,06/03/2025 09:34:00,31.36,,,
304,06/03/2025 09:39:00,37.62,,,
