#,Date-Time (EDT),Temperature   (°C),Started,Host Connected,Button Down,Button Up,End of File
1,06/02/2025 08:29:25,22.18,Logged,,,,
2,06/02/2025 08:34:25,21.96,,,,,
3,06/02/2025 08:39:25,21.66,,,,,
4,06/02/2025 08:44:25,21.49,,,,,
5,06/02/2025 08:49:25,21.32,,,,,
6,06/02/2025 08:54:25,21.23,,,,,
7,06/02/2025 08:59:25,21.28,,,,,
8,06/02/2025 09:04:25,21.28,,,,,
9,06/02/2025 09:09:25,21.28,,,,,
10,06/02/2025 09:14:25,21.28,,,,,
11,06/02/2025 09:19:25,21.28,,,,,
12,06/02/2025 09:24:25,21.28,,,,,
13,06/02/2025 09:29:25,21.23,,,,,
14,06/02/2025 09:34:25,21.28,,,,,
15,06/02/2025 09:39:25,21.32,,,,,
16,06/02/2025 09:44:25,21.32,,,,,
17,06/02/2025 09:49:25,21.36,,,,,
18,06/02/2025 09:54:25,21.36,,,,,
19,06/02/2025 09:59:25,21.36,,,,,
20,06/02/2025 10:04:25,21.40,,,,,
21,06/02/2025 10:09:25,21.40,,,,,
22,06/02/2025 10:14:25,21.40,,,,,
23,06/02/2025 10:19:25,21.40,,,,,
24,06/02/2025 10:24:25,21.40,,,,,
25,06/02/2025 10:29:25,21.45,,,,,
26,06/02/2025 10:34:25,21.49,,,,,
27,06/02/2025 10:39:25,21.45,,,,,
28,06/02/2025 10:44:25,21.53,,,,,
29,06/02/2025 10:49:25,21.58,,,,,
30,06/02/2025 10:54:25,21.58,,,,,
31,06/02/2025 10:59:25,21.58,,,,,
32,06/02/2025 11:04:25,21.53,,,,,
33,06/02/2025 11:09:25,21.45,,,,,
34,06/02/2025 11:14:25,21.53,,,,,
35,06/02/2025 11:19:25,21.53,,,,,
36,06/02/2025 11:24:25,21.58,,,,,
37,06/02/2025 11:29:25,21.58,,,,,
38,06/02/2025 11:34:25,21.62,,,,,
39,06/02/2025 11:39:25,21.66,,,,,
40,06/02/2025 11:44:25,21.66,,,,,
41,06/02/2025 11:49:25,21.70,,,,,
42,06/02/2025 11:54:25,21.75,,,,,
43,06/02/2025 11:59:25,21.79,,,,,
44,06/02/2025 12:04:25,21.79,,,,,
45,06/02/2025 12:09:25,21.75,,,,,
46,06/02/2025 12:14:25,21.75,,,,,
47,06/02/2025 12:19:25,21.70,,,,,
48,06/02/2025 12:24:25,21.75,,,,,
49,06/02/2025 12:29:25,21.70,,,,,
50,06/02/2025 12:34:25,21.75,,,,,
51,06/02/2025 12:39:25,21.75,,,,,
52,06/02/2025 12:44:25,21.79,,,,,
53,06/02/2025 12:49:25,21.79,,,,,
54,06/02/2025 12:54:25,21.83,,,,,
55,06/02/2025 12:59:25,21.83,,,,,
56,06/02/2025 13:04:25,21.83,,,,,
57,06/02/2025 13:09:25,21.79,,,,,
58,06/02/2025 13:14:25,21.83,,,,,
59,06/02/2025 13:19:25,21.83,,,,,
60,06/02/2025 13:24:25,21.83,,,,,
61,06/02/2025 13:29:25,21.83,,,,,
62,06/02/2025 13:34:25,21.88,,,,,
63,06/02/2025 13:39:25,21.83,,,,,
64,06/02/2025 13:44:25,21.88,,,,,
65,06/02/2025 13:49:25,21.88,,,,,
66,06/02/2025 13:54:25,21.88,,,,,
67,06/02/2025 13:59:25,21.83,,,,,
68,06/02/2025 14:04:25,21.96,,,,,
69,06/02/2025 14:09:25,21.92,,,,,
70,06/02/2025 14:14:25,21.88,,,,,
71,06/02/2025 14:19:25,21.88,,,,,
72,06/02/2025 14:24:25,21.96,,,,,
73,06/02/2025 14:29:25,21.96,,,,,
74,06/02/2025 14:34:25,22.01,,,,,
75,06/02/2025 14:39:25,22.05,,,,,
76,06/02/2025 14:44:25,21.96,,,,,
77,06/02/2025 14:49:25,22.05,,,,,
78,06/02/2025 14:54:25,22.09,,,,,
79,06/02/2025 14:59:25,22.05,,,,,
80,06/02/2025 15:04:25,22.09,,,,,
81,06/02/2025 15:09:25,22.09,,,,,
82,06/02/2025 15:14:25,22.13,,,,,
83,06/02/2025 15:19:25,22.09,,,,,
84,06/02/2025 15:24:25,22.13,,,,,
85,06/02/2025 15:29:25,22.09,,,,,
86,06/02/2025 15:34:25,22.13,,,,,
87,06/02/2025 15:39:25,22.05,,,,,
88,06/02/2025 15:44:25,22.05,,,,,
89,06/02/2025 15:49:25,22.05,,,,,
90,06/02/2025 15:54:25,22.01,,,,,
91,06/02/2025 15:59:25,22.01,,,,,
92,06/02/2025 16:04:25,21.96,,,,,
93,06/02/2025 16:09:25,21.92,,,,,
94,06/02/2025 16:14:25,21.92,,,,,
95,06/02/2025 16:19:25,21.92,,,,,
96,06/02/2025 16:24:25,21.88,,,,,
97,06/02/2025 16:29:25,21.88,,,,,
98,06/02/2025 16:34:25,21.83,,,,,
99,06/02/2025 16:39:25,21.88,,,,,
100,06/02/2025 16:44:25,21.79,,,,,
101,06/02/2025 16:49:25,21.83,,,,,
102,06/02/2025 16:54:25,21.75,,,,,
103,06/02/2025 16:59:25,21.75,,,,,
104,06/02/2025 17:04:25,21.75,,,,,
105,06/02/2025 17:09:25,21.75,,,,,
106,06/02/2025 17:14:25,21.70,,,,,
107,06/02/2025 17:19:25,21.75,,,,,
108,06/02/2025 17:24:25,21.70,,,,,
109,06/02/2025 17:29:25,21.66,,,,,
110,06/02/2025 17:34:25,21.66,,,,,
111,06/02/2025 17:39:25,21.66,,,,,
112,06/02/2025 17:44:25,21.66,,,,,
113,06/02/2025 17:49:25,21.66,,,,,
114,06/02/2025 17:54:25,21.66,,,,,
115,06/02/2025 17:59:25,21.66,,,,,
116,06/02/2025 18:04:25,21.66,,,,,
117,06/02/2025 18:09:25,21.62,,,,,
118,06/02/2025 18:14:25,21.58,,,,,
119,06/02/2025 18:19:25,21.58,,,,,
120,06/02/2025 18:24:25,21.58,,,,,
121,06/02/2025 18:29:25,21.58,,,,,
122,06/02/2025 18:34:25,21.58,,,,,
123,06/02/2025 18:39:25,21.53,,,,,
124,06/02/2025 18:44:25,21.53,,,,,
125,06/02/2025 18:49:25,21.49,,,,,
126,06/02/2025 18:54:25,21.49,,,,,
127,06/02/2025 18:59:25,21.49,,,,,
128,06/02/2025 19:04:25,21.49,,,,,
129,06/02/2025 19:09:25,21.45,,,,,
130,06/02/2025 19:14:25,21.45,,,,,
131,06/02/2025 19:19:25,21.45,,,,,
132,06/02/2025 19:24:25,21.45,,,,,
133,06/02/2025 19:29:25,21.45,,,,,
134,06/02/2025 19:34:25,21.40,,,,,
135,06/02/2025 19:39:25,21.36,,,,,
136,06/02/2025 19:44:25,21.36,,,,,
137,06/02/2025 19:49:25,21.36,,,,,
138,06/02/2025 19:54:25,21.32,,,,,
139,06/02/2025 19:59:25,21.36,,,,,
140,06/02/2025 20:04:25,21.32,,,,,
141,06/02/2025 20:09:25,21.32,,,,,
142,06/02/2025 20:14:25,21.32,,,,,
143,06/02/2025 20:19:25,21.28,,,,,
144,06/02/2025 20:24:25,21.28,,,,,
145,06/02/2025 20:29:25,21.32,,,,,
146,06/02/2025 20:34:25,21.28,,,,,
147,06/02/2025 20:39:25,21.23,,,,,
148,06/02/2025 20:44:25,21.19,,,,,
149,06/02/2025 20:49:25,21.23,,,,,
150,06/02/2025 20:54:25,21.23,,,,,
151,06/02/2025 20:59:25,21.28,,,,,
152,06/02/2025 21:04:25,21.23,,,,,
153,06/02/2025 21:09:25,21.15,,,,,
154,06/02/2025 21:14:25,21.19,,,,,
155,06/02/2025 21:19:25,21.19,,,,,
156,06/02/2025 21:24:25,21.19,,,,,
157,06/02/2025 21:29:25,21.15,,,,,
158,06/02/2025 21:34:25,21.15,,,,,
159,06/02/2025 21:39:25,21.10,,,,,
160,06/02/2025 21:44:25,21.10,,,,,
161,06/02/2025 21:49:25,21.10,,,,,
162,06/02/2025 21:54:25,21.15,,,,,
163,06/02/2025 21:59:25,21.06,,,,,
164,06/02/2025 22:04:25,21.06,,,,,
165,06/02/2025 22:09:25,21.06,,,,,
166,06/02/2025 22:14:25,21.06,,,,,
167,06/02/2025 22:19:25,21.06,,,,,
