#,Date-Time (EDT),Temperature   (°C),Started,Host Connected,End of File
1,06/02/2025 08:26:15,21.66,Logged,,
2,06/02/2025 08:31:15,21.62,,,
3,06/02/2025 08:36:15,21.53,,,
4,06/02/2025 08:41:15,21.40,,,
5,06/02/2025 08:46:15,21.36,,,
6,06/02/2025 08:51:15,21.32,,,
7,06/02/2025 08:56:15,21.28,,,
8,06/02/2025 09:01:15,21.28,,,
9,06/02/2025 09:06:15,21.32,,,
10,06/02/2025 09:11:15,21.28,,,
11,06/02/2025 09:16:15,21.32,,,
12,06/02/2025 09:21:15,21.36,,,
13,06/02/2025 09:26:15,21.40,,,
14,06/02/2025 09:31:15,21.40,,,
15,06/02/2025 09:36:15,21.40,,,
16,06/02/2025 09:41:15,21.45,,,
17,06/02/2025 09:46:15,21.40,,,
18,06/02/2025 09:51:15,21.49,,,
19,06/02/2025 09:56:15,21.49,,,
20,06/02/2025 10:01:15,21.49,,,
21,06/02/2025 10:06:15,21.49,,,
22,06/02/2025 10:11:15,21.45,,,
23,06/02/2025 10:16:15,21.45,,,
24,06/02/2025 10:21:15,21.53,,,
25,06/02/2025 10:26:15,21.53,,,
26,06/02/2025 10:31:15,21.58,,,
27,06/02/2025 10:36:15,21.58,,,
28,06/02/2025 10:41:15,21.62,,,
29,06/02/2025 10:46:15,21.66,,,
30,06/02/2025 10:51:15,21.70,,,
31,06/02/2025 10:56:15,21.70,,,
32,06/02/2025 11:01:15,21.70,,,
33,06/02/2025 11:06:15,21.58,,,
34,06/02/2025 11:11:15,21.62,,,
35,06/02/2025 11:16:15,21.66,,,
36,06/02/2025 11:21:15,21.70,,,
37,06/02/2025 11:26:15,21.75,,,
38,06/02/2025 11:31:15,21.79,,,
39,06/02/2025 11:36:15,21.75,,,
40,06/02/2025 11:41:15,21.79,,,
41,06/02/2025 11:46:15,21.79,,,
42,06/02/2025 11:51:15,21.83,,,
43,06/02/2025 11:56:15,21.88,,,
44,06/02/2025 12:01:15,21.88,,,
45,06/02/2025 12:06:15,21.88,,,
46,06/02/2025 12:11:15,21.88,,,
47,06/02/2025 12:16:15,21.88,,,
48,06/02/2025 12:21:15,21.88,,,
49,06/02/2025 12:26:15,21.83,,,
50,06/02/2025 12:31:15,21.92,,,
51,06/02/2025 12:36:15,21.88,,,
52,06/02/2025 12:41:15,21.88,,,
53,06/02/2025 12:46:15,21.92,,,
54,06/02/2025 12:51:15,21.92,,,
55,06/02/2025 12:56:15,21.96,,,
56,06/02/2025 13:01:15,21.92,,,
57,06/02/2025 13:06:15,21.96,,,
58,06/02/2025 13:11:15,21.96,,,
59,06/02/2025 13:16:15,21.96,,,
60,06/02/2025 13:21:15,21.96,,,
61,06/02/2025 13:26:15,22.01,,,
62,06/02/2025 13:31:15,21.96,,,
63,06/02/2025 13:36:15,22.01,,,
64,06/02/2025 13:41:15,21.96,,,
65,06/02/2025 13:46:15,22.01,,,
66,06/02/2025 13:51:15,21.96,,,
67,06/02/2025 13:56:15,22.01,,,
68,06/02/2025 14:01:15,22.05,,,
69,06/02/2025 14:06:15,22.01,,,
70,06/02/2025 14:11:15,22.01,,,
71,06/02/2025 14:16:15,22.01,,,
72,06/02/2025 14:21:15,22.05,,,
73,06/02/2025 14:26:15,22.09,,,
74,06/02/2025 14:31:15,22.05,,,
75,06/02/2025 14:36:15,22.09,,,
76,06/02/2025 14:41:15,22.09,,,
77,06/02/2025 14:46:15,22.09,,,
78,06/02/2025 14:51:15,22.13,,,
79,06/02/2025 14:56:15,22.18,,,
80,06/02/2025 15:01:15,22.22,,,
81,06/02/2025 15:06:15,22.18,,,
82,06/02/2025 15:11:15,22.22,,,
83,06/02/2025 15:16:15,22.22,,,
84,06/02/2025 15:21:15,22.22,,,
85,06/02/2025 15:26:15,22.22,,,
86,06/02/2025 15:31:15,22.22,,,
87,06/02/2025 15:36:15,22.18,,,
88,06/02/2025 15:41:15,22.13,,,
89,06/02/2025 15:46:15,22.09,,,
90,06/02/2025 15:51:15,22.09,,,
91,06/02/2025 15:56:15,22.09,,,
92,06/02/2025 16:01:15,22.09,,,
93,06/02/2025 16:06:15,22.05,,,
94,06/02/2025 16:11:15,22.05,,,
95,06/02/2025 16:16:15,22.01,,,
96,06/02/2025 16:21:15,21.96,,,
97,06/02/2025 16:26:15,21.96,,,
98,06/02/2025 16:31:15,21.92,,,
99,06/02/2025 16:36:15,21.92,,,
100,06/02/2025 16:41:15,21.92,,,
101,06/02/2025 16:46:15,21.88,,,
102,06/02/2025 16:51:15,21.83,,,
103,06/02/2025 16:56:15,21.88,,,
104,06/02/2025 17:01:15,21.83,,,
105,06/02/2025 17:06:15,21.79,,,
106,06/02/2025 17:11:15,21.83,,,
107,06/02/2025 17:16:15,21.79,,,
108,06/02/2025 17:21:15,21.83,,,
109,06/02/2025 17:26:15,21.75,,,
110,06/02/2025 17:31:15,21.83,,,
111,06/02/2025 17:36:15,21.75,,,
112,06/02/2025 17:41:15,21.75,,,
113,06/02/2025 17:46:15,21.75,,,
114,06/02/2025 17:51:15,21.70,,,
115,06/02/2025 17:56:15,21.70,,,
116,06/02/2025 18:01:15,21.70,,,
117,06/02/2025 18:06:15,21.70,,,
118,06/02/2025 18:11:15,21.66,,,
119,06/02/2025 18:16:15,21.66,,,
120,06/02/2025 18:21:15,21.66,,,
121,06/02/2025 18:26:15,21.62,,,
122,06/02/2025 18:31:15,21.66,,,
123,06/02/2025 18:36:15,21.62,,,
124,06/02/2025 18:41:15,21.62,,,
125,06/02/2025 18:46:15,21.58,,,
126,06/02/2025 18:51:15,21.53,,,
127,06/02/2025 18:56:15,21.58,,,
128,06/02/2025 19:01:15,21.53,,,
129,06/02/2025 19:06:15,21.49,,,
130,06/02/2025 19:11:15,21.49,,,
131,06/02/2025 19:16:15,21.49,,,
132,06/02/2025 19:21:15,21.45,,,
133,06/02/2025 19:26:15,21.49,,,
134,06/02/2025 19:31:15,21.45,,,
135,06/02/2025 19:36:15,21.40,,,
136,06/02/2025 19:41:15,21.40,,,
137,06/02/2025 19:46:15,21.40,,,
138,06/02/2025 19:51:15,21.36,,,
139,06/02/2025 19:56:15,21.40,,,
140,06/02/2025 20:01:15,21.36,,,
141,06/02/2025 20:06:15,21.36,,,
142,06/02/2025 20:11:15,21.36,,,
143,06/02/2025 20:16:15,21.32,,,
144,06/02/2025 20:21:15,21.32,,,
145,06/02/2025 20:26:15,21.32,,,
146,06/02/2025 20:31:15,21.28,,,
147,06/02/2025 20:36:15,21.32,,,
148,06/02/2025 20:41:15,21.23,,,
149,06/02/2025 20:46:15,21.28,,,
150,06/02/2025 20:51:15,21.23,,,
151,06/02/2025 20:56:15,21.28,,,
152,06/02/2025 21:01:15,21.23,,,
153,06/02/2025 21:06:15,21.28,,,
154,06/02/2025 21:11:15,21.23,,,
155,06/02/2025 21:16:15,21.19,,,
156,06/02/2025 21:21:15,21.19,,,
157,06/02/2025 21:26:15,21.23,,,
158,06/02/2025 21:31:15,21.19,,,
159,06/02/2025 21:36:15,21.19,,,
160,06/02/2025 21:41:15,21.19,,,
161,06/02/2025 21:46:15,21.15,,,
162,06/02/2025 21:51:15,21.15,,,
163,06/02/2025 21:56:15,21.15,,,
164,06/02/2025 22:01:15,21.10,,,
165,06/02/2025 22:06:15,21.06,,,
166,06/02/2025 22:11:15,21.10,,,
