#,Date-Time (EDT),Temperature   (°C),Light   (lux),Started,Button Down,Button Up,Host Connected,End of File
1,06/02/2025 08:32:35,22.01,313.12,Logged,,,,
2,06/02/2025 08:37:35,21.70,271.20,,,,,
3,06/02/2025 08:42:35,21.58,277.12,,,,,
4,06/02/2025 08:47:35,21.40,273.76,,,,,
5,06/02/2025 08:52:35,21.28,281.36,,,,,
6,06/02/2025 08:57:35,21.23,278.00,,,,,
7,06/02/2025 09:02:35,21.19,286.72,,,,,
8,06/02/2025 09:07:35,21.15,288.40,,,,,
9,06/02/2025 09:12:35,21.15,290.96,,,,,
10,06/02/2025 09:17:35,21.15,302.08,,,,,
11,06/02/2025 09:22:35,21.19,283.28,,,,,
12,06/02/2025 09:27:35,21.23,293.52,,,,,
13,06/02/2025 09:32:35,21.19,291.84,,,,,
14,06/02/2025 09:37:35,21.28,290.16,,,,,
15,06/02/2025 09:42:35,21.23,290.16,,,,,
16,06/02/2025 09:47:35,21.28,298.64,,,,,
17,06/02/2025 09:52:35,21.32,292.64,,,,,
18,06/02/2025 09:57:35,21.36,299.52,,,,,
19,06/02/2025 10:02:35,21.32,319.04,,,,,
20,06/02/2025 10:07:35,21.28,314.80,,,,,
21,06/02/2025 10:12:35,21.28,288.40,,,,,
22,06/02/2025 10:17:35,21.32,285.84,,,,,
23,06/02/2025 10:22:35,21.32,294.40,,,,,
24,06/02/2025 10:27:35,21.32,290.96,,,,,
25,06/02/2025 10:32:35,21.40,301.20,,,,,
26,06/02/2025 10:37:35,21.36,299.52,,,,,
27,06/02/2025 10:42:35,21.40,306.32,,,,,
28,06/02/2025 10:47:35,21.49,287.60,,,,,
29,06/02/2025 10:52:35,21.45,285.68,,,,,
30,06/02/2025 10:57:35,21.92,667.84,,,,,
31,06/02/2025 11:02:35,22.56,10803.20,,,,,
32,06/02/2025 11:07:35,21.06,280.56,,,,,
33,06/02/2025 11:12:35,21.10,288.40,,,,,
34,06/02/2025 11:17:35,21.19,283.12,,,,,
35,06/02/2025 11:22:35,21.28,296.96,,,,,
36,06/02/2025 11:27:35,21.40,299.52,,,,,
37,06/02/2025 11:32:35,21.40,301.20,,,,,
38,06/02/2025 11:37:35,21.49,300.32,,,,,
39,06/02/2025 11:42:35,21.53,301.20,,,,,
40,06/02/2025 11:47:35,21.53,299.52,,,,,
41,06/02/2025 11:52:35,21.53,300.32,,,,,
42,06/02/2025 11:57:35,21.58,304.64,,,,,
43,06/02/2025 12:02:35,21.58,303.76,,,,,
44,06/02/2025 12:07:35,21.62,306.32,,,,,
45,06/02/2025 12:12:35,21.62,322.72,,,,,
46,06/02/2025 12:17:35,21.58,321.84,,,,,
47,06/02/2025 12:22:35,21.62,326.08,,,,,
48,06/02/2025 12:27:35,21.62,326.08,,,,,
49,06/02/2025 12:32:35,21.58,327.84,,,,,
50,06/02/2025 12:37:35,21.58,331.20,,,,,
51,06/02/2025 12:42:35,21.66,331.20,,,,,
52,06/02/2025 12:47:35,21.58,331.20,,,,,
53,06/02/2025 12:52:35,21.66,332.00,,,,,
54,06/02/2025 12:57:35,21.66,332.80,,,,,
55,06/02/2025 13:02:35,21.66,306.32,,,,,
56,06/02/2025 13:07:35,21.70,307.12,,,,,
57,06/02/2025 13:12:35,21.62,307.12,,,,,
58,06/02/2025 13:17:35,21.66,312.24,,,,,
59,06/02/2025 13:22:35,21.75,307.12,,,,,
60,06/02/2025 13:27:35,21.70,288.24,,,,,
61,06/02/2025 13:32:35,21.75,307.12,,,,,
62,06/02/2025 13:37:35,21.70,306.32,,,,,
63,06/02/2025 13:42:35,21.75,288.24,,,,,
64,06/02/2025 13:47:35,21.75,299.52,,,,,
65,06/02/2025 13:52:35,21.75,301.20,,,,,
66,06/02/2025 13:57:35,21.79,296.08,,,,,
67,06/02/2025 14:02:35,21.83,307.12,,,,,
68,06/02/2025 14:07:35,21.79,311.44,,,,,
69,06/02/2025 14:12:35,21.79,298.64,,,,,
70,06/02/2025 14:17:35,21.75,301.20,,,,,
71,06/02/2025 14:22:35,21.83,293.52,,,,,
72,06/02/2025 14:27:35,21.83,300.32,,,,,
73,06/02/2025 14:32:35,21.83,303.76,,,,,
74,06/02/2025 14:37:35,21.88,302.88,,,,,
75,06/02/2025 14:42:35,21.92,319.28,,,,,
76,06/02/2025 14:47:35,21.92,305.44,,,,,
77,06/02/2025 14:52:35,21.92,312.24,,,,,
78,06/02/2025 14:57:35,21.92,344.00,,,,,
79,06/02/2025 15:02:35,21.96,367.84,,,,,
80,06/02/2025 15:07:35,21.96,371.36,,,,,
81,06/02/2025 15:12:35,21.96,374.56,,,,,
82,06/02/2025 15:17:35,21.96,372.00,,,,,
83,06/02/2025 15:22:35,22.01,356.64,,,,,
84,06/02/2025 15:27:35,21.96,336.32,,,,,
85,06/02/2025 15:32:35,21.96,351.68,,,,,
86,06/02/2025 15:37:35,21.96,77.06,,,,,
87,06/02/2025 15:42:35,21.96,71.10,,,,,
88,06/02/2025 15:47:35,21.92,66.42,,,,,
89,06/02/2025 15:52:35,21.88,59.98,,,,,
90,06/02/2025 15:57:35,21.83,62.96,,,,,
91,06/02/2025 16:02:35,21.83,66.42,,,,,
92,06/02/2025 16:07:35,21.79,65.98,,,,,
93,06/02/2025 16:12:35,21.79,58.26,,,,,
94,06/02/2025 16:17:35,21.79,54.38,,,,,
95,06/02/2025 16:22:35,21.79,48.36,,,,,
96,06/02/2025 16:27:35,21.75,41.56,,,,,
97,06/02/2025 16:32:35,21.75,37.68,,,,,
98,06/02/2025 16:37:35,21.75,37.25,,,,,
99,06/02/2025 16:42:35,21.75,35.97,,,,,
100,06/02/2025 16:47:35,21.70,38.10,,,,,
101,06/02/2025 16:52:35,21.70,36.82,,,,,
102,06/02/2025 16:57:35,21.66,38.53,,,,,
103,06/02/2025 17:02:35,21.70,39.43,,,,,
104,06/02/2025 17:07:35,21.58,37.25,,,,,
105,06/02/2025 17:12:35,21.62,35.12,,,,,
106,06/02/2025 17:17:35,21.66,36.40,,,,,
107,06/02/2025 17:22:35,21.66,33.84,,,,,
108,06/02/2025 17:27:35,21.58,36.40,,,,,
109,06/02/2025 17:32:35,21.62,41.98,,,,,
110,06/02/2025 17:37:35,21.62,44.12,,,,,
111,06/02/2025 17:42:35,21.58,45.38,,,,,
112,06/02/2025 17:47:35,21.62,35.55,,,,,
113,06/02/2025 17:52:35,21.58,25.70,,,,,
114,06/02/2025 17:57:35,21.62,24.00,,,,,
115,06/02/2025 18:02:35,21.58,22.67,,,,,
116,06/02/2025 18:07:35,21.53,21.39,,,,,
117,06/02/2025 18:12:35,21.58,19.26,,,,,
118,06/02/2025 18:17:35,21.49,18.20,,,,,
119,06/02/2025 18:22:35,21.53,17.56,,,,,
120,06/02/2025 18:27:35,21.53,12.85,,,,,
121,06/02/2025 18:32:35,21.45,12.40,,,,,
122,06/02/2025 18:37:35,21.49,13.06,,,,,
123,06/02/2025 18:42:35,21.49,11.12,,,,,
124,06/02/2025 18:47:35,21.49,10.69,,,,,
125,06/02/2025 18:52:35,21.45,10.69,,,,,
126,06/02/2025 18:57:35,21.45,8.99,,,,,
127,06/02/2025 19:02:35,21.40,7.71,,,,,
128,06/02/2025 19:07:35,21.40,6.83,,,,,
129,06/02/2025 19:12:35,21.36,5.77,,,,,
130,06/02/2025 19:17:35,21.36,5.13,,,,,
131,06/02/2025 19:22:35,21.40,4.07,,,,,
132,06/02/2025 19:27:35,21.32,3.43,,,,,
133,06/02/2025 19:32:35,21.32,2.98,,,,,
134,06/02/2025 19:37:35,21.36,2.55,,,,,
135,06/02/2025 19:42:35,21.32,1.91,,,,,
136,06/02/2025 19:47:35,21.32,1.70,,,,,
137,06/02/2025 19:52:35,21.32,1.70,,,,,
138,06/02/2025 19:57:35,21.32,0.85,,,,,
139,06/02/2025 20:02:35,21.23,0.42,,,,,
140,06/02/2025 20:07:35,21.28,0.21,,,,,
141,06/02/2025 20:12:35,21.28,0.00,,,,,
142,06/02/2025 20:17:35,21.28,0.00,,,,,
143,06/02/2025 20:22:35,21.28,0.00,,,,,
144,06/02/2025 20:27:35,21.23,0.00,,,,,
145,06/02/2025 20:32:35,21.19,0.00,,,,,
146,06/02/2025 20:37:35,21.19,0.00,,,,,
147,06/02/2025 20:42:35,21.19,0.00,,,,,
148,06/02/2025 20:47:35,21.19,0.00,,,,,
149,06/02/2025 20:52:35,21.19,0.00,,,,,
150,06/02/2025 20:57:35,21.19,0.00,,,,,
151,06/02/2025 21:02:35,21.15,0.00,,,,,
152,06/02/2025 21:07:35,21.19,0.00,,,,,
153,06/02/2025 21:12:35,21.19,0.00,,,,,
154,06/02/2025 21:17:35,21.10,0.00,,,,,
155,06/02/2025 21:22:35,21.15,0.00,,,,,
156,06/02/2025 21:27:35,21.15,0.00,,,,,
157,06/02/2025 21:32:35,21.10,0.00,,,,,
158,06/02/2025 21:37:35,21.10,0.00,,,,,
159,06/02/2025 21:42:35,21.10,0.00,,,,,
160,06/02/2025 21:47:35,21.10,0.00,,,,,
161,06/02/2025 21:52:35,21.06,0.00,,,,,
162,06/02/2025 21:57:35,21.06,0.00,,,,,
163,06/02/2025 22:02:35,21.06,0.00,,,,,
164,06/02/2025 22:07:35,21.02,0.00,,,,,
165,06/02/2025 22:12:35,21.06,0.00,,,,,
166,06/02/2025 22:17:35,21.02,0.00,,,,,
167,06/02/2025 22:22:35,21.06,0.00,,,,,
168,06/02/2025 22:27:35,21.06,0.00,,,,,
169,06/02/2025 22:32:35,21.02,0.00,,,,,
170,06/02/2025 22:37:35,21.06,0.00,,,,,
171,06/02/2025 22:42:35,21.10,0.00,,,,,
172,06/02/2025 22:47:35,21.02,0.00,,,,,
173,06/02/2025 22:52:35,21.02,0.00,,,,,
174,06/02/2025 22:57:35,21.02,0.00,,,,,
175,06/02/2025 23:02:35,21.06,0.00,,,,,
176,06/02/2025 23:07:35,21.02,0.00,,,,,
177,06/02/2025 23:12:35,21.02,0.00,,,,,
178,06/02/2025 23:17:35,21.02,0.00,,,,,
179,06/02/2025 23:22:35,21.02,0.00,,,,,
180,06/02/2025 23:27:35,21.02,0.00,,,,,
181,06/02/2025 23:32:35,20.98,0.00,,,,,
182,06/02/2025 23:37:35,21.02,0.00,,,,,
183,06/02/2025 23:42:35,20.98,0.00,,,,,
184,06/02/2025 23:47:35,21.02,0.00,,,,,
185,06/02/2025 23:52:35,20.93,0.00,,,,,
186,06/02/2025 23:57:35,21.02,0.00,,,,,
187,06/03/2025 00:02:35,20.98,0.00,,,,,
188,06/03/2025 00:07:35,20.98,0.00,,,,,
