#,Date-Time (EDT),Temperature   (°C),Started,Host Connected,End of File
1,06/02/2025 08:31:20,21.96,Logged,,
2,06/02/2025 08:36:20,21.79,,,
3,06/02/2025 08:41:20,21.53,,,
4,06/02/2025 08:46:20,21.36,,,
5,06/02/2025 08:51:20,21.32,,,
6,06/02/2025 08:56:20,21.28,,,
7,06/02/2025 09:01:20,21.19,,,
8,06/02/2025 09:06:20,21.23,,,
9,06/02/2025 09:11:20,21.23,,,
10,06/02/2025 09:16:20,21.19,,,
11,06/02/2025 09:21:20,21.28,,,
12,06/02/2025 09:26:20,21.28,,,
13,06/02/2025 09:31:20,21.28,,,
14,06/02/2025 09:36:20,21.28,,,
15,06/02/2025 09:41:20,21.32,,,
16,06/02/2025 09:46:20,21.32,,,
17,06/02/2025 09:51:20,21.32,,,
18,06/02/2025 09:56:20,21.40,,,
19,06/02/2025 10:01:20,21.36,,,
20,06/02/2025 10:06:20,21.36,,,
21,06/02/2025 10:11:20,21.32,,,
22,06/02/2025 10:16:20,21.32,,,
23,06/02/2025 10:21:20,21.36,,,
24,06/02/2025 10:26:20,21.40,,,
25,06/02/2025 10:31:20,21.40,,,
26,06/02/2025 10:36:20,21.45,,,
27,06/02/2025 10:41:20,21.49,,,
28,06/02/2025 10:46:20,21.49,,,
29,06/02/2025 10:51:20,21.53,,,
30,06/02/2025 10:56:20,21.53,,,
31,06/02/2025 11:01:20,21.92,,,
32,06/02/2025 11:06:20,20.85,,,
33,06/02/2025 11:11:20,21.06,,,
34,06/02/2025 11:16:20,21.23,,,
35,06/02/2025 11:21:20,21.36,,,
36,06/02/2025 11:26:20,21.45,,,
37,06/02/2025 11:31:20,21.53,,,
38,06/02/2025 11:36:20,21.58,,,
39,06/02/2025 11:41:20,21.58,,,
40,06/02/2025 11:46:20,21.66,,,
41,06/02/2025 11:51:20,21.70,,,
42,06/02/2025 11:56:20,21.70,,,
43,06/02/2025 12:01:20,21.70,,,
44,06/02/2025 12:06:20,21.70,,,
45,06/02/2025 12:11:20,21.70,,,
46,06/02/2025 12:16:20,21.70,,,
47,06/02/2025 12:21:20,21.70,,,
48,06/02/2025 12:26:20,21.66,,,
49,06/02/2025 12:31:20,21.70,,,
50,06/02/2025 12:36:20,21.70,,,
51,06/02/2025 12:41:20,21.75,,,
52,06/02/2025 12:46:20,21.75,,,
53,06/02/2025 12:51:20,21.79,,,
54,06/02/2025 12:56:20,21.79,,,
55,06/02/2025 13:01:20,21.79,,,
56,06/02/2025 13:06:20,21.79,,,
57,06/02/2025 13:11:20,21.79,,,
58,06/02/2025 13:16:20,21.83,,,
59,06/02/2025 13:21:20,21.83,,,
60,06/02/2025 13:26:20,21.83,,,
61,06/02/2025 13:31:20,21.83,,,
62,06/02/2025 13:36:20,21.79,,,
63,06/02/2025 13:41:20,21.79,,,
64,06/02/2025 13:46:20,21.83,,,
65,06/02/2025 13:51:20,21.83,,,
66,06/02/2025 13:56:20,21.83,,,
67,06/02/2025 14:01:20,21.88,,,
68,06/02/2025 14:06:20,21.92,,,
69,06/02/2025 14:11:20,21.88,,,
70,06/02/2025 14:16:20,21.83,,,
71,06/02/2025 14:21:20,21.88,,,
72,06/02/2025 14:26:20,21.92,,,
73,06/02/2025 14:31:20,21.96,,,
74,06/02/2025 14:36:20,22.01,,,
75,06/02/2025 14:41:20,22.01,,,
76,06/02/2025 14:46:20,22.01,,,
77,06/02/2025 14:51:20,22.05,,,
78,06/02/2025 14:56:20,22.01,,,
79,06/02/2025 15:01:20,22.05,,,
80,06/02/2025 15:06:20,22.01,,,
81,06/02/2025 15:11:20,22.09,,,
82,06/02/2025 15:16:20,22.09,,,
83,06/02/2025 15:21:20,22.09,,,
84,06/02/2025 15:26:20,22.09,,,
85,06/02/2025 15:31:20,22.09,,,
86,06/02/2025 15:36:20,22.05,,,
87,06/02/2025 15:41:20,22.05,,,
88,06/02/2025 15:46:20,22.01,,,
89,06/02/2025 15:51:20,22.01,,,
90,06/02/2025 15:56:20,21.96,,,
91,06/02/2025 16:01:20,21.96,,,
92,06/02/2025 16:06:20,21.92,,,
93,06/02/2025 16:11:20,21.88,,,
94,06/02/2025 16:16:20,21.88,,,
95,06/02/2025 16:21:20,21.88,,,
96,06/02/2025 16:26:20,21.83,,,
97,06/02/2025 16:31:20,21.83,,,
98,06/02/2025 16:36:20,21.79,,,
99,06/02/2025 16:41:20,21.79,,,
100,06/02/2025 16:46:20,21.79,,,
101,06/02/2025 16:51:20,21.79,,,
102,06/02/2025 16:56:20,21.75,,,
103,06/02/2025 17:01:20,21.75,,,
104,06/02/2025 17:06:20,21.75,,,
105,06/02/2025 17:11:20,21.75,,,
106,06/02/2025 17:16:20,21.70,,,
107,06/02/2025 17:21:20,21.75,,,
108,06/02/2025 17:26:20,21.70,,,
109,06/02/2025 17:31:20,21.70,,,
110,06/02/2025 17:36:20,21.66,,,
111,06/02/2025 17:41:20,21.62,,,
112,06/02/2025 17:46:20,21.62,,,
113,06/02/2025 17:51:20,21.66,,,
114,06/02/2025 17:56:20,21.62,,,
115,06/02/2025 18:01:20,21.62,,,
116,06/02/2025 18:06:20,21.62,,,
117,06/02/2025 18:11:20,21.62,,,
118,06/02/2025 18:16:20,21.58,,,
119,06/02/2025 18:21:20,21.58,,,
120,06/02/2025 18:26:20,21.58,,,
121,06/02/2025 18:31:20,21.53,,,
122,06/02/2025 18:36:20,21.49,,,
123,06/02/2025 18:41:20,21.53,,,
124,06/02/2025 18:46:20,21.49,,,
125,06/02/2025 18:51:20,21.53,,,
126,06/02/2025 18:56:20,21.45,,,
127,06/02/2025 19:01:20,21.49,,,
128,06/02/2025 19:06:20,21.49,,,
129,06/02/2025 19:11:20,21.49,,,
130,06/02/2025 19:16:20,21.45,,,
131,06/02/2025 19:21:20,21.49,,,
132,06/02/2025 19:26:20,21.45,,,
133,06/02/2025 19:31:20,21.36,,,
134,06/02/2025 19:36:20,21.40,,,
135,06/02/2025 19:41:20,21.40,,,
136,06/02/2025 19:46:20,21.36,,,
137,06/02/2025 19:51:20,21.32,,,
138,06/02/2025 19:56:20,21.32,,,
139,06/02/2025 20:01:20,21.32,,,
140,06/02/2025 20:06:20,21.36,,,
