#,Date-Time (EDT),Temperature   (°C),Started,Button Down,Button Up,End of File
1,06/03/2025 15:04:44,28.27,Logged,,,
2,06/03/2025 15:09:44,28.44,,,,
3,06/03/2025 15:14:44,27.58,,,,
4,06/03/2025 15:19:44,25.82,,,,
5,06/03/2025 15:24:44,24.24,,,,
6,06/03/2025 15:29:44,23.46,,,,
7,06/03/2025 15:34:44,23.38,,,,
8,06/03/2025 15:39:44,23.68,,,,
9,06/03/2025 15:44:44,22.99,,,,
10,06/03/2025 15:49:44,22.39,,,,
11,06/03/2025 15:54:44,21.79,,,,
12,06/03/2025 15:59:44,21.32,,,,
13,06/03/2025 16:04:44,21.19,,,,
14,06/03/2025 16:09:44,20.89,,,,
15,06/03/2025 16:14:44,20.59,,,,
16,06/03/2025 16:19:44,20.12,,,,
17,06/03/2025 16:24:44,19.99,,,,
18,06/03/2025 16:29:44,19.90,,,,
19,06/03/2025 16:34:44,19.82,,,,
20,06/03/2025 16:39:44,19.82,,,,
21,06/03/2025 16:44:44,19.77,,,,
22,06/03/2025 16:49:44,19.82,,,,
23,06/03/2025 16:54:44,19.56,,,,
24,06/03/2025 16:59:44,19.22,,,,
25,06/03/2025 17:04:44,19.39,,,,
26,06/03/2025 17:09:44,19.43,,,,
27,06/03/2025 17:14:44,19.35,,,,
28,06/03/2025 17:19:44,19.39,,,,
29,06/03/2025 17:24:44,19.22,,,,
30,06/03/2025 17:29:44,18.66,,,,
31,06/03/2025 17:34:44,18.36,,,,
32,06/03/2025 17:39:44,18.06,,,,
33,06/03/2025 17:44:44,17.84,,,,
34,06/03/2025 17:49:44,17.67,,,,
35,06/03/2025 17:54:44,17.59,,,,
36,06/03/2025 17:59:44,17.72,,,,
37,06/03/2025 18:04:44,17.63,,,,
38,06/03/2025 18:09:44,17.59,,,,
39,06/03/2025 18:14:44,17.46,,,,
40,06/03/2025 18:19:44,17.59,,,,
41,06/03/2025 18:24:44,17.72,,,,
42,06/03/2025 18:29:44,17.80,,,,
43,06/03/2025 18:34:44,17.89,,,,
44,06/03/2025 18:39:44,17.76,,,,
45,06/03/2025 18:44:44,17.63,,,,
46,06/03/2025 18:49:44,17.50,,,,
47,06/03/2025 18:54:44,17.41,,,,
48,06/03/2025 18:59:44,17.37,,,,
49,06/03/2025 19:04:44,17.03,,,,
50,06/03/2025 19:09:44,16.60,,,,
51,06/03/2025 19:14:44,16.30,,,,
52,06/03/2025 19:19:44,16.04,,,,
53,06/03/2025 19:24:44,15.83,,,,
54,06/03/2025 19:29:44,15.70,,,,
55,06/03/2025 19:34:44,15.57,,,,
56,06/03/2025 19:39:44,15.48,,,,
57,06/03/2025 19:44:44,15.40,,,,
58,06/03/2025 19:49:44,15.36,,,,
59,06/03/2025 19:54:44,15.23,,,,
60,06/03/2025 19:59:44,15.23,,,,
