Date,Simple Date,Outdoor Temperature (F),Feels Like (F),Dew Point (F),Wind Speed (mph),Wind Gust (mph),Wind Direction (deg),Rain Rate (in/hr),Daily Rain (in),Relative Pressure (inHg),Humidity (pct),Absolute Pressure (inHg),Soil 1 Battery (V)
2024-06-24T12:23:00-04:00,6/24/2024 12:23,76.3,76.5,62.3,0.9,5.8,131,0.03,0,29.52,62,29.52,4.7
2024-06-24T12:28:00-04:00,6/24/2024 12:28,77.7,77.9,62.2,0.4,2.5,123,0,0,29.52,59,29.52,4.7
2024-06-24T12:33:00-04:00,6/24/2024 12:33,79.3,79.5,61.7,0.4,2.5,131,0,0,29.52,55,29.52,4.69
2024-06-24T12:38:00-04:00,6/24/2024 12:38,80.1,81.2,61.4,0,2,157,0,0,29.52,53,29.52,4.69
2024-06-24T12:43:00-04:00,6/24/2024 12:43,80.8,81.8,61.5,0,1.8,178,0,0,29.52,52,29.52,4.69
2024-06-24T12:48:00-04:00,6/24/2024 12:48,80.8,81.7,61,0.4,2.2,163,0,0.01,29.52,51,29.52,4.69
2024-06-24T13:03:00-04:00,6/24/2024 13:03,78.8,78.9,60.2,4.3,11.9,223,0,0,29.52,53,29.52,
2024-06-24T13:18:00-04:00,6/24/2024 13:18,72.1,72,58.8,11.2,15,297,0,0,29.51,63,29.51,
2024-06-24T13:33:00-04:00,6/24/2024 13:33,69.4,69.3,58.8,12.1,14.3,293,0,0,29.51,69,29.51,
2024-06-24T13:48:00-04:00,6/24/2024 13:48,69.1,69,59.3,13,17.2,293,0,0,29.51,71,29.51,4.69
2024-06-24T14:03:00-04:00,6/24/2024 14:03,68.5,68.5,59.5,13.2,16.1,294,0,0,29.51,73,29.51,
2024-06-24T14:18:00-04:00,6/24/2024 14:18,68.4,68.4,59.8,14.1,18.8,293,0,0,29.51,74,29.51,
2024-06-24T14:33:00-04:00,6/24/2024 14:33,68,68,60.1,11.6,16.1,296,0,0,29.51,76,29.51,
2024-06-24T14:48:00-04:00,6/24/2024 14:48,68.9,69,60.3,11.4,14.8,293,0,0.01,29.52,74,29.52,4.71
2024-06-24T15:03:00-04:00,6/24/2024 15:03,68.2,68.2,60,12.5,15.4,291,0,0,29.52,75,29.52,
2024-06-24T15:18:00-04:00,6/24/2024 15:18,67.6,67.6,60.1,11.4,13.6,292,0,0,29.52,77,29.52,
2024-06-24T15:33:00-04:00,6/24/2024 15:33,68,68,60.1,10.5,13.4,291,0,0,29.52,76,29.52,
2024-06-24T15:48:00-04:00,6/24/2024 15:48,68.7,68.8,60.4,10.5,13.4,290,0,0,29.52,75,29.52,4.71
2024-06-24T16:03:00-04:00,6/24/2024 16:03,69.1,69.2,60.5,10.5,13.9,293,0,0,29.52,74,29.52,
2024-06-24T16:18:00-04:00,6/24/2024 16:18,69.8,69.9,60.7,8.9,13,298,0,0,29.52,73,29.52,
2024-06-24T16:33:00-04:00,6/24/2024 16:33,72,72.1,60.8,8.1,11,306,0,0,29.52,68,29.52,
2024-06-24T16:48:00-04:00,6/24/2024 16:48,73,73.1,61,8.5,11.4,311,0,0.01,29.52,66,29.52,4.71
2024-06-24T17:03:00-04:00,6/24/2024 17:03,73.6,73.7,61.1,8.1,13.6,334,0,0,29.52,65,29.52,
2024-06-24T17:18:00-04:00,6/24/2024 17:18,75.2,75.3,60.8,9.4,13.9,352,0,0,29.52,61,29.52,
2024-06-24T17:33:00-04:00,6/24/2024 17:33,74.8,74.9,61.3,9.4,14.1,356,0,0,29.52,63,29.52,
2024-06-24T17:48:00-04:00,6/24/2024 17:48,74.5,74.7,61.5,8.9,15,13,0,0,29.52,64,29.52,4.58
2024-06-24T18:03:00-04:00,6/24/2024 18:03,72.9,73.6,65.6,11,18.8,110,0.03,0,29.54,78,29.54,
2024-06-24T18:18:00-04:00,6/24/2024 18:18,70.7,71.6,66.6,4.9,9.6,63,0.28,0.01,29.54,87,29.54,
