"Date","Simple Date","Outdoor Temperature (°F)","Feels Like (°F)","Dew Point (°F)","Wind Speed (mph)","Wind Gust (mph)","Wind Direction (°)","Rain Rate (in/hr)","Daily Rain (in)","Relative Pressure (inHg)","Humidity (%)","Station Battery (V)","Absolute Pressure (inHg)"
2025-08-05T17:09:00-04:00,2025-08-05 17:09:00,69.1,68.6,55.5,5.6,8.3,277,0,0,30.42,62,4.48,30.42
2025-08-05T16:54:00-04:00,2025-08-05 16:54:00,69.4,68.9,55.4,6.5,10.1,285,0,0,30.42,61,,30.42
2025-08-05T16:39:00-04:00,2025-08-05 16:39:00,69.6,69.1,55.5,6,8.9,275,0,0,30.42,61,,30.42
2025-08-05T16:24:00-04:00,2025-08-05 16:24:00,69.6,69.1,55.5,6.5,8.7,282,0,0,30.42,61,,30.42
2025-08-05T16:09:00-04:00,2025-08-05 16:09:00,69.6,69,54.6,6.7,9.4,301,0,0,30.43,59,4.48,30.43
2025-08-05T15:54:00-04:00,2025-08-05 15:54:00,69.4,69,55.8,7.2,9.8,283,0,0,30.43,62,,30.43
2025-08-05T15:39:00-04:00,2025-08-05 15:39:00,69.4,69,56.2,8.3,12.1,291,0,0,30.43,63,,30.43
2025-08-05T15:24:00-04:00,2025-08-05 15:24:00,69.4,69,56.7,9.2,13,283,0,0,30.43,64,,30.43
2025-08-05T15:09:00-04:00,2025-08-05 15:09:00,69.8,69.5,57.5,9.6,12.5,291,0,0,30.43,65,4.47,30.43
2025-08-05T14:54:00-04:00,2025-08-05 14:54:00,69.6,69.4,57.7,8.9,12.8,293,0,0,30.43,66,,30.43
2025-08-05T14:39:00-04:00,2025-08-05 14:39:00,70.2,70,58.3,8.9,12.1,295,0,0,30.44,66,,30.44
2025-08-05T14:24:00-04:00,2025-08-05 14:24:00,70,69.8,57.7,10.3,15.2,298,0,0,30.44,65,,30.44
2025-08-05T14:09:00-04:00,2025-08-05 14:09:00,70.7,70.4,57.5,9.6,12.5,291,0,0,30.43,63,4.47,30.43
2025-08-05T13:54:00-04:00,2025-08-05 13:54:00,71.2,71,57.9,8.5,11.2,278,0,0,30.44,63,,30.44
2025-08-05T13:39:00-04:00,2025-08-05 13:39:00,73.2,72.9,57,5.8,10.1,268,0,0,30.44,57,,30.44
2025-08-05T13:24:00-04:00,2025-08-05 13:24:00,73.6,73.2,56.4,0.9,5.6,92,0,0,30.44,55,,30.44
2025-08-05T13:09:00-04:00,2025-08-05 13:09:00,72.9,72.6,56.8,1.8,6,141,0,0,30.44,57,4.48,30.44
2025-08-05T12:54:00-04:00,2025-08-05 12:54:00,72.9,72.5,56.3,3.1,8.3,135,0,0,30.44,56,,30.44
2025-08-05T12:39:00-04:00,2025-08-05 12:39:00,72.3,72,56.7,2,7.6,121,0,0,30.45,58,,30.45
2025-08-05T12:24:00-04:00,2025-08-05 12:24:00,71.6,71.2,56.5,2.2,7.6,114,0,0,30.45,59,,30.45
2025-08-05T12:09:00-04:00,2025-08-05 12:09:00,70.3,70,57.1,5.6,10.5,99,0,0,30.45,63,4.54,30.45
2025-08-05T11:54:00-04:00,2025-08-05 11:54:00,70.2,69.9,57.4,6.5,10.1,92,0,0,30.45,64,,30.45
2025-08-05T11:39:00-04:00,2025-08-05 11:39:00,69.4,69.1,57.1,6,10.3,90,0,0,30.45,65,,30.45
2025-08-05T11:24:00-04:00,2025-08-05 11:24:00,69.1,68.8,57.3,6,9.8,107,0,0,30.45,66,,30.45
2025-08-05T11:09:00-04:00,2025-08-05 11:09:00,68.4,68.1,57.4,5.8,9.8,104,0,0,30.45,68,4.64,30.45
2025-08-05T10:54:00-04:00,2025-08-05 10:54:00,67.8,67.8,57.2,7.8,11.2,99,0,0,30.44,69,,30.44
2025-08-05T10:39:00-04:00,2025-08-05 10:39:00,67.5,67.5,57,6.9,10.5,102,0,0,30.44,69,,30.44
2025-08-05T10:24:00-04:00,2025-08-05 10:24:00,67.5,67.5,56.6,8.3,12.8,111,0,0,30.43,68,,30.43
2025-08-05T10:09:00-04:00,2025-08-05 10:09:00,67.1,67.1,56.6,8.3,14.3,115,0,0,30.43,69,4.58,30.43
2025-08-05T09:54:00-04:00,2025-08-05 09:54:00,66.7,66.7,56.6,8.3,13.4,110,0,0,30.43,70,,30.43
2025-08-05T09:39:00-04:00,2025-08-05 09:39:00,66,66,56.3,9.2,15,111,0,0,30.43,71,,30.43
2025-08-05T09:24:00-04:00,2025-08-05 09:24:00,65.5,65.5,56.2,8.7,15,113,0,0,30.42,72,,30.42
2025-08-05T09:09:00-04:00,2025-08-05 09:09:00,65.1,65.1,56.6,9.6,15,117,0,0,30.42,74,4.5,30.42
2025-08-05T08:54:00-04:00,2025-08-05 08:54:00,64.9,64.9,56.4,9.2,15,116,0,0,30.42,74,,30.42
2025-08-05T08:39:00-04:00,2025-08-05 08:39:00,64.8,64.8,56.3,11.2,15,106,0,0,30.43,74,,30.43
2025-08-05T08:24:00-04:00,2025-08-05 08:24:00,64.4,64.4,56.3,11,15.7,110,0,0,30.43,75,,30.43
2025-08-05T08:09:00-04:00,2025-08-05 08:09:00,64.2,64.2,56.1,11.6,16.8,107,0,0,30.42,75,4.37,30.42
2025-08-05T07:54:00-04:00,2025-08-05 07:54:00,64.2,64.2,56.1,10.7,16.1,110,0,0,30.42,75,,30.42
2025-08-05T07:39:00-04:00,2025-08-05 07:39:00,64.2,64.2,56.5,11.6,16.8,108,0,0,30.42,76,,30.42
2025-08-05T07:24:00-04:00,2025-08-05 07:24:00,64.2,64.2,56.8,11.4,17.9,109,0,0,30.41,77,,30.41
2025-08-05T07:09:00-04:00,2025-08-05 07:09:00,64.4,64.4,57,8.7,15.2,115,0,0,30.41,77,4.25,30.41
2025-08-05T06:54:00-04:00,2025-08-05 06:54:00,64.8,64.8,57.1,9.6,14.3,112,0,0,30.41,76,,30.41
2025-08-05T06:39:00-04:00,2025-08-05 06:39:00,65.1,65.1,56.6,8.1,11.4,112,0,0,30.4,74,,30.4
2025-08-05T06:24:00-04:00,2025-08-05 06:24:00,65.1,65.1,56.6,9.4,15,119,0,0,30.4,74,,30.4
2025-08-05T06:09:00-04:00,2025-08-05 06:09:00,65.1,65.1,57.3,8.9,13.2,115,0,0,30.4,76,4.25,30.4
2025-08-05T05:54:00-04:00,2025-08-05 05:54:00,65.1,65.1,57.7,8.5,12.8,119,0,0,30.39,77,,30.39
2025-08-05T05:39:00-04:00,2025-08-05 05:39:00,65.1,65.1,58.1,8.3,12.3,122,0,0,30.38,78,,30.38
2025-08-05T05:24:00-04:00,2025-08-05 05:24:00,65.5,65.5,58.5,8.5,12.8,120,0,0,30.37,78,,30.37
2025-08-05T05:09:00-04:00,2025-08-05 05:09:00,65.8,65.8,59.1,7.8,12.1,117,0,0,30.36,79,4.27,30.36
2025-08-05T04:54:00-04:00,2025-08-05 04:54:00,66.2,66.2,59.5,8.3,13.6,120,0,0,30.36,79,,30.36
2025-08-05T04:39:00-04:00,2025-08-05 04:39:00,66.6,66.6,60.2,7.8,13.4,118,0,0,30.35,80,,30.35
2025-08-05T04:24:00-04:00,2025-08-05 04:24:00,66.9,66.9,60.9,9.4,17,120,0,0,30.34,81,,30.34
2025-08-05T04:09:00-04:00,2025-08-05 04:09:00,67.3,67.3,61.6,8.3,13.2,118,0,0,30.34,82,4.27,30.34
2025-08-05T03:54:00-04:00,2025-08-05 03:54:00,67.5,67.5,61.8,8.7,13.2,120,0,0,30.33,82,,30.33
2025-08-05T03:39:00-04:00,2025-08-05 03:39:00,68,68,61.9,9.6,16.1,118,0,0,30.33,81,,30.33
2025-08-05T03:24:00-04:00,2025-08-05 03:24:00,68.4,68.7,62.3,10.3,13.6,115,0,0,30.33,81,,30.33
2025-08-05T03:09:00-04:00,2025-08-05 03:09:00,68.7,69.1,63,9.6,14.3,116,0,0,30.33,82,4.28,30.33
2025-08-05T02:54:00-04:00,2025-08-05 02:54:00,68.7,69.2,63.7,8.7,11.9,115,0,0,30.33,84,,30.33
2025-08-05T02:39:00-04:00,2025-08-05 02:39:00,68.7,69.3,64.3,7.6,10.5,112,0,0,30.33,86,,30.33
2025-08-05T02:24:00-04:00,2025-08-05 02:24:00,68.9,69.5,64.2,6,7.8,110,0,0,30.32,85,,30.32
2025-08-05T02:09:00-04:00,2025-08-05 02:09:00,69.1,69.7,64.1,6,8.1,111,0,0,30.32,84,4.28,30.32
2025-08-05T01:54:00-04:00,2025-08-05 01:54:00,69.4,69.9,64,5.6,8.7,117,0,0,30.32,83,,30.32
2025-08-05T01:39:00-04:00,2025-08-05 01:39:00,69.6,70.2,64.2,5.8,8.9,124,0,0,30.32,83,,30.32
2025-08-05T01:24:00-04:00,2025-08-05 01:24:00,69.8,70.4,64.4,4.9,7.4,129,0,0,30.32,83,,30.32
2025-08-05T01:09:00-04:00,2025-08-05 01:09:00,69.4,70.1,65,3.1,4.7,128,0,0,30.32,86,4.29,30.32
2025-08-05T00:54:00-04:00,2025-08-05 00:54:00,69.6,70.3,64.9,3.4,5.4,128,0,0,30.32,85,,30.32
