"date","sst","min","max","sd","range","year","month","hold"
2002-06-01,10.2120695652174,9.87299999999999,10.501,0.129940305360299,0.627999999999986,"2002",6,2025-06-01
2002-06-02,10.2337617391304,9.72800000000001,10.537,0.150066561064027,0.808999999999969,"2002",6,2025-06-02
2002-06-03,9.95943304347826,9.416,10.321,0.192028984692352,0.90500000000003,"2002",6,2025-06-03
2002-06-04,9.52562086956522,8.88600000000002,9.80700000000002,0.182043028902689,0.920999999999992,"2002",6,2025-06-04
2002-06-05,9.55521913043478,9.214,9.73099999999999,0.115539715101748,0.516999999999996,"2002",6,2025-06-05
2002-06-06,9.36013565217391,9.19200000000001,9.50700000000001,0.078268694476595,0.314999999999998,"2002",6,2025-06-06
2002-06-07,9.20677043478261,9.01900000000001,9.33800000000002,0.0802430508393024,0.319000000000017,"2002",6,2025-06-07
2002-06-08,9.59361739130435,9.38400000000001,9.76900000000001,0.0965765734545457,0.384999999999991,"2002",6,2025-06-08
2002-06-09,9.69309739130435,9.49200000000002,9.87900000000002,0.0946185128411814,0.387,"2002",6,2025-06-09
2002-06-10,9.77024869565217,9.55799999999999,9.96699999999998,0.099415043804783,0.408999999999992,"2002",6,2025-06-10
2002-06-11,9.83684347826087,9.637,9.98599999999999,0.0905632963727657,0.34899999999999,"2002",6,2025-06-11
2002-06-12,9.95818782608696,9.75200000000001,10.109,0.0874086453396289,0.356999999999971,"2002",6,2025-06-12
2002-06-13,9.75990782608696,9.577,9.88999999999999,0.0794929720425083,0.312999999999988,"2002",6,2025-06-13
2002-06-14,9.91684,9.71600000000001,10.07,0.0851017149153472,0.353999999999985,"2002",6,2025-06-14
2002-06-15,9.85609739130435,9.68299999999999,9.97800000000001,0.0762677813400585,0.295000000000016,"2002",6,2025-06-15
2002-06-16,9.86896695652174,9.66199999999998,10.056,0.088477465901937,0.394000000000005,"2002",6,2025-06-16
2002-06-17,10.4895182608696,10.196,10.747,0.119448570116572,0.550999999999988,"2002",6,2025-06-17
2002-06-18,11.172412173913,10.903,11.491,0.150086637667187,0.587999999999965,"2002",6,2025-06-18
2002-06-19,11.6967965217391,11.544,11.969,0.0742497808282121,0.425000000000011,"2002",6,2025-06-19
2002-06-20,12.1235756521739,11.835,12.515,0.132341170725017,0.680000000000007,"2002",6,2025-06-20
2002-06-21,12.3650626086957,11.909,12.623,0.17263189042725,0.713999999999999,"2002",6,2025-06-21
2002-06-22,12.3499965217391,11.935,12.659,0.163035277562989,0.72399999999999,"2002",6,2025-06-22
2002-06-23,12.2561808695652,11.963,12.54,0.133587625326441,0.576999999999998,"2002",6,2025-06-23
2002-06-24,12.3504747826087,12.031,12.61,0.158508671458172,0.579000000000008,"2002",6,2025-06-24
2002-06-25,12.5575547826087,12.102,12.883,0.193345802503064,0.781000000000006,"2002",6,2025-06-25
2002-06-26,12.4474695652174,12.101,12.724,0.157244960907008,0.62299999999999,"2002",6,2025-06-26
2002-06-27,12.5550330434783,12.208,12.813,0.136237049841193,0.604999999999961,"2002",6,2025-06-27
2002-06-28,15.24632,15.079,15.468,0.0915208618475043,0.38900000000001,"2002",6,2025-06-28
2002-06-29,15.3212695652174,15.085,15.652,0.138362103942162,0.567000000000007,"2002",6,2025-06-29
2002-06-30,15.6300052173913,15.286,16.027,0.188106968717399,0.740999999999985,"2002",6,2025-06-30
2002-07-01,16.1467617391304,15.742,16.642,0.217010670903919,0.899999999999977,"2002",7,2025-07-01
2002-07-02,17.4374991304348,17.063,17.797,0.188539461343144,0.734000000000037,"2002",7,2025-07-02
2002-07-03,17.5813634782609,17.269,17.899,0.194000624271793,0.629999999999995,"2002",7,2025-07-03
2002-07-04,17.8131895652174,17.469,18.325,0.196120680055115,0.855999999999995,"2002",7,2025-07-04
2002-07-05,17.8754886956522,17.603,18.358,0.18267590766526,0.754999999999995,"2002",7,2025-07-05
2002-07-06,17.7448052173913,17.388,18.092,0.171044924434553,0.704000000000008,"2002",7,2025-07-06
2002-07-07,17.4355426086957,17.115,18.037,0.235477225816426,0.921999999999969,"2002",7,2025-07-07
2002-07-08,17.3039565217391,16.926,18.096,0.273866698394717,1.17000000000002,"2002",7,2025-07-08
2002-07-09,17.175252173913,16.753,17.665,0.166247246891263,0.912000000000035,"2002",7,2025-07-09
2002-07-10,16.7825495652174,16.461,17.109,0.144300211747723,0.647999999999968,"2002",7,2025-07-10
2002-07-11,15.9153947826087,15.437,16.579,0.321841411875195,1.142,"2002",7,2025-07-11
2002-07-12,15.7347704347826,15.097,16.423,0.366224649970925,1.32600000000002,"2002",7,2025-07-12
2002-07-13,15.497,15.07,15.967,0.245105545067827,0.896999999999991,"2002",7,2025-07-13
