"year","season","mean.anom","anom"
2012,"Winter",2.68140248942449,"Above CRP"
2013,"Winter",2.55150701825689,"Above CRP"
2023,"Winter",1.23672960108444,"Above CRP"
2016,"Winter",1.19524066915941,"Above CRP"
2024,"Winter",1.1294170795043,"Above CRP"
2020,"Winter",1.03009637203141,"Above CRP"
2006,"Winter",0.88633456851815,"Above CRP"
2021,"Winter",0.63079540077388,"Above CRP"
2010,"Winter",0.569517948891355,"Above CRP"
2011,"Winter",0.381347785240817,"Above CRP"
2022,"Winter",0.292386851934322,"Above CRP"
2007,"Winter",0.242911076279756,"Above CRP"
2017,"Winter",0.055220582252805,"Above CRP"
2025,"Winter",-0.320896103424418,"Below CRP"
2008,"Winter",-0.354937832750461,"Below CRP"
2018,"Winter",-0.432976226529752,"Below CRP"
2019,"Winter",-0.602851723360261,"Below CRP"
2009,"Winter",-0.687285086953386,"Below CRP"
2004,"Winter",-1.08524652220012,"Below CRP"
2005,"Winter",-1.14009298729069,"Below CRP"
2014,"Winter",-1.27390288012866,"Below CRP"
2015,"Winter",-1.38399762858225,"Below CRP"
2003,"Winter",-1.73409081562947,"Below CRP"
2012,"Summer",1.89876376991221,"Above CRP"
2021,"Summer",1.82140484332414,"Above CRP"
2011,"Summer",1.40620767281392,"Above CRP"
2022,"Summer",1.39975302525996,"Above CRP"
2020,"Summer",1.3813981243458,"Above CRP"
2023,"Summer",1.26895466216472,"Above CRP"
2018,"Summer",0.884601929676797,"Above CRP"
2024,"Summer",0.79757792507044,"Above CRP"
2016,"Summer",0.674696740457864,"Above CRP"
2025,"Summer",0.668796147671966,"Above CRP"
2019,"Summer",0.491148185562954,"Above CRP"
2015,"Summer",0.441258370181743,"Above CRP"
2010,"Summer",0.423834124523706,"Above CRP"
2008,"Summer",-0.456100653546998,"Below CRP"
2013,"Summer",-0.498691397617889,"Below CRP"
2009,"Summer",-0.557707447741276,"Below CRP"
2006,"Summer",-0.704095279709898,"Below CRP"
2014,"Summer",-0.70571105557165,"Below CRP"
2003,"Summer",-0.706281132876722,"Below CRP"
2005,"Summer",-0.747040844667342,"Below CRP"
2017,"Summer",-0.868889540733831,"Below CRP"
2004,"Summer",-1.05231720266008,"Below CRP"
2007,"Summer",-1.09820567539302,"Below CRP"
2013,"Spring",3.43844366956198,"Above CRP"
2012,"Spring",2.53972331537653,"Above CRP"
2021,"Spring",1.41029694759009,"Above CRP"
2011,"Spring",1.23651065073023,"Above CRP"
2023,"Spring",1.2307395605327,"Above CRP"
2022,"Spring",1.14230091584406,"Above CRP"
2024,"Spring",0.969060031900744,"Above CRP"
2020,"Spring",0.607848351715849,"Above CRP"
2010,"Spring",0.554503405814404,"Above CRP"
2006,"Spring",0.408919212094516,"Above CRP"
2025,"Spring",0.267775598238382,"Above CRP"
2016,"Spring",0.0665436246968366,"Above CRP"
2018,"Spring",-0.121355256026401,"Below CRP"
2008,"Spring",-0.254720327232876,"Below CRP"
2019,"Spring",-0.322957977592053,"Below CRP"
2009,"Spring",-0.365324297609961,"Below CRP"
2015,"Spring",-0.598567466765397,"Below CRP"
2014,"Spring",-0.664137321844181,"Below CRP"
2017,"Spring",-0.948263797220656,"Below CRP"
2005,"Spring",-1.05561761716279,"Below CRP"
2004,"Spring",-1.09727608518266,"Below CRP"
2007,"Spring",-1.10259567415152,"Below CRP"
2003,"Spring",-1.11412460818598,"Below CRP"
2012,"Fall",2.78322305265785,"Above CRP"
2011,"Fall",1.87148061953208,"Above CRP"
2021,"Fall",1.45599976320544,"Above CRP"
2023,"Fall",0.861881028302056,"Above CRP"
2022,"Fall",0.844992315540381,"Above CRP"
2006,"Fall",0.69419057309828,"Above CRP"
2015,"Fall",0.409904180044637,"Above CRP"
2016,"Fall",0.36112483958128,"Above CRP"
2024,"Fall",0.345214010273712,"Above CRP"
2010,"Fall",0.247656670986666,"Above CRP"
2014,"Fall",0.136490708828856,"Above CRP"
2017,"Fall",-0.00400224967700995,"Below CRP"
2005,"Fall",-0.12281758630972,"Below CRP"
2020,"Fall",-0.160233352850282,"Below CRP"
2009,"Fall",-0.305725586201859,"Below CRP"
2025,"Fall",-0.34645494693949,"Below CRP"
2008,"Fall",-0.540237881835789,"Below CRP"
2013,"Fall",-0.542089004910504,"Below CRP"
2019,"Fall",-0.620002927234955,"Below CRP"
2018,"Fall",-0.836773065194458,"Below CRP"
2004,"Fall",-0.869062484291506,"Below CRP"
2007,"Fall",-1.00865402101356,"Below CRP"
2003,"Fall",-1.11742209246583,"Below CRP"
