"year","mean.anom","anom","ts"
2012,2.46815489243596,"Above CRP",2012-07-02
2021,1.33323241671526,"Above CRP",2021-07-02
2011,1.22285775706413,"Above CRP",2011-07-02
2023,1.14887629487402,"Above CRP",2023-07-02
2022,0.922687044848026,"Above CRP",2022-07-02
2013,0.912849427314781,"Above CRP",2013-07-02
2024,0.809011680845684,"Above CRP",2024-07-02
2020,0.714208002291226,"Above CRP",2020-07-02
2016,0.574092776241856,"Above CRP",2016-07-02
2010,0.448060358862919,"Above CRP",2010-07-02
2006,0.314839824818117,"Above CRP",2006-07-02
2025,0.0688830701339261,"Above CRP",2025-07-02
2018,-0.124961460695082,"Below CRP",2018-07-02
2019,-0.258497231406724,"Below CRP",2019-07-02
2015,-0.275951976512951,"Below CRP",2015-07-02
2008,-0.402027425720492,"Below CRP",2008-07-02
2017,-0.442816980444177,"Below CRP",2017-07-02
2009,-0.47229058355365,"Below CRP",2009-07-02
2014,-0.623167198355443,"Below CRP",2014-07-02
2005,-0.763552185391412,"Below CRP",2005-07-02
2007,-0.77693033554627,"Below CRP",2007-07-02
2004,-1.02561882096005,"Below CRP",2004-07-02
2003,-1.16462906995851,"Below CRP",2003-07-02
