"yearshift","season","mean.anom","anom"
2020,"Summer",1.86762229516087,"Above CRP"
2021,"Fall",1.76098115463273,"Above CRP"
2021,"Summer",1.7010973324451,"Above CRP"
2022,"Summer",1.51710238981225,"Above CRP"
2023,"Summer",1.42149890249341,"Above CRP"
2016,"Winter",1.34199278628435,"Above CRP"
2021,"Spring",1.15371599276338,"Above CRP"
2024,"Summer",1.0985356405715,"Above CRP"
2022,"Fall",1.09364154186455,"Above CRP"
2023,"Winter",1.04285161013989,"Above CRP"
2023,"Fall",1.02764324254482,"Above CRP"
2023,"Spring",0.977067358304042,"Above CRP"
2022,"Spring",0.974063633230973,"Above CRP"
2024,"Spring",0.94896558626773,"Above CRP"
2024,"Winter",0.912787836141902,"Above CRP"
2024,"Fall",0.635599023927282,"Above CRP"
2020,"Spring",0.621911839070993,"Above CRP"
2016,"Fall",0.599387053027811,"Above CRP"
2018,"Summer",0.579480358813861,"Above CRP"
2016,"Summer",0.570902669525752,"Above CRP"
2025,"Fall",0.522048004449582,"Above CRP"
2025,"Summer",0.502715060907259,"Above CRP"
2019,"Summer",0.356014285795025,"Above CRP"
2021,"Winter",0.31560617943151,"Above CRP"
2017,"Winter",0.299516599772486,"Above CRP"
2022,"Winter",0.281906651292154,"Above CRP"
2016,"Spring",0.266180416517653,"Above CRP"
2025,"Spring",0.235926151804519,"Above CRP"
2020,"Winter",0.212342570428779,"Above CRP"
2015,"Fall",0.203355420578427,"Above CRP"
2015,"Summer",0.0635292179408451,"Above CRP"
2014,"Fall",0.0587415077055852,"Above CRP"
2017,"Fall",0.0427694126709902,"Above CRP"
2018,"Spring",-0.0622952536515581,"Below CRP"
2020,"Fall",-0.0856125654093076,"Below CRP"
2018,"Fall",-0.131906840308834,"Below CRP"
2019,"Fall",-0.243446886994892,"Below CRP"
2019,"Spring",-0.403479292753393,"Below CRP"
2025,"Winter",-0.547043456811876,"Below CRP"
2014,"Summer",-0.611666211378226,"Below CRP"
2015,"Winter",-0.740006102235183,"Below CRP"
2017,"Spring",-0.740429117555596,"Below CRP"
2019,"Winter",-0.785282233762673,"Below CRP"
2018,"Winter",-0.838599319460345,"Below CRP"
2017,"Summer",-1.0446312051958,"Below CRP"
2014,"Spring",-1.1245990889518,"Below CRP"
2015,"Spring",-1.18184744150918,"Below CRP"
2014,"Winter",-1.2807302526165,"Below CRP"
