"year","sets","a0","a1","a2","catch","CPUE","value"
2014,69,0,191,427,619,"crabs <6mm",0
2014,69,0,191,427,619,"crabs 6-25mm",2.76811594202899
2014,69,0,191,427,619,"crabs >25mm",6.18840579710145
2014,69,0,191,427,619,"all crabs",8.97101449275362
2015,87,0,230,319,549,"crabs <6mm",0
2015,87,0,230,319,549,"crabs 6-25mm",2.64367816091954
2015,87,0,230,319,549,"crabs >25mm",3.66666666666667
2015,87,0,230,319,549,"all crabs",6.31034482758621
2016,71,0,178,306,484,"crabs <6mm",0
2016,71,0,178,306,484,"crabs 6-25mm",2.50704225352113
2016,71,0,178,306,484,"crabs >25mm",4.30985915492958
2016,71,0,178,306,484,"all crabs",6.8169014084507
2017,59,1,93,115,209,"crabs <6mm",0.0169491525423729
2017,59,1,93,115,209,"crabs 6-25mm",1.57627118644068
2017,59,1,93,115,209,"crabs >25mm",1.94915254237288
2017,59,1,93,115,209,"all crabs",3.54237288135593
2018,41,0,75,129,205,"crabs <6mm",0
2018,41,0,75,129,205,"crabs 6-25mm",1.82926829268293
2018,41,0,75,129,205,"crabs >25mm",3.14634146341463
2018,41,0,75,129,205,"all crabs",5
2019,11,0,12,7,19,"crabs <6mm",0
2019,11,0,12,7,19,"crabs 6-25mm",1.09090909090909
2019,11,0,12,7,19,"crabs >25mm",0.636363636363636
2019,11,0,12,7,19,"all crabs",1.72727272727273
2020,71,0,34,263,297,"crabs <6mm",0
2020,71,0,34,263,297,"crabs 6-25mm",0.47887323943662
2020,71,0,34,263,297,"crabs >25mm",3.70422535211268
2020,71,0,34,263,297,"all crabs",4.1830985915493
2021,66,0,119,184,303,"crabs <6mm",0
2021,66,0,119,184,303,"crabs 6-25mm",1.8030303030303
2021,66,0,119,184,303,"crabs >25mm",2.78787878787879
2021,66,0,119,184,303,"all crabs",4.59090909090909
2022,80,2,293,561,856,"crabs <6mm",0.025
2022,80,2,293,561,856,"crabs 6-25mm",3.6625
2022,80,2,293,561,856,"crabs >25mm",7.0125
2022,80,2,293,561,856,"all crabs",10.7
2023,110,3,243,519,764,"crabs <6mm",0.0272727272727273
2023,110,3,243,519,764,"crabs 6-25mm",2.20909090909091
2023,110,3,243,519,764,"crabs >25mm",4.71818181818182
2023,110,3,243,519,764,"all crabs",6.94545454545455
2024,114,18,165,269,452,"crabs <6mm",0.157894736842105
2024,114,18,165,269,452,"crabs 6-25mm",1.44736842105263
2024,114,18,165,269,452,"crabs >25mm",2.35964912280702
2024,114,18,165,269,452,"all crabs",3.96491228070175
2025,145,1,213,252,466,"crabs <6mm",0.00689655172413793
2025,145,1,213,252,466,"crabs 6-25mm",1.46896551724138
2025,145,1,213,252,466,"crabs >25mm",1.73793103448276
2025,145,1,213,252,466,"all crabs",3.21379310344828
