"year","sets","a0","a1","a2","catch","CPUE","value"
2014,69,0,326,293,619,"crabs <6mm",0
2014,69,0,326,293,619,"crabs 0-34mm",4.72463768115942
2014,69,0,326,293,619,"crabs >34mm",4.2463768115942
2014,69,0,326,293,619,"all crabs",8.97101449275362
2015,87,0,343,206,549,"crabs <6mm",0
2015,87,0,343,206,549,"crabs 0-34mm",3.94252873563218
2015,87,0,343,206,549,"crabs >34mm",2.36781609195402
2015,87,0,343,206,549,"all crabs",6.31034482758621
2016,71,0,315,169,484,"crabs <6mm",0
2016,71,0,315,169,484,"crabs 0-34mm",4.43661971830986
2016,71,0,315,169,484,"crabs >34mm",2.38028169014085
2016,71,0,315,169,484,"all crabs",6.8169014084507
2017,59,1,138,71,209,"crabs <6mm",0.0169491525423729
2017,59,1,138,71,209,"crabs 0-34mm",2.33898305084746
2017,59,1,138,71,209,"crabs >34mm",1.20338983050847
2017,59,1,138,71,209,"all crabs",3.54237288135593
2018,41,0,151,54,205,"crabs <6mm",0
2018,41,0,151,54,205,"crabs 0-34mm",3.68292682926829
2018,41,0,151,54,205,"crabs >34mm",1.31707317073171
2018,41,0,151,54,205,"all crabs",5
2019,11,0,16,3,19,"crabs <6mm",0
2019,11,0,16,3,19,"crabs 0-34mm",1.45454545454545
2019,11,0,16,3,19,"crabs >34mm",0.272727272727273
2019,11,0,16,3,19,"all crabs",1.72727272727273
2020,71,0,101,196,297,"crabs <6mm",0
2020,71,0,101,196,297,"crabs 0-34mm",1.42253521126761
2020,71,0,101,196,297,"crabs >34mm",2.76056338028169
2020,71,0,101,196,297,"all crabs",4.1830985915493
2021,66,0,172,131,303,"crabs <6mm",0
2021,66,0,172,131,303,"crabs 0-34mm",2.60606060606061
2021,66,0,172,131,303,"crabs >34mm",1.98484848484848
2021,66,0,172,131,303,"all crabs",4.59090909090909
2022,80,2,508,348,856,"crabs <6mm",0.025
2022,80,2,508,348,856,"crabs 0-34mm",6.35
2022,80,2,508,348,856,"crabs >34mm",4.35
2022,80,2,508,348,856,"all crabs",10.7
2023,110,3,390,374,764,"crabs <6mm",0.0272727272727273
2023,110,3,390,374,764,"crabs 0-34mm",3.54545454545455
2023,110,3,390,374,764,"crabs >34mm",3.4
2023,110,3,390,374,764,"all crabs",6.94545454545455
2024,114,18,258,194,452,"crabs <6mm",0.157894736842105
2024,114,18,258,194,452,"crabs 0-34mm",2.26315789473684
2024,114,18,258,194,452,"crabs >34mm",1.70175438596491
2024,114,18,258,194,452,"all crabs",3.96491228070175
2025,145,1,296,170,466,"crabs <6mm",0.00689655172413793
2025,145,1,296,170,466,"crabs 0-34mm",2.04137931034483
2025,145,1,296,170,466,"crabs >34mm",1.17241379310345
2025,145,1,296,170,466,"all crabs",3.21379310344828
