loc_id,year,month,week,date,site_name,substrate,weather,stage,TideHT.m,temp_degc,salinity_ppt,do_mg.l,notes,species_name,catch
2014_001_04,2014,6,25,6/16/2014,Mussel Cove,mud,sunny,rising,2.333,17.8,32.41,9.8,NA,silver,0
2014_001_04,2014,6,25,6/16/2014,Mussel Cove,mud,sunny,rising,2.333,17.8,32.41,9.8,NA,herring,0
2014_001_06,2014,6,25,6/16/2014,Mackworth Island - North,sand/gravel,sunny,rising,1.411333333,15,32.83,10.4,NA,silver,0
2014_001_06,2014,6,25,6/16/2014,Mackworth Island - North,sand/gravel,sunny,rising,1.411333333,15,32.83,10.4,NA,herring,0
2014_001_07,2014,6,25,6/16/2014,Mackworth Island - Beach,sand,sunny,falling,3.137,15.4,31.46,10.5,NA,silver,0
2014_001_07,2014,6,25,6/16/2014,Mackworth Island - Beach,sand,sunny,falling,3.137,15.4,31.46,10.5,NA,herring,0
2014_001_09,2014,6,25,6/16/2014,Great Diamond Island,sand/gravel,sunny,rising,3.066333333,14.8,31.76,10.7,NA,silver,0
2014_001_09,2014,6,25,6/16/2014,Great Diamond Island,sand/gravel,sunny,rising,3.066333333,14.8,31.76,10.7,NA,herring,0
2014_002_01,2014,6,25,6/19/2014,Presumpscot Moorings,mud,sunny,rising,1.8495,21.8,0.28,9.3,NA,silver,1
2014_002_01,2014,6,25,6/19/2014,Presumpscot Moorings,mud,sunny,rising,1.8495,21.8,0.28,9.3,NA,herring,0
2014_002_02,2014,6,25,6/19/2014,Skitterygusset,mud,sunny,rising,1.05,22.4,0.84,9.2,NA,silver,3
2014_002_02,2014,6,25,6/19/2014,Skitterygusset,mud,sunny,rising,1.05,22.4,0.84,9.2,NA,herring,0
2014_002_03,2014,6,25,6/19/2014,Audubon,sand,sunny,rising,0.389,22,4.35,8.9,NA,silver,6
2014_002_03,2014,6,25,6/19/2014,Audubon,sand,sunny,rising,0.389,22,4.35,8.9,NA,herring,0
2014_002_08,2014,6,25,6/19/2014,Back Cove,mud,sunny,rising,2.4835,17.6,32.06,8.9,NA,silver,1
2014_002_08,2014,6,25,6/19/2014,Back Cove,mud,sunny,rising,2.4835,17.6,32.06,8.9,NA,herring,0
