"species_name","week","year","catch","logcatch"
"winter flounder",22,2014,NA,NA
"winter flounder",23,2014,NA,NA
"winter flounder",24,2014,NA,NA
"winter flounder",25,2014,9,2.30258509299405
"winter flounder",26,2014,0,0
"winter flounder",27,2014,2,1.09861228866811
"winter flounder",28,2014,4,1.6094379124341
"winter flounder",29,2014,5,1.79175946922805
"winter flounder",30,2014,7,2.07944154167984
"winter flounder",31,2014,20,3.04452243772342
"winter flounder",32,2014,8,2.19722457733622
"winter flounder",33,2014,8,2.19722457733622
"winter flounder",34,2014,0,0
"winter flounder",35,2014,7,2.07944154167984
"winter flounder",36,2014,NA,NA
"winter flounder",37,2014,NA,NA
"winter flounder",38,2014,NA,NA
"winter flounder",39,2014,NA,NA
"winter flounder",40,2014,NA,NA
"winter flounder",41,2014,NA,NA
"winter flounder",22,2015,NA,NA
"winter flounder",23,2015,NA,NA
"winter flounder",24,2015,1,0.693147180559945
"winter flounder",25,2015,1,0.693147180559945
"winter flounder",26,2015,NA,NA
"winter flounder",27,2015,1,0.693147180559945
"winter flounder",28,2015,1,0.693147180559945
"winter flounder",29,2015,5,1.79175946922805
"winter flounder",30,2015,11,2.484906649788
"winter flounder",31,2015,46,3.85014760171006
"winter flounder",32,2015,8,2.19722457733622
"winter flounder",33,2015,5,1.79175946922805
"winter flounder",34,2015,16,2.83321334405622
"winter flounder",35,2015,5,1.79175946922805
"winter flounder",36,2015,8,2.19722457733622
"winter flounder",37,2015,2,1.09861228866811
"winter flounder",38,2015,13,2.63905732961526
"winter flounder",39,2015,9,2.30258509299405
"winter flounder",40,2015,NA,NA
"winter flounder",41,2015,NA,NA
"winter flounder",22,2016,NA,NA
"winter flounder",23,2016,NA,NA
"winter flounder",24,2016,19,2.99573227355399
"winter flounder",25,2016,7,2.07944154167984
"winter flounder",26,2016,2,1.09861228866811
"winter flounder",27,2016,NA,NA
"winter flounder",28,2016,113,4.7361984483945
"winter flounder",29,2016,46,3.85014760171006
"winter flounder",30,2016,67,4.21950770517611
"winter flounder",31,2016,4,1.6094379124341
"winter flounder",32,2016,75,4.33073334028633
"winter flounder",33,2016,9,2.30258509299405
"winter flounder",34,2016,NA,NA
"winter flounder",35,2016,31,3.46573590279973
"winter flounder",36,2016,9,2.30258509299405
"winter flounder",37,2016,NA,NA
"winter flounder",38,2016,NA,NA
"winter flounder",39,2016,NA,NA
"winter flounder",40,2016,NA,NA
"winter flounder",41,2016,NA,NA
"winter flounder",22,2017,NA,NA
"winter flounder",23,2017,NA,NA
"winter flounder",24,2017,NA,NA
"winter flounder",25,2017,5,1.79175946922805
"winter flounder",26,2017,0,0
"winter flounder",27,2017,0,0
"winter flounder",28,2017,3,1.38629436111989
"winter flounder",29,2017,28,3.36729582998647
"winter flounder",30,2017,4,1.6094379124341
"winter flounder",31,2017,4,1.6094379124341
"winter flounder",32,2017,7,2.07944154167984
"winter flounder",33,2017,NA,NA
"winter flounder",34,2017,29,3.40119738166216
"winter flounder",35,2017,NA,NA
"winter flounder",36,2017,NA,NA
"winter flounder",37,2017,2,1.09861228866811
"winter flounder",38,2017,NA,NA
"winter flounder",39,2017,NA,NA
"winter flounder",40,2017,NA,NA
"winter flounder",41,2017,NA,NA
"winter flounder",22,2018,NA,NA
"winter flounder",23,2018,NA,NA
"winter flounder",24,2018,0,0
"winter flounder",25,2018,NA,NA
"winter flounder",26,2018,2,1.09861228866811
"winter flounder",27,2018,NA,NA
"winter flounder",28,2018,47,3.87120101090789
"winter flounder",29,2018,NA,NA
"winter flounder",30,2018,3,1.38629436111989
"winter flounder",31,2018,NA,NA
"winter flounder",32,2018,0,0
"winter flounder",33,2018,NA,NA
"winter flounder",34,2018,16,2.83321334405622
"winter flounder",35,2018,NA,NA
"winter flounder",36,2018,4,1.6094379124341
"winter flounder",37,2018,NA,NA
"winter flounder",38,2018,NA,NA
"winter flounder",39,2018,NA,NA
"winter flounder",40,2018,NA,NA
"winter flounder",41,2018,NA,NA
"winter flounder",22,2019,NA,NA
"winter flounder",23,2019,NA,NA
"winter flounder",24,2019,0,0
"winter flounder",25,2019,NA,NA
"winter flounder",26,2019,NA,NA
"winter flounder",27,2019,35,3.58351893845611
"winter flounder",28,2019,NA,NA
"winter flounder",29,2019,NA,NA
"winter flounder",30,2019,NA,NA
"winter flounder",31,2019,NA,NA
"winter flounder",32,2019,NA,NA
"winter flounder",33,2019,NA,NA
"winter flounder",34,2019,NA,NA
"winter flounder",35,2019,NA,NA
"winter flounder",36,2019,NA,NA
"winter flounder",37,2019,NA,NA
"winter flounder",38,2019,NA,NA
"winter flounder",39,2019,NA,NA
"winter flounder",40,2019,NA,NA
"winter flounder",41,2019,NA,NA
"winter flounder",22,2020,NA,NA
"winter flounder",23,2020,NA,NA
"winter flounder",24,2020,NA,NA
"winter flounder",25,2020,NA,NA
"winter flounder",26,2020,1,0.693147180559945
"winter flounder",27,2020,NA,NA
"winter flounder",28,2020,55,4.02535169073515
"winter flounder",29,2020,NA,NA
"winter flounder",30,2020,19,2.99573227355399
"winter flounder",31,2020,NA,NA
"winter flounder",32,2020,41,3.73766961828337
"winter flounder",33,2020,NA,NA
"winter flounder",34,2020,8,2.19722457733622
"winter flounder",35,2020,NA,NA
"winter flounder",36,2020,1,0.693147180559945
"winter flounder",37,2020,NA,NA
"winter flounder",38,2020,NA,NA
"winter flounder",39,2020,NA,NA
"winter flounder",40,2020,NA,NA
"winter flounder",41,2020,NA,NA
"winter flounder",22,2021,NA,NA
"winter flounder",23,2021,6,1.94591014905531
"winter flounder",24,2021,7,2.07944154167984
"winter flounder",25,2021,1,0.693147180559945
"winter flounder",26,2021,78,4.36944785246702
"winter flounder",27,2021,7,2.07944154167984
"winter flounder",28,2021,13,2.63905732961526
"winter flounder",29,2021,5,1.79175946922805
"winter flounder",30,2021,14,2.70805020110221
"winter flounder",31,2021,29,3.40119738166216
"winter flounder",32,2021,5,1.79175946922805
"winter flounder",33,2021,11,2.484906649788
