"loc_id","date","site_name","site_id","bay_location","species_name","catch"
"2025_001_02",2025-06-11,"Skitterygusset",2,NA,"atlantic silverside",1
"2025_001_09",2025-06-11,"Great Diamond Island",9,NA,"atlantic silverside",60
"2025_001_10",2025-06-11,"SMCC",10,NA,"green crab",1
"2025_001_10",2025-06-11,"SMCC",10,NA,"mummichog",1
"2025_002_04",2025-06-18,"Mussel Cove",4,NA,"green crab",4
"2025_002_05",2025-06-18,"The Brothers - North",5,NA,"atlantic silverside",18
"2025_002_05",2025-06-18,"The Brothers - North",5,NA,"atlantic tomcod",5
"2025_002_05",2025-06-18,"The Brothers - North",5,NA,"grubby sculpin",32
"2025_002_05",2025-06-18,"The Brothers - North",5,NA,"mummichog",1
"2025_002_05",2025-06-18,"The Brothers - North",5,NA,"winter flounder",1
"2025_002_06",2025-06-18,"Mackworth Island - North",6,NA,"atlantic tomcod",1
"2025_002_06",2025-06-18,"Mackworth Island - North",6,NA,"green crab",1
"2025_002_06",2025-06-18,"Mackworth Island - North",6,NA,"sculpin",1
"2025_002_08",2025-06-18,"Back Cove",8,NA,"sculpin",4
"2025_002_11",2025-06-18,"Cushing Island",11,NA,"green crab",34
"2025_002_11",2025-06-18,"Cushing Island",11,NA,"grubby sculpin",10
"2025_002_11",2025-06-18,"Cushing Island",11,NA,"pollock",5
"2025_002_11",2025-06-18,"Cushing Island",11,NA,"red hake",1
"2025_002_11",2025-06-18,"Cushing Island",11,NA,"rock gunnel",50
"2025_002_11",2025-06-18,"Cushing Island",11,NA,"winter flounder",1
"2025_003_10",2025-06-25,"SMCC",10,NA,"green crab",1
"2025_003_11",2025-06-25,"Cushing Island",11,NA,"green crab",2
"2025_004_02",2025-06-26,"Skitterygusset",2,NA,"mummichog",2
"2025_004_05",2025-06-26,"The Brothers - North",5,NA,"green crab",6
"2025_004_05",2025-06-26,"The Brothers - North",5,NA,"winter flounder",1
"2025_004_09",2025-06-26,"Great Diamond Island",9,NA,"atlantic silverside",8
"2025_004_09",2025-06-26,"Great Diamond Island",9,NA,"green crab",4
"2025_005_03",2025-06-30,"Audubon",3,NA,"green crab",4
"2025_005_03",2025-06-30,"Audubon",3,NA,"mummichog",1
"2025_005_03",2025-06-30,"Audubon",3,NA,"sturgeon",1
"2025_005_04",2025-06-30,"Mussel Cove",4,NA,"green crab",25
"2025_006_07",2025-07-08,"Mackworth Island - Beach",7,NA,"alewife",70
"2025_006_07",2025-07-08,"Mackworth Island - Beach",7,NA,"atlantic herring",9
"2025_006_07",2025-07-08,"Mackworth Island - Beach",7,NA,"atlantic silverside",4
"2025_006_07",2025-07-08,"Mackworth Island - Beach",7,NA,"winter flounder",1
"2025_006_08",2025-07-08,"Back Cove",8,NA,"alewife",1
"2025_006_08",2025-07-08,"Back Cove",8,NA,"sand lance",2
