loc_id,date,site_name,site_id,bay_location,species_name,sex,length_mm,notes
2014_001_04,6/16/2014,Mussel Cove,04,Mid,atlantic tomcod,,54,UnID (Same)
2014_001_04,6/16/2014,Mussel Cove,04,Mid,green crab,,9,
2014_001_06,6/16/2014,Mackworth Island - North,06,Mid,atlantic tomcod,,41,UnID- Tomcod?
2014_001_06,6/16/2014,Mackworth Island - North,06,Mid,atlantic tomcod,,43,UnID- Tomcod?
2014_001_06,6/16/2014,Mackworth Island - North,06,Mid,atlantic tomcod,,45,UnID- Tomcod?
2014_001_06,6/16/2014,Mackworth Island - North,06,Mid,atlantic tomcod,,49,UnID- Tomcod?
2014_001_06,6/16/2014,Mackworth Island - North,06,Mid,atlantic tomcod,,50,UnID- Tomcod?
2014_001_06,6/16/2014,Mackworth Island - North,06,Mid,atlantic tomcod,,57,UnID- Tomcod?
2014_001_06,6/16/2014,Mackworth Island - North,06,Mid,green crab,f,70,
2014_001_06,6/16/2014,Mackworth Island - North,06,Mid,northern pipefish,,153,
2014_001_06,6/16/2014,Mackworth Island - North,06,Mid,shorthorn sculpin,,29,Sculpin (Photo 1)
2014_001_06,6/16/2014,Mackworth Island - North,06,Mid,winter flounder,,85,Winter flounder?
2014_001_06,6/16/2014,Mackworth Island - North,06,Mid,winter flounder,,125,Winter flounder?
2014_001_07,6/16/2014,Mackworth Island - Beach,07,Mid,green crab,f,28,
2014_002_01,6/19/2014,Presumpscot Moorings,01,Inner,atlantic silverside,,111,
2014_002_01,6/19/2014,Presumpscot Moorings,01,Inner,mummichog,,37,
2014_002_01,6/19/2014,Presumpscot Moorings,01,Inner,mummichog,,57,
2014_002_01,6/19/2014,Presumpscot Moorings,01,Inner,winter flounder,,51,flounder (Pic 2)
2014_002_02,6/19/2014,Skitterygusset,02,Inner,atlantic silverside,,100,
2014_002_02,6/19/2014,Skitterygusset,02,Inner,atlantic silverside,,105,
2014_002_02,6/19/2014,Skitterygusset,02,Inner,atlantic silverside,,110,
2014_002_02,6/19/2014,Skitterygusset,02,Inner,killifish spp,,49,
2014_002_02,6/19/2014,Skitterygusset,02,Inner,killifish spp,,78,
2014_002_02,6/19/2014,Skitterygusset,02,Inner,mummichog,,55,
2014_002_02,6/19/2014,Skitterygusset,02,Inner,mummichog,,59,
2014_002_02,6/19/2014,Skitterygusset,02,Inner,mummichog,,60,
2014_002_03,6/19/2014,Audubon,03,Inner,atlantic silverside,,89,
2014_002_03,6/19/2014,Audubon,03,Inner,atlantic silverside,,100,
2014_002_03,6/19/2014,Audubon,03,Inner,atlantic silverside,,107,
2014_002_03,6/19/2014,Audubon,03,Inner,atlantic silverside,,112,
2014_002_03,6/19/2014,Audubon,03,Inner,atlantic silverside,,114,
2014_002_03,6/19/2014,Audubon,03,Inner,atlantic silverside,,120,
2014_002_03,6/19/2014,Audubon,03,Inner,atlantic tomcod,,42,
2014_002_03,6/19/2014,Audubon,03,Inner,atlantic tomcod,,43,
2014_002_03,6/19/2014,Audubon,03,Inner,atlantic tomcod,,45,
2014_002_03,6/19/2014,Audubon,03,Inner,atlantic tomcod,,50,
2014_002_03,6/19/2014,Audubon,03,Inner,atlantic tomcod,,50,
2014_002_03,6/19/2014,Audubon,03,Inner,atlantic tomcod,,53,
2014_002_03,6/19/2014,Audubon,03,Inner,atlantic tomcod,,54,
2014_002_03,6/19/2014,Audubon,03,Inner,atlantic tomcod,,55,
2014_002_03,6/19/2014,Audubon,03,Inner,green crab,m,20,
2014_002_03,6/19/2014,Audubon,03,Inner,green crab,,35,
2014_002_03,6/19/2014,Audubon,03,Inner,green crab,f,43,
2014_002_03,6/19/2014,Audubon,03,Inner,green crab,m,50,
2014_002_03,6/19/2014,Audubon,03,Inner,mummichog,,44,
2014_002_03,6/19/2014,Audubon,03,Inner,mummichog,,50,
2014_002_03,6/19/2014,Audubon,03,Inner,mummichog,,53,
2014_002_03,6/19/2014,Audubon,03,Inner,mummichog,,55,
2014_002_03,6/19/2014,Audubon,03,Inner,mummichog,,70,
2014_002_03,6/19/2014,Audubon,03,Inner,mummichog,,82,
2014_002_03,6/19/2014,Audubon,03,Inner,winter flounder,,40,Pic 2
2014_002_03,6/19/2014,Audubon,03,Inner,winter flounder,,43,Pic 2
2014_002_08,6/19/2014,Back Cove,08,Mid,atlantic silverside,,71,
2014_002_08,6/19/2014,Back Cove,08,Mid,green crab,,26,
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic cod,,31,Half of a fish
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic cod,,41,
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic cod,,51,
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic cod,,63,
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic cod,,65,
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic cod,,65,
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic cod,,68,
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic cod,,72,
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic cod,,73,
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic tomcod,,38,
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic tomcod,,41,
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic tomcod,,42,
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic tomcod,,42,
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic tomcod,,43,
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic tomcod,,43,
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic tomcod,,44,
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic tomcod,,47,
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic tomcod,,48,
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic tomcod,,50,
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic tomcod,,50,
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic tomcod,,51,
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic tomcod,,51,
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic tomcod,,53,
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic tomcod,,54,
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic tomcod,,55,
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic tomcod,,59,
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic tomcod,,61,
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic tomcod,,62,
2014_002_11,6/19/2014,Cushing Island,11,Outer,atlantic tomcod,,62,
2014_002_11,6/19/2014,Cushing Island,11,Outer,green crab,m,18,
2014_002_11,6/19/2014,Cushing Island,11,Outer,green crab,m,35,
2014_002_11,6/19/2014,Cushing Island,11,Outer,green crab,m,37,
2014_002_11,6/19/2014,Cushing Island,11,Outer,hake spp,,71,Collected
2014_002_11,6/19/2014,Cushing Island,11,Outer,winter flounder,,94,
2014_002_12,6/19/2014,Alewife Cove,12,Outer,atlantic cod,,62,Found left in seine at the third site (Gizzland farm)
2014_002_12,6/19/2014,Alewife Cove,12,Outer,sandlance,,65,
2014_002_12,6/19/2014,Alewife Cove,12,Outer,shorthorn sculpin,,64,
2014_002_12,6/19/2014,Alewife Cove,12,Outer,winter flounder,,78,
2014_002_12,6/19/2014,Alewife Cove,12,Outer,winter flounder,,83,
2014_002_12,6/19/2014,Alewife Cove,12,Outer,winter flounder,,104,
2014_003_01,6/27/2014,Presumpscot Moorings,01,Inner,alewife,,43,
2014_003_01,6/27/2014,Presumpscot Moorings,01,Inner,mummichog,,54,
2014_003_01,6/27/2014,Presumpscot Moorings,01,Inner,mummichog,,57,
2014_003_03,6/27/2014,Audubon,03,Inner,alewife,,40,bagged
2014_003_03,6/27/2014,Audubon,03,Inner,alewife,,41,Photo 2 ; bagged
2014_003_03,6/27/2014,Audubon,03,Inner,alewife,,45,bagged
2014_003_03,6/27/2014,Audubon,03,Inner,alewife,,45,bagged
2014_003_03,6/27/2014,Audubon,03,Inner,alewife,,50,bagged
2014_003_03,6/27/2014,Audubon,03,Inner,alewife,,96,Photo 1; bagged
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,,54,Photo 3
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,,54,
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,,54,
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,,55,
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,,55,
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,,55,
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,,56,
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,,56,
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,,56,
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,,56,
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,,56,
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,,56,
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,,56,
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,,56,
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,,56,
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,,57,
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,,57,
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,,57,
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,,57,
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,,57,
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,,57,
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,,58,
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,,58,
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,,60,
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,,61,
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic silverside,,113,
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic tomcod,,60,
2014_003_03,6/27/2014,Audubon,03,Inner,green crab,,12,
2014_003_03,6/27/2014,Audubon,03,Inner,green crab,,13,
2014_003_03,6/27/2014,Audubon,03,Inner,green crab,m,27,
2014_003_03,6/27/2014,Audubon,03,Inner,green crab,m,28,
2014_003_03,6/27/2014,Audubon,03,Inner,green crab,m,34,
2014_003_03,6/27/2014,Audubon,03,Inner,green crab,,35,
2014_003_03,6/27/2014,Audubon,03,Inner,green crab,f,35,
2014_003_03,6/27/2014,Audubon,03,Inner,green crab,f,36,
2014_003_03,6/27/2014,Audubon,03,Inner,green crab,m,37,
2014_003_03,6/27/2014,Audubon,03,Inner,green crab,m,39,
2014_003_03,6/27/2014,Audubon,03,Inner,green crab,m,41,
2014_003_03,6/27/2014,Audubon,03,Inner,green crab,f,42,
2014_003_03,6/27/2014,Audubon,03,Inner,green crab,m,42,
2014_003_03,6/27/2014,Audubon,03,Inner,green crab,,44,
2014_003_03,6/27/2014,Audubon,03,Inner,green crab,f,44,
2014_003_03,6/27/2014,Audubon,03,Inner,green crab,,45,
