order,abbrev,mprop
1,herring,20.39950761
2,gunnel,0.087368211
3,w.sckr,0.049478202
4,pollck,0.096694821
5,fllfsh,0.0365694
6,hake,0.036210636
7,w.fldr,2.868768597
8,permit,0.020495494
9,sm.bss,0.019042765
10,stcbk,0.106531219
11,cvl.jk,0.011573639
12,str.bss,0.011380816
13,alewf,7.96134698
14,shiner,0.007776989
15,cunner,0.007709506
16,sculp,0.766910585
17,lmpfsh,0.005601017
18,c.dab,0.004084258
19,pipefsh,0.252181066
20,saury,0.001748879
21,n.pffr,0.000631729
22,mmichg,11.51816737
23,s.fldr,0.000848824
24,e.s.mnw,0.001080124
25,pogy,0.731927895
26,bttrfsh,0.002228894
27,a.crab,0.002360495
28,tomcod,0.972029725
29,am.eel,0.006647103
30,w.prch,0.006722518
31,bfsh,0.209767067
32,lgm.bss,0.009523834
33,s.squid,0.010570266
34,g.crab,10.13634449
35,smelt,0.012346906
36,sucker,0.012961483
37,w.mllt,0.19080985
38,sturgn,0.024580623
39,kllfsh,0.024825763
40,sndlnce,4.597893643
41,mckrl,0.039273208
42,am.shd,0.041156303
43,atl.cod,0.088456435
44,moonfsh,0.000117744
45,slvrsd,38.60774702
