loc_id,year,date,site_id,site_name,bay_location,substrate,set_time_local,weather,temp_degc,do_mg/l,salinity_ppt,hermit_crabs,shrimp,notes
2014_001_06,2014,6/16/2014,6,Mackworth Island - North,Mid,mud/shell,11:20,sunny,15,10.4,32.83,NA,NA,NA
2014_001_04,2014,6/16/2014,4,Mussel Cove,Mid,mud,12:20,sunny,17.8,9.8,32.41,NA,NA,NA
2014_001_09,2014,6/16/2014,9,Great Diamond Island,Outer,sand/shell,13:40,sunny,14.8,10.7,31.76,NA,NA,NA
2014_001_07,2014,6/16/2014,7,Mackworth Island - Beach,Mid,sand/shell,15:10,sunny,15.4,10.5,31.46,NA,NA,NA
2014_002_12,2014,6/19/2014,12,Alewife Cove,Outer,gravel,10:20,sunny,14.7,10.3,31.89,NA,NA,lots of seaweed at this site
2014_002_11,2014,6/19/2014,11,Cushing Island,Outer,mud,11:10,sunny,16.1,14,33.03,NA,NA,Ran the seine in a circular area from the boat (not the beach)
2014_002_03,2014,6/19/2014,3,Audubon,Inner,mud,12:40,sunny,22,8.9,4.35,NA,NA,NA
2014_002_02,2014,6/19/2014,2,Skitterygusset,Inner,mud,13:30,sunny,22.4,9.2,0.84,NA,NA,NA
2014_002_01,2014,6/19/2014,1,Presumpscot Moorings,Inner,mud/gravel,14:25,sunny,21.8,9.3,0.28,NA,NA,NA
2014_002_08,2014,6/19/2014,8,Back Cove,Mid,mud,15:15,sunny,17.6,8.9,32.06,NA,NA,NA
2014_003_12,2014,6/27/2014,12,Alewife Cove,Outer,gravel,08:50,sunny,14.5,9,28.54,NA,NA,no catch
2014_003_03,2014,6/27/2014,3,Audubon,Inner,mud,09:50,sunny,19.8,8,7.4,NA,NA,NA
2014_003_01,2014,6/27/2014,1,Presumpscot Moorings,Inner,mud/gravel,10:30,sunny,21,9.2,0.15,NA,NA,NA
2014_003_04,2014,6/27/2014,4,Mussel Cove,Mid,mud,11:15,sunny,17.3,9,31.62,NA,NA,NA
2014_003_09,2014,6/27/2014,9,Great Diamond Island,Outer,sand/shell,11:55,sunny,18.4,9.8,30.28,NA,NA,NA
2014_003_06,2014,6/27/2014,6,Mackworth Island - North,Mid,mud/shell,12:37,sunny,16.3,10.7,33.1,NA,NA,NA
2014_004_10,2014,7/1/2014,10,SMCC,Outer,sand,07:50,sunny,16.5,9.3,29.02,NA,NA,NA
2014_004_11,2014,7/1/2014,11,Cushing Island,Outer,mud,08:30,sunny,15.5,10.1,31.05,NA,NA,NA
2014_004_05,2014,7/1/2014,5,The Brothers - North,Mid,mud/gravel,09:25,sunny,21.1,9.8,33.05,NA,NA,NA
2014_004_07,2014,7/1/2014,7,Mackworth Island - Beach,Mid,sand/shell,10:05,sunny,22.3,8.2,16.9,NA,NA,NA
2014_004_02,2014,7/1/2014,2,Skitterygusset,Inner,mud,10:55,sunny,23.4,8.9,0.86,NA,NA,NA
2014_004_08,2014,7/1/2014,8,Back Cove,Mid,mud,11:40,sunny,20.3,8.1,29.77,NA,NA,NA
2014_005_03,2014,7/8/2014,3,Audubon,Inner,mud,08:05,sunny,24.1,8.1,6.66,absent,medium,NA
2014_005_09,2014,7/8/2014,9,Great Diamond Island,Outer,sand/gravel,08:35,sunny,16,8.2,30.34,absent,low,NA
2014_005_06,2014,7/8/2014,6,Mackworth Island - North,Mid,mud/shell,09:20,sunny,16.2,9.3,31.93,absent,high,NA
2014_005_01,2014,7/8/2014,1,Presumpscot Moorings,Inner,mud/gravel,10:20,sunny,25.5,7.8,0.68,absent,absent,NA
2014_005_10,2014,7/8/2014,10,SMCC,Outer,sand/gravel,10:55,sunny,14.6,8.5,32.19,present,low,NA
2014_006_12,2014,7/17/2014,12,Alewife Cove,Outer,gravel,10:44,overcast,13.9,10,30.6,absent,high,NA
2014_006_11,2014,7/17/2014,11,Cushing Island,Outer,mud,11:55,sunny,17.2,8.7,31.83,present,high,NA
2014_006_08,2014,7/17/2014,8,Back Cove,Mid,mud,12:55,sunny,15.6,8.8,32,absent,absent,NA
2014_006_02,2014,7/17/2014,2,Skitterygusset,Inner,mud,13:50,sunny,25.2,9,3.36,absent,absent,NA
2014_006_07,2014,7/17/2014,7,Mackworth Island - Beach,Mid,sand/shell,14:50,sunny,18.1,9.7,32.32,absent,absent,NA
2014_006_04,2014,7/17/2014,4,Mussel Cove,Mid,mud,15:42,sunny,19.4,9.4,33.3,absent,absent,NA
2014_007_10,2014,7/22/2014,10,SMCC,Outer,sand/gravel,08:15,sunny,17.4,8.4,28.64,present,low,NA
2014_007_09,2014,7/22/2014,9,Great Diamond Island,Outer,sand/gravel,08:50,sunny,16.1,9,31.06,present,absent,NA
2014_007_06,2014,7/22/2014,6,Mackworth Island - North,Mid,gravel,09:24,sunny,16,9.6,33.48,NA,low,NA
2014_007_01,2014,7/22/2014,1,Presumpscot Moorings,Inner,gravel,10:10,sunny,24.6,7.8,0.36,absent,absent,NA
2014_007_03,2014,7/22/2014,3,Audubon,Inner,sand,10:40,sunny,22.9,8.5,7.25,NA,NA,NA
2014_007_05,2014,7/22/2014,5,The Brothers - North,Mid,mud/shell,11:20,sunny,18,9.9,33.42,present,low,NA
2014_008_12,2014,8/1/2014,12,Alewife Cove,Outer,sand/gravel,09:30,partly cloudy,15.5,9.5,33.65,absent,medium,NA
2014_008_11,2014,8/1/2014,11,Cushing Island,Outer,sand/shell,10:20,sunny,18.4,10.7,33.33,present,high,NA
2014_008_07,2014,8/1/2014,7,Mackworth Island - Beach,Mid,mud/shell,11:00,overcast,23.1,8.3,16.5,present,high,NA
2014_008_02,2014,8/1/2014,2,Skitterygusset,Inner,mud,11:43,sunny,25.3,7.3,2.61,absent,medium,NA
2014_008_08,2014,8/1/2014,8,Back Cove,Mid,mud,12:30,sunny,18.3,7.5,31.2,absent,medium,NA
2014_008_04,2014,8/1/2014,4,Mussel Cove,Mid,mud,13:15,sunny,22.1,9.1,33.62,absent,absent,NA
2014_009_01,2014,8/7/2014,1,Presumpscot Moorings,Inner,mud/gravel,09:35,overcast,23.4,7.4,0.49,absent,low,NA
2014_009_03,2014,8/7/2014,3,Audubon,Inner,mud/sand,09:55,overcast,21.3,7.6,11.95,absent,low,NA
2014_009_06,2014,8/7/2014,6,Mackworth Island - North,Mid,mud/shell,10:30,overcast,20.1,9.1,30.96,absent,medium,NA
2014_009_05,2014,8/7/2014,5,The Brothers - North,Mid,sand/gravel,10:55,overcast,20.8,9.2,31.07,present,absent,NA
2014_009_09,2014,8/7/2014,9,Great Diamond Island,Outer,sand/shell,11:30,sunny,18.3,9.2,32.07,absent,low,NA
