"","species_name","year","growth","Group","period","xpos"
"1","Herring",2014,2.75514776808626,"1","Cooler than CRP",2.25
"2","Herring",2015,5.00749041566773,"1","Cooler than CRP",2.25
"3","Herring",2016,3.48513446470998,"1","Warmer than CRP",0.75
"4","Herring",2017,1.16469698510099,"1","Cooler than CRP",1.75
"5","Herring",2018,4.73326232644783,"1","Cooler than CRP",1.75
"6","Herring",2020,3.92468565009811,"1","Warmer than CRP",0.75
"7","Herring",2021,3.16776085400302,"1","Warmer than CRP",1.25
"8","Herring",2022,1.37845225855538,"1","Warmer than CRP",0.75
"10","Silverside",2014,3.75447017607836,"1","Cooler than CRP",2.25
"11","Silverside",2015,2.55230687984971,"1","Cooler than CRP",2.25
"12","Silverside",2016,5.40298280896251,"1","Warmer than CRP",1.25
"13","Silverside",2017,4.90825839860037,"1","Cooler than CRP",2.25
"14","Silverside",2018,2.92069631764904,"1","Cooler than CRP",1.75
"15","Silverside",2020,4.47607216377527,"1","Warmer than CRP",0.75
"16","Silverside",2021,5.22522127628121,"1","Warmer than CRP",1.25
"17","Silverside",2022,6.23050702100217,"1","Warmer than CRP",1.25
"18","Silverside",2023,5.0612544857942,"1","Warmer than CRP",0.75
