"STATION","NAME","DATE","PRCP","SNOW","SNWD"
"USW00014764","PORTLAND JETPORT, ME US","2013-11-01","0.11","0.0","0.0"
"USW00014764","PORTLAND JETPORT, ME US","2013-11-02","0.06","0.0","0.0"
"USW00014764","PORTLAND JETPORT, ME US","2013-11-03","0.00","0.0","0.0"
"USW00014764","PORTLAND JETPORT, ME US","2013-11-04","0.00","0.0","0.0"
"USW00014764","PORTLAND JETPORT, ME US","2013-11-05","0.00","0.0","0.0"
"USW00014764","PORTLAND JETPORT, ME US","2013-11-06","0.00","0.0","0.0"
"USW00014764","PORTLAND JETPORT, ME US","2013-11-07","0.01","0.0","0.0"
"USW00014764","PORTLAND JETPORT, ME US","2013-11-08","0.00","0.0","0.0"
"USW00014764","PORTLAND JETPORT, ME US","2013-11-09","0.00","0.0","0.0"
"USW00014764","PORTLAND JETPORT, ME US","2013-11-10","0.05","0.0","0.0"
"USW00014764","PORTLAND JETPORT, ME US","2013-11-11","0.00","0.0","0.0"
"USW00014764","PORTLAND JETPORT, ME US","2013-11-12","0.00","0.0","0.0"
"USW00014764","PORTLAND JETPORT, ME US","2013-11-13","0.00","0.0","0.0"
"USW00014764","PORTLAND JETPORT, ME US","2013-11-14","0.00","0.0","0.0"
"USW00014764","PORTLAND JETPORT, ME US","2013-11-15","0.00","0.0","0.0"
"USW00014764","PORTLAND JETPORT, ME US","2013-11-16","0.00","0.0","0.0"
"USW00014764","PORTLAND JETPORT, ME US","2013-11-17","0.25","0.0","0.0"
"USW00014764","PORTLAND JETPORT, ME US","2013-11-18","0.31","0.0","0.0"
"USW00014764","PORTLAND JETPORT, ME US","2013-11-19","0.00","0.0","0.0"
"USW00014764","PORTLAND JETPORT, ME US","2013-11-20","0.00","0.0","0.0"
"USW00014764","PORTLAND JETPORT, ME US","2013-11-21","0.00","0.0","0.0"
"USW00014764","PORTLAND JETPORT, ME US","2013-11-22","0.03","0.0","0.0"
"USW00014764","PORTLAND JETPORT, ME US","2013-11-23","0.00","0.0","0.0"
"USW00014764","PORTLAND JETPORT, ME US","2013-11-24","0.00","0.0","0.0"
"USW00014764","PORTLAND JETPORT, ME US","2013-11-25","0.00","0.0","0.0"
"USW00014764","PORTLAND JETPORT, ME US","2013-11-26","0.11","0.5","0.0"
"USW00014764","PORTLAND JETPORT, ME US","2013-11-27","2.48","0.0","0.0"
"USW00014764","PORTLAND JETPORT, ME US","2013-11-28","0.00","0.0","0.0"
"USW00014764","PORTLAND JETPORT, ME US","2013-11-29","0.00","0.0","0.0"
"USW00014764","PORTLAND JETPORT, ME US","2013-11-30","0.00","0.0","0.0"
"USW00014764","PORTLAND JETPORT, ME US","2013-12-01","0.39","0.0","0.0"
"USW00014764","PORTLAND JETPORT, ME US","2013-12-02","0.01","0.0","0.0"
"USW00014764","PORTLAND JETPORT, ME US","2013-12-03","0.00","0.0","0.0"
"USW00014764","PORTLAND JETPORT, ME US","2013-12-04","0.00","0.0","0.0"
"USW00014764","PORTLAND JETPORT, ME US","2013-12-05","0.02","0.0","0.0"
"USW00014764","PORTLAND JETPORT, ME US","2013-12-06","0.18","0.0","0.0"
"USW00014764","PORTLAND JETPORT, ME US","2013-12-07","0.13","0.5","1.2"
"USW00014764","PORTLAND JETPORT, ME US","2013-12-08","0.00","0.0","0.0"
"USW00014764","PORTLAND JETPORT, ME US","2013-12-09","0.25","0.7","0.0"
"USW00014764","PORTLAND JETPORT, ME US","2013-12-10","0.01","0.2","1.2"
"USW00014764","PORTLAND JETPORT, ME US","2013-12-11","0.01","0.0","1.2"
"USW00014764","PORTLAND JETPORT, ME US","2013-12-12","0.00","0.0","1.2"
"USW00014764","PORTLAND JETPORT, ME US","2013-12-13","0.00","0.0","1.2"
"USW00014764","PORTLAND JETPORT, ME US","2013-12-14","0.15","1.8","1.2"
"USW00014764","PORTLAND JETPORT, ME US","2013-12-15","0.96","10.6","11.0"
"USW00014764","PORTLAND JETPORT, ME US","2013-12-16","0.00","0.0","9.1"
"USW00014764","PORTLAND JETPORT, ME US","2013-12-17","0.56","9.0","7.9"
"USW00014764","PORTLAND JETPORT, ME US","2013-12-18","0.02","0.1","15.0"
"USW00014764","PORTLAND JETPORT, ME US","2013-12-19","0.00","0.0","15.0"
"USW00014764","PORTLAND JETPORT, ME US","2013-12-20","0.00","0.0","11.8"
"USW00014764","PORTLAND JETPORT, ME US","2013-12-21","0.09","0.0","9.8"
"USW00014764","PORTLAND JETPORT, ME US","2013-12-22","0.31","0.0","7.1"
"USW00014764","PORTLAND JETPORT, ME US","2013-12-23","0.27","0.0","7.1"
"USW00014764","PORTLAND JETPORT, ME US","2013-12-24","0.00","0.0","7.1"
"USW00014764","PORTLAND JETPORT, ME US","2013-12-25","0.00","0.0","7.1"
"USW00014764","PORTLAND JETPORT, ME US","2013-12-26","0.20","2.0","7.1"
"USW00014764","PORTLAND JETPORT, ME US","2013-12-27","0.00","0.0","7.9"
"USW00014764","PORTLAND JETPORT, ME US","2013-12-28","0.00","0.0","7.9"
"USW00014764","PORTLAND JETPORT, ME US","2013-12-29","0.87","1.3","7.9"
"USW00014764","PORTLAND JETPORT, ME US","2013-12-30","0.00","0.0","7.9"
"USW00014764","PORTLAND JETPORT, ME US","2013-12-31","0.01","0.0","7.9"
"USW00014764","PORTLAND JETPORT, ME US","2014-01-01","0.00","0.0","7.9"
"USW00014764","PORTLAND JETPORT, ME US","2014-01-02","0.44","8.7","9.1"
"USW00014764","PORTLAND JETPORT, ME US","2014-01-03","0.19","3.2","14.2"
"USW00014764","PORTLAND JETPORT, ME US","2014-01-04","0.00","0.0","13.0"
"USW00014764","PORTLAND JETPORT, ME US","2014-01-05","0.03","0.0","13.0"
"USW00014764","PORTLAND JETPORT, ME US","2014-01-06","1.35","0.0","11.0"
"USW00014764","PORTLAND JETPORT, ME US","2014-01-07","0.00","0.0","7.1"
"USW00014764","PORTLAND JETPORT, ME US","2014-01-08","0.00","0.0","5.9"
"USW00014764","PORTLAND JETPORT, ME US","2014-01-09","0.00","0.0","5.9"
"USW00014764","PORTLAND JETPORT, ME US","2014-01-10","0.02","0.1","5.9"
"USW00014764","PORTLAND JETPORT, ME US","2014-01-11","0.59","0.0","5.9"
"USW00014764","PORTLAND JETPORT, ME US","2014-01-12","0.01","0.0","3.9"
"USW00014764","PORTLAND JETPORT, ME US","2014-01-13","0.00","0.0","3.1"
"USW00014764","PORTLAND JETPORT, ME US","2014-01-14","0.93","0.0","2.0"
"USW00014764","PORTLAND JETPORT, ME US","2014-01-15","0.00","0.0","1.2"
"USW00014764","PORTLAND JETPORT, ME US","2014-01-16","0.00","0.0","1.2"
"USW00014764","PORTLAND JETPORT, ME US","2014-01-17","0.00","0.0","0.0"
"USW00014764","PORTLAND JETPORT, ME US","2014-01-18","0.35","4.2","0.0"
"USW00014764","PORTLAND JETPORT, ME US","2014-01-19","0.09","1.2","5.1"
"USW00014764","PORTLAND JETPORT, ME US","2014-01-20","0.00","0.0","3.9"
"USW00014764","PORTLAND JETPORT, ME US","2014-01-21","0.00","0.0","3.9"
"USW00014764","PORTLAND JETPORT, ME US","2014-01-22","0.00","0.0","3.1"
"USW00014764","PORTLAND JETPORT, ME US","2014-01-23","0.00","0.0","3.1"
"USW00014764","PORTLAND JETPORT, ME US","2014-01-24","0.00","0.0","3.1"
"USW00014764","PORTLAND JETPORT, ME US","2014-01-25","0.02","0.2","3.1"
"USW00014764","PORTLAND JETPORT, ME US","2014-01-26","0.00","0.0","3.1"
"USW00014764","PORTLAND JETPORT, ME US","2014-01-27","0.03","0.0","3.1"
"USW00014764","PORTLAND JETPORT, ME US","2014-01-28","0.00","0.0","2.0"
"USW00014764","PORTLAND JETPORT, ME US","2014-01-29","0.00","0.0","2.0"
"USW00014764","PORTLAND JETPORT, ME US","2014-01-30","0.00","0.0","2.0"
"USW00014764","PORTLAND JETPORT, ME US","2014-01-31","0.00","0.0","2.0"
"USW00014764","PORTLAND JETPORT, ME US","2014-02-01","0.00","0.0","2.0"
"USW00014764","PORTLAND JETPORT, ME US","2014-02-02","0.01","0.0","2.0"
"USW00014764","PORTLAND JETPORT, ME US","2014-02-03","0.00","0.0","1.2"
"USW00014764","PORTLAND JETPORT, ME US","2014-02-04","0.00","0.0","1.2"
"USW00014764","PORTLAND JETPORT, ME US","2014-02-05","0.71","9.0","1.2"
"USW00014764","PORTLAND JETPORT, ME US","2014-02-06","0.00","0.0","7.9"
"USW00014764","PORTLAND JETPORT, ME US","2014-02-07","0.00","0.0","7.1"
"USW00014764","PORTLAND JETPORT, ME US","2014-02-08","0.00","0.0","7.1"
"USW00014764","PORTLAND JETPORT, ME US","2014-02-09","0.08","0.8","5.9"
"USW00014764","PORTLAND JETPORT, ME US","2014-02-10","0.18","3.6","9.8"
"USW00014764","PORTLAND JETPORT, ME US","2014-02-11","0.00","0.0","9.8"
"USW00014764","PORTLAND JETPORT, ME US","2014-02-12","0.00","0.0","9.8"
"USW00014764","PORTLAND JETPORT, ME US","2014-02-13","0.93","9.2","7.1"
"USW00014764","PORTLAND JETPORT, ME US","2014-02-14","0.40","0.2","11.8"
"USW00014764","PORTLAND JETPORT, ME US","2014-02-15","0.14","1.8","11.0"
"USW00014764","PORTLAND JETPORT, ME US","2014-02-16","0.00","0.0","13.0"
"USW00014764","PORTLAND JETPORT, ME US","2014-02-17","0.00","0.0","11.8"
"USW00014764","PORTLAND JETPORT, ME US","2014-02-18","0.76","7.6","11.8"
"USW00014764","PORTLAND JETPORT, ME US","2014-02-19","0.22","1.7","18.1"
"USW00014764","PORTLAND JETPORT, ME US","2014-02-20","0.02","0.0","18.1"
"USW00014764","PORTLAND JETPORT, ME US","2014-02-21","0.82","0.3","15.0"
"USW00014764","PORTLAND JETPORT, ME US","2014-02-22","0.00","0.0","13.0"
"USW00014764","PORTLAND JETPORT, ME US","2014-02-23","0.00","0.0","11.0"
"USW00014764","PORTLAND JETPORT, ME US","2014-02-24","0.00","0.0","9.8"
"USW00014764","PORTLAND JETPORT, ME US","2014-02-25","0.00","0.0","9.1"
"USW00014764","PORTLAND JETPORT, ME US","2014-02-26","0.00","0.0","9.1"
"USW00014764","PORTLAND JETPORT, ME US","2014-02-27","0.00","0.0","9.1"
"USW00014764","PORTLAND JETPORT, ME US","2014-02-28","0.00","0.0","9.1"
"USW00014764","PORTLAND JETPORT, ME US","2014-03-01","0.00","0.0","9.1"
"USW00014764","PORTLAND JETPORT, ME US","2014-03-02","0.00","0.0","9.1"
"USW00014764","PORTLAND JETPORT, ME US","2014-03-03","0.00","0.0","9.1"
"USW00014764","PORTLAND JETPORT, ME US","2014-03-04","0.00","0.0","9.1"
"USW00014764","PORTLAND JETPORT, ME US","2014-03-05","0.07","0.5","9.1"
"USW00014764","PORTLAND JETPORT, ME US","2014-03-06","0.00","0.0","9.1"
"USW00014764","PORTLAND JETPORT, ME US","2014-03-07","0.00","0.0","9.1"
"USW00014764","PORTLAND JETPORT, ME US","2014-03-08","0.00","0.0","9.1"
"USW00014764","PORTLAND JETPORT, ME US","2014-03-09","0.00","0.0","7.9"
"USW00014764","PORTLAND JETPORT, ME US","2014-03-10","0.02","0.1","7.9"
"USW00014764","PORTLAND JETPORT, ME US","2014-03-11","0.12","0.4","7.9"
"USW00014764","PORTLAND JETPORT, ME US","2014-03-12","0.88","0.1","7.1"
"USW00014764","PORTLAND JETPORT, ME US","2014-03-13","0.07","1.4","7.1"
"USW00014764","PORTLAND JETPORT, ME US","2014-03-14","0.00","0.0","7.1"
"USW00014764","PORTLAND JETPORT, ME US","2014-03-15","0.00","0.0","5.9"
"USW00014764","PORTLAND JETPORT, ME US","2014-03-16","0.00","0.0","5.1"
"USW00014764","PORTLAND JETPORT, ME US","2014-03-17","0.00","0.0","5.1"
"USW00014764","PORTLAND JETPORT, ME US","2014-03-18","0.00","0.0","5.1"
"USW00014764","PORTLAND JETPORT, ME US","2014-03-19","0.00","0.0","5.1"
