"loc_id","site_name","bay_location","year","month","week","green.crab","tomcod","winter.flounder","sandlance","mummichog","atlantic.silverside","alewife","atlantic.herring","shannon","simpson","substrate","do_mg.l","salinity_ppt","temp_degc","log.crab"
"2014_002_03","Audubon","Inner",2014,6,25,4,8,2,0,7,6,0,0,1.52032086608605,0.768175582990398,"mud",8.9,4.35,22,1.6094379124341
"2014_003_03","Audubon","Inner",2014,6,26,22,1,0,0,0,1,6,58,0.95763428657547,0.5092791314228,"mud",8,7.4,19.8,3.13549421592915
"2014_005_03","Audubon","Inner",2014,7,28,6,0,0,0,0,1,60,0,0.377659327619408,0.189797282245489,"mud",8.1,6.66,24.1,1.94591014905531
"2014_007_03","Audubon","Inner",2014,7,30,0,0,0,0,31,26,85,0,1.18189319957689,0.634754045825989,"sand",8.5,7.25,22.9,0
"2014_009_03","Audubon","Inner",2014,8,32,3,0,0,0,0,429,1,0,0.0983837755689243,0.0317523777459808,"mud/sand",7.6,11.95,21.3,1.38629436111989
"2014_011_03","Audubon","Inner",2014,8,34,4,0,0,0,0,52,0,0,0.257318640543832,0.13265306122449,"sand/mud/gravel",7.9,5.8,20.6,1.6094379124341
"2015_013_03","Audubon","Inner",2015,6,24,0,2,0,0,0,0,0,0,0,0,NA,11.4,39.5,13.3,0
"2015_015_03","Audubon","Inner",2015,6,27,1,0,0,0,6,4,31,0,1.20630291220509,0.567263640149938,NA,9.1,8.24,18.2,0.693147180559945
"2015_017_03","Audubon","Inner",2015,7,29,4,0,0,0,1,2,0,0,1.27302833658963,0.691358024691358,NA,8.7,18.99,18.6,1.6094379124341
"2015_019_03","Audubon","Inner",2015,7,31,6,0,0,0,45,117,0,0,0.723816841151055,0.441964285714286,NA,9.7,17.8,23,1.94591014905531
"2015_021_03","Audubon","Inner",2015,8,33,15,0,0,0,981,47,22,0,0.360720943277,0.150547891681832,NA,8.5,7.8,22.3,2.77258872223978
