"loc_id","site_name","bay_location","year","month","week","green.crab","tomcod","winter.flounder","sandlance","mummichog","atlantic.silverside","alewife","atlantic.herring","shannon","simpson","substrate","do_mg.l","salinity_ppt","temp_degc","log.crab"
"2014_002_08","Back Cove","Mid",2014,6,25,1,0,0,0,0,1,0,0,0.693147180559945,0.5,"mud",8.9,32.06,17.6,0.693147180559945
"2014_004_08","Back Cove","Mid",2014,7,27,10,1,0,0,2,3,0,0,1.04083983742324,0.5546875,"mud",8.1,29.77,20.3,2.39789527279837
"2014_006_08","Back Cove","Mid",2014,7,29,1,0,1,0,0,0,55,5,0.442448663271601,0.206035379812695,"mud",8.8,32,15.6,0.693147180559945
"2014_008_08","Back Cove","Mid",2014,8,31,29,0,3,0,12,0,10,1,1.21111233681413,0.63801652892562,"mud",7.5,31.2,18.3,3.40119738166216
"2014_010_08","Back Cove","Mid",2014,8,33,1,0,0,0,1,213,0,1,0.0884486331651485,0.0275205761316871,"mud/gravel",7.6,31.43,16.8,0.693147180559945
"2014_012_08","Back Cove","Mid",2014,8,35,0,0,0,0,0,52,0,0,0,0,"mud/gravel",8.2,33.01,19.5,0
"2015_014_08","Back Cove","Mid",2015,6,25,0,1,0,0,0,0,0,0,0,0,NA,11.4,33.2,14.8,0
"2015_018_08","Back Cove","Mid",2015,7,30,0,0,0,0,0,43,0,0,0,0,NA,10.1,32.04,17.1,0
"2015_022_08","Back Cove","Mid",2015,8,34,0,0,2,0,2,1,0,0,1.32966134885476,0.722222222222222,NA,8.1,32.32,19.5,0
"2015_026_08","Back Cove","Mid",2015,9,38,0,0,0,1,0,26,0,0,0.158410570131791,0.0713305898491086,NA,NA,NA,NA,0
"2016_029_08","Back Cove","Mid",2016,6,25,0,0,0,0,0,0,0,0,0,0,NA,11,29.85,16.3,0
"2016_031_08","Back Cove","Mid",2016,7,28,22,0,0,0,10,0,0,0,0.621086374555245,0.4296875,NA,8.7,29.86,20,3.13549421592915
"2016_035_08","Back Cove","Mid",2016,8,31,0,0,0,0,2,0,0,0,0,0,"gravel",9.6,30.55,18.8,0
"2016_037_08","Back Cove","Mid",2016,8,33,1,0,0,0,106,0,0,0,0.0529732832854658,0.0185169010393922,"gravel",7.9,30.79,18.7,0.693147180559945
"2016_039_08","Back Cove","Mid",2016,9,36,6,0,0,0,152,44,0,0,0.650422450488305,0.385452406626801,NA,7.5,29.97,18.5,1.94591014905531
"2017_045_08","Back Cove","Mid",2017,7,30,0,0,0,0,0,1,0,0,0,0,NA,11,28.83,17.4,0
"2017_047_08","Back Cove","Mid",2017,8,32,5,0,2,0,1,5,0,0,1.22028216627224,0.674556213017751,NA,9.4,29.35,18.1,1.79175946922805
"2017_049_08","Back Cove","Mid",2017,9,37,0,0,1,0,0,17,0,0,0.214559155176405,0.104938271604938,NA,9,30.05,15.8,0
"2018_051_08","Back Cove","Mid",2018,6,26,0,0,0,0,0,17,0,17,0.803083670120518,0.52734693877551,NA,7.5,29.64,16.9,0
"2020_055_08","Back Cove","Mid",2020,7,28,0,0,0,0,0,0,0,74,0,0,NA,NA,NA,20,0
"2020_058_08","Back Cove","Mid",2020,7,30,0,0,0,0,0,4,0,0,0,0,NA,NA,NA,21.2,0
"2020_062_08","Back Cove","Mid",2020,8,34,0,0,0,0,360,163,0,0,0.620425184803817,0.429058710410962,NA,NA,NA,20.4,0
"2020_065_08","Back Cove","Mid",2020,9,36,0,0,0,0,242,3980,0,0,0.223847820443322,0.108911043137339,NA,NA,NA,NA,0
"2021_067_08","Back Cove","Mid",2021,6,24,7,0,0,0,0,18,0,4,0.912356515158966,0.537455410225921,NA,12,27.79,20.5,2.07944154167984
"2021_072_08","Back Cove","Mid",2021,7,29,2,0,0,0,2,0,0,0,0.693147180559945,0.5,NA,13.9,23.46,19.4,1.09861228866811
"2021_074_08","Back Cove","Mid",2021,8,31,1,0,0,0,0,457,23,0,0.206851310427961,0.0950116916852883,NA,9.1,27.3,18.3,0.693147180559945
"2021_077_08","Back Cove","Mid",2021,8,33,0,0,0,0,6,0,0,0,0,0,NA,7,27.36,19.7,0
"2022_080_08","Back Cove","Mid",2022,6,24,0,0,0,0,0,0,0,1170,0,0,"mud",NA,31.89,15.6,0
"2022_083_08","Back Cove","Mid",2022,6,26,0,0,0,0,0,0,0,22,0,0,"mud",NA,28.02,16.3,0
"2022_089_08","Back Cove","Mid",2022,7,30,0,0,0,0,1,4,0,0,0.500402423538188,0.32,"mud",NA,33.37,17.92,0
"2022_094_08","Back Cove","Mid",2022,8,32,0,0,0,0,0,86,0,0,0,0,"mud",NA,32.74,19.17,0
"2022_098_08","Back Cove","Mid",2022,8,35,2,0,0,0,1,2,0,0,1.05492016798614,0.64,"mud",NA,32.53,19.67,1.09861228866811
