"loc_id","site_name","bay_location","year","month","week","green.crab","tomcod","winter.flounder","sandlance","mummichog","atlantic.silverside","alewife","atlantic.herring","shannon","simpson","substrate","do_mg.l","salinity_ppt","temp_degc","log.crab"
"2014_002_11","Cushing Island","Outer",2014,6,25,3,20,1,0,0,0,0,0,1.08561042070116,0.57439446366782,"mud",14,33.03,16.1,1.38629436111989
"2014_004_11","Cushing Island","Outer",2014,7,27,3,22,0,0,0,0,0,3,1.26476459777138,0.650046168051708,"mud",10.1,31.05,15.5,1.38629436111989
"2014_006_11","Cushing Island","Outer",2014,7,29,33,2,1,0,0,0,0,0,0.339878830414062,0.155864197530864,"mud",8.7,31.83,17.2,3.52636052461616
"2014_008_11","Cushing Island","Outer",2014,8,31,21,0,0,0,0,0,0,0,0.791932795243018,0.430439952437574,"sand/shell",10.7,33.33,18.4,3.09104245335832
"2014_010_11","Cushing Island","Outer",2014,8,33,11,0,3,0,0,2,3,0,1.13629076369746,0.60387811634349,"mud/gravel",8.2,31.77,16.6,2.484906649788
"2014_012_11","Cushing Island","Outer",2014,8,35,26,0,1,1,0,1,26,0,1.22114121097275,0.637877211238293,"mud/gravel",8.6,30.53,17.6,3.29583686600433
"2015_013_11","Cushing Island","Outer",2015,6,24,10,5,0,0,0,0,0,0,1.13555069716037,0.626038781163435,NA,10.7,33.77,13.7,2.39789527279837
"2015_016_11","Cushing Island","Outer",2015,7,28,14,0,1,0,0,0,0,0,0.244930026794635,0.124444444444444,NA,11.2,33.76,13.3,2.70805020110221
"2015_018_11","Cushing Island","Outer",2015,7,30,3,10,0,4,0,0,0,0,1.42972443210611,0.714876033057851,NA,10.1,32.62,14.8,1.38629436111989
"2015_020_11","Cushing Island","Outer",2015,8,32,5,0,0,0,0,0,0,0,0.693147180559945,0.5,NA,10,32.79,16.6,1.79175946922805
"2015_022_11","Cushing Island","Outer",2015,8,34,3,1,1,0,0,0,0,0,0.950270539233235,0.56,NA,10.1,32.72,18.2,1.38629436111989
"2015_024_11","Cushing Island","Outer",2015,9,36,2,0,0,0,0,15,0,0,0.556646903582107,0.290123456790123,NA,9.7,34.09,17.7,1.09861228866811
"2015_026_11","Cushing Island","Outer",2015,9,38,2,0,8,2,0,10,0,0,1.5193826646423,0.733727810650888,NA,NA,NA,NA,1.09861228866811
"2016_028_11","Cushing Island","Outer",2016,6,24,3,0,7,0,0,0,0,0,0.859967281035505,0.512396694214876,"sand",11.5,30.7,15.4,1.38629436111989
"2016_030_11","Cushing Island","Outer",2016,6,26,1,1,0,0,0,0,0,0,1.38629436111989,0.75,"mud/sand",14.3,31.28,17,0.693147180559945
"2016_032_11","Cushing Island","Outer",2016,7,29,4,0,0,0,0,0,0,0,0,0,"sand",10.6,31.29,17.9,1.6094379124341
"2016_034_11","Cushing Island","Outer",2016,7,30,4,0,0,0,0,0,0,0,0.500402423538188,0.32,NA,12.6,31.83,16.8,1.6094379124341
"2016_036_11","Cushing Island","Outer",2016,8,32,7,0,4,0,0,1,0,0,0.887694275799104,0.541666666666667,"sand",11.6,31.87,21.3,2.07944154167984
"2016_038_11","Cushing Island","Outer",2016,9,35,0,0,0,0,0,0,61,0,0.762306481148795,0.403292181069959,NA,9.3,30.51,16.9,0
