"loc_id","site_name","bay_location","year","month","week","green.crab","tomcod","winter.flounder","sandlance","mummichog","atlantic.silverside","alewife","atlantic.herring","shannon","simpson","substrate","do_mg.l","salinity_ppt","temp_degc","log.crab"
"2014_003_09","Great Diamond Island","Outer",2014,6,26,0,0,0,0,0,0,0,2079,0,0,"sand/shell",9.8,30.28,18.4,0
"2014_005_09","Great Diamond Island","Outer",2014,7,28,0,0,0,0,0,0,0,24914,0,0,"sand/gravel",8.2,30.34,16,0
"2014_007_09","Great Diamond Island","Outer",2014,7,30,3,0,0,0,0,0,0,0,0,0,"sand/gravel",9,31.06,16.1,1.38629436111989
"2014_009_09","Great Diamond Island","Outer",2014,8,32,0,0,0,0,0,0,0,3186,0,0,"sand/shell",9.2,32.07,18.3,0
"2014_011_09","Great Diamond Island","Outer",2014,8,34,2,0,0,0,0,0,0,0,0.636514168294813,0.444444444444444,"sand/gravel",8.9,31.54,17.4,1.09861228866811
"2015_013_09","Great Diamond Island","Outer",2015,6,24,0,4,0,0,0,0,0,0,0,0,NA,10.5,33.44,12.5,0
"2015_015_09","Great Diamond Island","Outer",2015,6,27,0,0,0,3,0,0,3,11,0.893888536244996,0.519031141868512,NA,9.3,30.7,17.5,0
"2015_017_09","Great Diamond Island","Outer",2015,7,29,0,0,0,1,0,0,0,0,0,0,NA,9.7,33.41,16,0
"2015_019_09","Great Diamond Island","Outer",2015,7,31,8,0,3,0,0,0,0,0,0.585952618303551,0.396694214876033,NA,9.8,33.31,17.2,2.19722457733622
"2015_021_09","Great Diamond Island","Outer",2015,8,33,0,0,0,1,0,23,0,0,0.431071102348777,0.210059171597633,NA,10,33.27,16.4,0
"2015_023_09","Great Diamond Island","Outer",2015,8,35,7,0,2,0,1,0,0,0,1.03356205420682,0.545454545454545,NA,0,33.37,19.1,2.07944154167984
"2015_025_09","Great Diamond Island","Outer",2015,9,37,1,0,1,0,0,21,0,0,0.355712859746894,0.162570888468809,NA,8.3,34.39,16.5,0.693147180559945
"2015_027_09","Great Diamond Island","Outer",2015,9,39,0,0,1,0,1,1,0,0,1.6094379124341,0.8,NA,12,34.74,17.4,0
"2016_028_09","Great Diamond Island","Outer",2016,6,24,14,0,1,1,3,0,0,0,0.826405322291812,0.426592797783934,"sand",12,30.64,15,2.70805020110221
"2016_030_09","Great Diamond Island","Outer",2016,6,26,12,0,2,0,0,0,0,0,0.410116318288409,0.244897959183674,"mud/sand",12.5,30.35,19,2.56494935746154
"2016_032_09","Great Diamond Island","Outer",2016,7,29,3,0,29,0,0,0,0,0,0.311129154811849,0.169921875,"sand/gravel",9.3,27.01,18.6,1.38629436111989
"2016_035_09","Great Diamond Island","Outer",2016,8,31,0,0,2,0,0,0,0,0,0,0,"sand/gravel",9.2,29.81,17.9,0
"2016_037_09","Great Diamond Island","Outer",2016,8,33,10,0,3,0,5,57,0,0,0.786517451873848,0.398577777777778,"mud/sand",9.7,30.81,18.5,2.39789527279837
"2016_039_09","Great Diamond Island","Outer",2016,9,36,1,0,1,0,47,2209,0,0,0.10890035957435,0.0424966716118499,NA,8.8,31.58,18,0.693147180559945
"2017_040_09","Great Diamond Island","Outer",2017,6,25,0,0,0,0,0,0,0,0,0,0,NA,12.4,29.55,13.7,0
"2017_042_09","Great Diamond Island","Outer",2017,7,27,2,0,0,0,0,0,0,0,0,0,NA,14.5,29.37,16,1.09861228866811
"2017_044_09","Great Diamond Island","Outer",2017,7,29,2,0,0,0,0,0,0,0,0,0,NA,12.2,29.29,20.2,1.09861228866811
"2017_046_09","Great Diamond Island","Outer",2017,8,31,4,0,2,1,0,2,0,0,1.27302833658963,0.691358024691358,NA,9.9,29.82,18.3,1.6094379124341
"2017_048_09","Great Diamond Island","Outer",2017,8,34,3,0,23,0,1,17,0,0,1.06051069685187,0.590617283950617,NA,NA,NA,NA,1.38629436111989
"2018_052_09","Great Diamond Island","Outer",2018,7,28,1,0,8,0,0,2,0,142,0.350269038297151,0.146820711755777,NA,8.8,28.95,17.2,0.693147180559945
