"loc_id","site_name","bay_location","year","month","week","green.crab","tomcod","winter.flounder","sandlance","mummichog","atlantic.silverside","alewife","atlantic.herring","shannon","simpson","substrate","do_mg.l","salinity_ppt","temp_degc","log.crab"
"2014_001_07","Mackworth Island - Beach","Mid",2014,6,25,1,0,0,0,0,0,0,0,0,0,"sand/shell",10.5,31.46,15.4,0.693147180559945
"2014_004_07","Mackworth Island - Beach","Mid",2014,7,27,139,0,2,0,0,1,0,0,0.115839937416148,0.0415592144415791,"sand/shell",8.2,16.9,22.3,4.9416424226093
"2014_006_07","Mackworth Island - Beach","Mid",2014,7,29,58,0,1,0,0,0,56,10,0.956703815519892,0.577536,"sand/shell",9.7,32.32,18.1,4.07753744390572
"2014_008_07","Mackworth Island - Beach","Mid",2014,8,31,53,0,7,0,0,3,0,0,0.606653718865078,0.2998046875,"mud/shell",8.3,16.5,23.1,3.98898404656427
"2014_010_07","Mackworth Island - Beach","Mid",2014,8,33,58,0,4,2,0,20,800,23,0.527273151449241,0.223626104171361,"sand/gravel",7.7,25.61,18.4,4.07753744390572
"2014_012_07","Mackworth Island - Beach","Mid",2014,8,35,13,0,5,0,0,26,0,0,1.00439490759856,0.569876543209877,"sand/gravel",9.1,19.22,21.4,2.63905732961526
"2015_013_07","Mackworth Island - Beach","Mid",2015,6,24,20,0,0,0,0,9,0,0,0.619376289741447,0.428061831153389,NA,9.2,33.22,13.4,3.04452243772342
"2015_015_07","Mackworth Island - Beach","Mid",2015,6,27,32,1,0,0,0,2,0,0,0.464356625936356,0.205246913580247,NA,9,28.24,16.2,3.49650756146648
"2015_017_07","Mackworth Island - Beach","Mid",2015,7,29,15,0,1,0,0,1,0,0,0.443757284260148,0.214532871972318,NA,9.3,31.79,17,2.77258872223978
"2015_019_07","Mackworth Island - Beach","Mid",2015,7,31,96,0,16,0,4,0,0,0,0.545969299888879,0.294887039239001,NA,9.2,31.17,19.3,4.57471097850338
"2015_021_07","Mackworth Island - Beach","Mid",2015,8,33,36,0,2,0,8,595,0,0,0.303555908124058,0.135056135474748,NA,8.6,33.44,17.6,3.61091791264422
