"loc_id","site_name","bay_location","year","month","week","green.crab","tomcod","winter.flounder","sandlance","mummichog","atlantic.silverside","alewife","atlantic.herring","shannon","simpson","substrate","do_mg.l","salinity_ppt","temp_degc","log.crab"
"2014_001_06","Mackworth Island - North","Mid",2014,6,25,1,6,2,0,0,0,0,0,1.2945451658449,0.644628099173554,"mud/shell",10.4,32.83,15,0.693147180559945
"2014_003_06","Mackworth Island - North","Mid",2014,6,26,2,4,0,0,0,0,0,0,0.636514168294813,0.444444444444444,"mud/shell",10.7,33.1,16.3,1.09861228866811
"2014_005_06","Mackworth Island - North","Mid",2014,7,28,1,4,0,0,0,1,0,0,1.15374194270109,0.612244897959184,"mud/shell",9.3,31.93,16.2,0.693147180559945
"2014_007_06","Mackworth Island - North","Mid",2014,7,30,4,0,1,0,0,0,16,135,0.520457957644461,0.249503022434987,"gravel",9.6,33.48,16,1.6094379124341
"2014_009_06","Mackworth Island - North","Mid",2014,8,32,15,0,2,0,1,3,14,3,1.3863881669823,0.692520775623269,"mud/shell",9.1,30.96,20.1,2.77258872223978
"2014_011_06","Mackworth Island - North","Mid",2014,8,34,5,0,0,0,1,18,117,0,0.571112857926828,0.293848397967909,"sand/gravel",8.7,32.63,17.6,1.79175946922805
"2015_014_06","Mackworth Island - North","Mid",2015,6,25,4,2,1,0,0,0,0,0,1.2130075659799,0.65625,NA,11.8,33.65,15.2,1.6094379124341
"2015_016_06","Mackworth Island - North","Mid",2015,7,28,4,0,0,0,2,4,0,6,1.32088834314932,0.71875,NA,9.6,33,16.8,1.6094379124341
"2015_018_06","Mackworth Island - North","Mid",2015,7,30,3,0,0,0,0,1,0,124,0.360957540199953,0.142013811539318,NA,11.7,33.06,17.9,1.38629436111989
"2015_020_06","Mackworth Island - North","Mid",2015,8,32,5,0,3,0,1,0,0,0,0.936888307539016,0.567901234567901,NA,9.9,33.8,17.4,1.79175946922805
"2015_022_06","Mackworth Island - North","Mid",2015,8,34,16,0,10,0,0,1,0,0,1.22818913340601,0.65916955017301,NA,9.3,32.21,20.8,2.83321334405622
"2015_024_06","Mackworth Island - North","Mid",2015,9,36,22,0,8,0,4,0,0,0,0.978672525723665,0.538775510204082,NA,9.1,34.33,18.1,3.13549421592915
"2015_026_06","Mackworth Island - North","Mid",2015,9,38,6,2,3,0,0,1,0,0,1.46147212930402,0.7421875,NA,NA,NA,NA,1.94591014905531
"2016_028_06","Mackworth Island - North","Mid",2016,6,24,2,0,0,0,0,6,0,2122,0.0268352697534406,0.00748881394784995,"sand",11,30.96,15.5,1.09861228866811
"2016_030_06","Mackworth Island - North","Mid",2016,6,26,2,1,0,0,0,5,0,73,0.41127602964623,0.183203779911599,"sand/shell",10.7,29.9,18.6,1.09861228866811
"2016_032_06","Mackworth Island - North","Mid",2016,7,29,1,0,0,0,0,5,0,0,0.450561208866305,0.277777777777778,"mud/gravel",10.2,30.36,18.8,0.693147180559945
"2016_034_06","Mackworth Island - North","Mid",2016,7,30,10,0,66,0,0,9,0,0,1.03287311531933,0.519742883379247,"mud/shell",13.7,30.89,22.1,2.39789527279837
"2016_036_06","Mackworth Island - North","Mid",2016,8,32,16,0,1,0,22,6,0,0,1.07077559321281,0.616296296296296,NA,9.5,31.62,18.2,2.83321334405622
"2016_038_06","Mackworth Island - North","Mid",2016,9,35,0,0,0,0,1,75,0,0,0.0700542808754984,0.0259695290858726,NA,9,31.67,18.8,0
"2017_040_06","Mackworth Island - North","Mid",2017,6,25,3,0,4,0,0,9,0,1505,0.0687268148320155,0.0208823134024165,NA,13.5,26.78,15,1.38629436111989
"2017_044_06","Mackworth Island - North","Mid",2017,7,29,6,4,2,0,0,0,0,0,1.22786658251046,0.62782401902497,NA,12,27.91,20.8,1.94591014905531
"2017_046_06","Mackworth Island - North","Mid",2017,8,31,3,0,0,0,0,3,0,16,0.920142333848925,0.480151228733459,NA,10,26.75,19,1.38629436111989
"2017_048_06","Mackworth Island - North","Mid",2017,8,34,7,0,3,3,0,0,0,762,0.102147777471256,0.0331554630593131,NA,10.8,30.29,17.9,2.07944154167984
"2018_050_06","Mackworth Island - North","Mid",2018,6,24,0,1,0,0,4,0,0,0,0.500402423538188,0.32,NA,10.6,29.76,15.9,0
"2018_052_06","Mackworth Island - North","Mid",2018,7,28,5,0,15,0,0,0,0,445,0.201583646140731,0.083015377500289,NA,9,30.04,18.9,1.79175946922805
"2020_054_06","Mackworth Island - North","Mid",2020,6,26,6,0,0,0,0,5,0,0,0.689009238476659,0.495867768595041,NA,NA,NA,18.4,1.94591014905531
"2020_055_06","Mackworth Island - North","Mid",2020,7,28,4,0,79,0,0,4,0,325,0.609355778212804,0.343966371380497,NA,NA,NA,21.2,1.6094379124341
"2020_057_06","Mackworth Island - North","Mid",2020,7,28,65,0,2,0,3,2,0,0,0.423838367190215,0.181712962962963,NA,NA,NA,22.9,4.18965474202643
