"loc_id","site_name","bay_location","year","month","week","green.crab","tomcod","winter.flounder","sandlance","mummichog","atlantic.silverside","alewife","atlantic.herring","shannon","simpson","substrate","do_mg.l","salinity_ppt","temp_degc","log.crab"
"2014_001_04","Mussel Cove","Mid",2014,6,25,1,1,0,0,0,0,0,0,0.693147180559945,0.5,"mud",9.8,32.41,17.8,0.693147180559945
"2014_003_04","Mussel Cove","Mid",2014,6,26,0,0,0,0,0,1,0,8,0.639031859650177,0.34,"mud",9,31.62,17.3,0
"2014_006_04","Mussel Cove","Mid",2014,7,29,0,0,0,0,0,2,2,29,0.453350961713525,0.220385674931129,"mud",9.4,33.3,19.4,0
"2014_008_04","Mussel Cove","Mid",2014,8,31,8,0,0,0,0,0,0,0,0,0,"mud",9.1,33.62,22.1,2.19722457733622
"2014_010_04","Mussel Cove","Mid",2014,8,33,0,0,0,0,0,21,0,0,0,0,"mud",8.2,33.24,18.8,0
"2014_012_04","Mussel Cove","Mid",2014,8,35,2,0,0,0,0,26,0,0,0.257318640543832,0.13265306122449,"mud",8.2,33.01,21.6,1.09861228866811
"2015_014_04","Mussel Cove","Mid",2015,6,25,0,0,0,0,0,172,0,0,0.0627602166108864,0.0227242700488837,NA,12,34.46,19,0
"2015_017_04","Mussel Cove","Mid",2015,7,29,2,0,4,0,0,20,0,0,0.94484317886523,0.461734693877551,NA,8.5,33.3,18.4,1.09861228866811
"2015_018_04","Mussel Cove","Mid",2015,7,30,8,0,8,0,226,10,12,0,0.609446431821277,0.26182277318641,NA,9.9,33.26,19.5,2.19722457733622
"2015_020_04","Mussel Cove","Mid",2015,8,32,15,0,5,0,241,15,0,0,0.507630008592206,0.231306448225163,NA,9.4,33.72,19.3,2.77258872223978
"2015_022_04","Mussel Cove","Mid",2015,8,34,0,0,0,0,12,16,0,0,0.682908104700472,0.489795918367347,NA,8.9,14.7,23.2,0
"2015_024_04","Mussel Cove","Mid",2015,9,36,1,0,0,0,0,1174,0,0,0.00686689172246277,0.00170067904028981,NA,9.8,34.48,19.9,0.693147180559945
"2015_026_04","Mussel Cove","Mid",2015,9,38,0,0,0,0,0,61,0,0,0,0,NA,NA,NA,NA,0
"2016_028_04","Mussel Cove","Mid",2016,6,24,10,0,10,0,271,37,0,4,0.674487250450839,0.319331543039628,"mud",11.6,30.87,17.3,2.39789527279837
"2016_032_04","Mussel Cove","Mid",2016,7,29,1,0,1,0,0,16,11,0,0.928045224585833,0.549346016646849,"mud",9.8,31.33,21.5,0.693147180559945
"2016_034_04","Mussel Cove","Mid",2016,7,30,1,0,0,0,188,40,0,0,0.490463194922851,0.295493983715032,"mud",10.9,31.71,24.8,0.693147180559945
"2016_036_04","Mussel Cove","Mid",2016,8,32,0,0,67,0,1618,2014,7,0,0.777633662627246,0.513728994769061,NA,11.9,31.7,24.5,0
"2016_038_04","Mussel Cove","Mid",2016,9,35,8,0,20,0,0,17,0,0,1.11744999097879,0.643667296786389,NA,7.8,31.94,19.3,2.19722457733622
"2017_040_04","Mussel Cove","Mid",2017,6,25,1,0,0,0,0,79,0,0,0.0671968803626978,0.0246875,NA,12.3,29.59,16.3,0.693147180559945
"2017_042_04","Mussel Cove","Mid",2017,7,27,0,0,0,0,0,3,0,422,0.0419995703615902,0.0140179930795847,NA,10.6,30.95,16.6,0
"2017_044_04","Mussel Cove","Mid",2017,7,29,2,0,20,0,4,13,0,2,1.57113449277823,0.736359850062474,NA,10.1,30.44,22.6,1.09861228866811
"2017_046_04","Mussel Cove","Mid",2017,8,31,0,0,0,0,3,42,0,0,0.244930026794635,0.124444444444444,NA,8.9,30.45,20.6,0
"2017_048_04","Mussel Cove","Mid",2017,8,34,1,0,0,0,1310,390,0,0,0.543208986003182,0.35432351063679,NA,6.2,30.85,20.2,0.693147180559945
"2018_050_04","Mussel Cove","Mid",2018,6,24,0,0,0,0,1,0,0,0,0,0,NA,9.1,29.89,16.2,0
"2018_052_04","Mussel Cove","Mid",2018,7,28,0,0,0,436,0,2,0,2,0.0580824386795369,0.0180578512396693,NA,8,30.43,19.2,0
"2020_054_04","Mussel Cove","Mid",2020,6,26,3,0,0,0,478,0,0,0,0.0378843865362803,0.0123962119804115,NA,NA,NA,20.8,1.38629436111989
"2020_058_04","Mussel Cove","Mid",2020,7,30,0,0,5,0,1,575,0,0,0.0621518532019163,0.02047037424347,NA,NA,NA,22.4,0
"2020_061_04","Mussel Cove","Mid",2020,8,32,0,0,0,0,0,25,25,0,0.693147180559945,0.5,NA,NA,NA,NA,0
"2020_063_04","Mussel Cove","Mid",2020,8,34,1,0,0,0,0,1026,0,0,0.00772532638453346,0.00194552344725518,NA,NA,NA,20.5,0.693147180559945
