"loc_id","site_name","bay_location","year","month","week","green.crab","tomcod","winter.flounder","sandlance","mummichog","atlantic.silverside","alewife","atlantic.herring","shannon","simpson","substrate","do_mg.l","salinity_ppt","temp_degc","log.crab"
"2014_002_02","Skitterygusset","Inner",2014,6,25,0,0,0,0,3,3,0,0,1.08219553003877,0.65625,"mud",9.2,0.84,22.4,0
"2014_004_02","Skitterygusset","Inner",2014,7,27,0,0,0,0,29,1,0,0,0.146144746008564,0.0644444444444445,"mud",8.9,0.86,23.4,0
"2014_006_02","Skitterygusset","Inner",2014,7,29,3,0,0,0,0,0,929,0,0.34128189610835,0.179033849783764,"mud",9,3.36,25.2,1.38629436111989
"2014_008_02","Skitterygusset","Inner",2014,8,31,5,0,4,0,198,93,7,0,0.854462200385868,0.49131555772475,"mud",7.3,2.61,25.3,1.79175946922805
"2014_010_02","Skitterygusset","Inner",2014,8,33,11,0,0,0,1,68,0,1,0.585946418572091,0.293872694824509,"mud",6.8,14.7,20.9,2.484906649788
"2014_012_02","Skitterygusset","Inner",2014,8,35,26,0,1,0,0,26,0,0,0.773668895115951,0.518333926664293,"mud",8.2,8.2,23.3,3.29583686600433
"2015_014_02","Skitterygusset","Inner",2015,6,25,2,0,0,0,1,0,0,0,0.636514168294813,0.444444444444444,NA,9.9,28.29,15.2,1.09861228866811
"2015_016_02","Skitterygusset","Inner",2015,7,28,4,0,0,0,0,6,0,0,0.673011667009257,0.48,NA,7,30.48,16.4,1.6094379124341
"2015_018_02","Skitterygusset","Inner",2015,7,30,3,0,0,0,1,64,1,0,0.399004467749026,0.161632653061225,NA,9.3,18.28,22.1,1.38629436111989
"2015_020_02","Skitterygusset","Inner",2015,8,32,5,0,0,0,0,58,117,0,0.744472214527987,0.472901234567901,NA,8.2,24.23,19.7,1.79175946922805
"2015_022_02","Skitterygusset","Inner",2015,8,34,2,0,0,0,384,40,0,0,0.340851992468045,0.178624170689237,NA,8.5,8.72,24.4,1.09861228866811
"2015_024_02","Skitterygusset","Inner",2015,9,36,1,0,0,0,0,210,0,0,0.0300923446103394,0.00943375036499638,NA,8.8,27.89,19.9,0.693147180559945
"2015_026_02","Skitterygusset","Inner",2015,9,38,10,0,0,0,0,212,0,0,0.183658727996572,0.0860319779238699,NA,NA,NA,NA,2.39789527279837
"2016_029_02","Skitterygusset","Inner",2016,6,25,7,0,0,0,0,21,21,4,1.19601850086815,0.662869348522606,NA,11.7,23.03,19.4,2.07944154167984
"2016_031_02","Skitterygusset","Inner",2016,7,28,10,0,0,0,636,0,0,0,0.0798828827078988,0.030480499190062,NA,8.2,26.58,19,2.39789527279837
"2016_035_02","Skitterygusset","Inner",2016,8,31,1,0,0,0,0,3,2,0,1.01140426470735,0.611111111111111,NA,8.5,20.92,19,0.693147180559945
"2016_037_02","Skitterygusset","Inner",2016,8,33,0,0,0,0,353,15,0,0,0.170354739489619,0.0781988421550095,"mud",8.2,13.4,21.6,0
