"loc_id","site_name","bay_location","year","month","week","green.crab","tomcod","winter.flounder","sandlance","mummichog","atlantic.silverside","alewife","atlantic.herring","shannon","simpson","substrate","do_mg.l","salinity_ppt","temp_degc","log.crab"
"2014_004_05","The Brothers - North","Mid",2014,7,27,1,7,0,0,8,0,0,0,0.881532261188164,0.5546875,"mud/gravel",9.8,33.05,21.1,0.693147180559945
"2014_007_05","The Brothers - North","Mid",2014,7,30,0,0,0,0,0,9,2,0,0.474139313057837,0.297520661157025,"mud/shell",9.9,33.42,18,0
"2014_009_05","The Brothers - North","Mid",2014,8,32,4,0,0,0,0,118,3,0,0.298331113321063,0.121315192743764,"sand/gravel",9.2,31.07,20.8,1.6094379124341
"2014_011_05","The Brothers - North","Mid",2014,8,34,0,0,0,0,0,1105,2,0,0.0132165453753779,0.00360684124757538,"sand/gravel",9.7,32.55,18.6,0
"2015_013_05","The Brothers - North","Mid",2015,6,24,0,0,0,0,0,0,0,0,0,0,NA,10.4,33.76,12.9,0
"2015_015_05","The Brothers - North","Mid",2015,6,27,0,0,0,0,0,2,0,1,1.03972077083992,0.625,NA,9.5,30.5,16.5,0
"2015_019_05","The Brothers - North","Mid",2015,7,31,0,0,1,0,0,0,0,0,0,0,NA,9.3,32.17,19.1,0
"2015_023_05","The Brothers - North","Mid",2015,8,35,2,0,0,0,7,0,0,0,0.529706199057654,0.345679012345679,NA,8.8,33.8,20.2,1.09861228866811
"2015_025_05","The Brothers - North","Mid",2015,9,37,1,0,1,0,2,25,0,0,0.544599623682167,0.249702734839477,NA,9.4,34.5,19.5,0.693147180559945
"2015_027_05","The Brothers - North","Mid",2015,9,39,1,0,0,0,122,9,0,0,0.33496876240609,0.153880942958901,NA,12,34.86,17.7,0.693147180559945
"2016_029_05","The Brothers - North","Mid",2016,6,25,0,1,0,0,22,10,0,0,0.849043321562532,0.493079584775087,"gravel/shell",12.6,31.13,16.5,0
"2016_031_05","The Brothers - North","Mid",2016,7,28,2,0,19,0,0,0,0,0,0.731515108414523,0.357638888888889,NA,11,31.46,18.8,1.09861228866811
"2016_033_05","The Brothers - North","Mid",2016,7,29,3,0,6,0,0,94,0,1,0.402889906691824,0.178809171597633,NA,9.4,27.55,24.7,1.38629436111989
"2016_036_05","The Brothers - North","Mid",2016,8,32,0,0,2,0,5,65,0,0,0.377101445870127,0.179398148148148,NA,8.6,31.66,19.1,0
"2017_041_05","The Brothers - North","Mid",2017,6,26,1,2,0,0,0,7,0,0,0.801818552543337,0.46,NA,11.9,30.41,15.4,0.693147180559945
"2017_045_05","The Brothers - North","Mid",2017,7,30,0,0,0,0,0,1,0,0,0,0,NA,11.1,30.16,16.2,0
"2017_049_05","The Brothers - North","Mid",2017,9,37,0,0,0,0,2,2,0,0,1.05492016798614,0.64,NA,10.1,31.2,17,0
"2020_053_05","The Brothers - North","Mid",2020,6,26,2,0,0,0,0,1,0,0,0.636514168294813,0.444444444444444,NA,NA,NA,18,1.09861228866811
"2020_059_05","The Brothers - North","Mid",2020,7,30,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,21.4,0
"2020_061_05","The Brothers - North","Mid",2020,8,32,9,0,9,0,3,14,28,0,1.39560443817605,0.710002519526329,NA,NA,NA,NA,2.30258509299405
"2020_062_05","The Brothers - North","Mid",2020,8,34,2,0,0,1,0,430,2,0,0.0748857357831409,0.0228088254723213,NA,NA,NA,19.7,1.09861228866811
"2020_064_05","The Brothers - North","Mid",2020,9,36,0,0,0,0,0,359,0,0,0,0,NA,NA,NA,19,0
"2021_066_05","The Brothers - North","Mid",2021,6,23,1,0,0,0,0,3,0,21,0.529643502540352,0.2784,NA,NA,NA,NA,0.693147180559945
