"loc_id","site_name","bay_location","year","month","week","green.crab","tomcod","winter.flounder","sandlance","mummichog","atlantic.silverside","alewife","atlantic.herring","shannon","simpson","substrate","do_mg.l","salinity_ppt","temp_degc","log.crab"
"2014_002_12","Alewife Cove","Outer",2014,6,25,0,0,3,1,0,0,0,0,1.242453324894,0.666666666666667,"gravel",10.3,31.89,14.7,0
"2014_006_12","Alewife Cove","Outer",2014,7,29,1,0,2,114,0,0,44,0,0.718353981093521,0.430803231214754,"gravel",10,30.6,13.9,0.693147180559945
"2014_008_12","Alewife Cove","Outer",2014,8,31,2,0,6,923,0,0,0,0,0.0626132496398608,0.019172852695758,"sand/gravel",9.5,33.65,15.5,1.09861228866811
"2014_010_12","Alewife Cove","Outer",2014,8,33,0,0,1,382,0,0,0,0,0.0361876763176443,0.0103759765625,NA,7.8,32.7,15.5,0
"2014_012_12","Alewife Cove","Outer",2014,8,35,0,0,0,3,0,2,0,0,0.673011667009257,0.48,"sand/gravel",8.7,33.44,16.1,0
"2015_018_12","Alewife Cove","Outer",2015,7,30,0,0,3,1,0,0,254,1,0.113666900739257,0.0380733739807099,NA,11.5,33.65,15.5,0
"2015_020_12","Alewife Cove","Outer",2015,8,32,0,1,0,11,0,0,0,0,0.286835983056161,0.152777777777778,NA,9.5,34.23,15.3,0
"2015_022_12","Alewife Cove","Outer",2015,8,34,1,0,3,11,0,0,0,0,0.729871209983116,0.417777777777778,NA,8,34.42,17,0.693147180559945
"2015_024_12","Alewife Cove","Outer",2015,9,36,0,0,0,0,0,0,0,0,0,0,NA,8.5,34.46,16.5,0
"2015_026_12","Alewife Cove","Outer",2015,9,38,0,0,2,89,0,0,0,0,0.105640481601682,0.0429899770559112,NA,NA,NA,16.3,0
"2016_029_12","Alewife Cove","Outer",2016,6,25,1,0,0,1,0,0,0,0,0.693147180559945,0.5,"sand",10.3,30.21,12.8,0.693147180559945
"2016_031_12","Alewife Cove","Outer",2016,7,28,0,0,0,45,0,0,0,0,0,0,NA,11.8,31.5,16,0
"2016_037_12","Alewife Cove","Outer",2016,8,33,1,0,0,0,0,0,0,0,0,0,"sand/gravel",9.9,31.68,17.3,0.693147180559945
"2017_041_12","Alewife Cove","Outer",2017,6,26,0,0,0,1,0,0,0,0,0.693147180559945,0.5,NA,11.8,29.51,13.3,0
"2017_043_12","Alewife Cove","Outer",2017,7,28,0,0,1,1,0,0,0,0,0.693147180559945,0.5,NA,10,25.69,21.1,0
"2017_045_12","Alewife Cove","Outer",2017,7,30,0,0,0,12,0,0,0,0,0.410116318288409,0.244897959183674,NA,14.2,30.23,15.4,0
"2017_047_12","Alewife Cove","Outer",2017,8,32,3,0,1,10,0,1,0,0,0.953271014705891,0.506666666666667,NA,10.9,30.64,15.2,1.38629436111989
"2017_049_12","Alewife Cove","Outer",2017,9,37,0,0,0,25,0,0,0,0,0.450561208866305,0.277777777777778,NA,11.6,31.35,15.3,0
"2018_051_12","Alewife Cove","Outer",2018,6,26,1,0,0,0,0,0,0,0,0,0,NA,9.8,30.3,13.4,0.693147180559945
"2020_054_12","Alewife Cove","Outer",2020,6,26,0,0,0,0,0,0,0,35,0,0,NA,NA,NA,14.6,0
"2020_056_12","Alewife Cove","Outer",2020,7,28,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,16.4,0.693147180559945
"2020_059_12","Alewife Cove","Outer",2020,7,30,0,0,0,16,0,0,0,0,0,0,NA,NA,NA,20.6,0
"2020_061_12","Alewife Cove","Outer",2020,8,32,0,0,0,51,0,0,0,0,0,0,NA,NA,NA,18.2,0
"2020_063_12","Alewife Cove","Outer",2020,8,34,0,0,0,0,0,1,0,45,0.104732439105087,0.0425330812854443,NA,NA,NA,18.1,0
"2020_065_12","Alewife Cove","Outer",2020,9,36,0,0,0,0,0,1,1,0,1.09861228866811,0.666666666666667,NA,NA,NA,17,0
"2021_067_12","Alewife Cove","Outer",2021,6,24,4,0,5,20,0,0,0,0,0.832571261788892,0.475624256837099,NA,16.1,27.08,15.4,1.6094379124341
"2021_069_12","Alewife Cove","Outer",2021,6,26,0,0,3,15,0,0,0,0,0.450561208866305,0.277777777777778,NA,8,29.05,NA,0
"2021_071_12","Alewife Cove","Outer",2021,7,28,0,0,0,2,0,0,0,0,0,0,NA,7.3,25.01,16.4,0
"2021_073_12","Alewife Cove","Outer",2021,7,30,2,0,2,9,0,0,12,0,1.12421623623933,0.6272,NA,10.8,27.41,17,1.09861228866811
"2021_078_12","Alewife Cove","Outer",2021,8,34,1,0,0,1,0,0,0,0,0.693147180559945,0.5,NA,9.2,28.35,18.2,0.693147180559945
"2022_080_12","Alewife Cove","Outer",2022,6,24,0,0,0,0,0,0,0,162,0,0,"sand/gravel",NA,33.3,13.9,0
"2022_087_12","Alewife Cove","Outer",2022,7,29,0,0,1,0,0,0,0,0,0,0,"sand/gravel",NA,34.08,14.11,0
"2022_091_12","Alewife Cove","Outer",2022,8,31,0,0,3,1025,0,0,0,0,0.0199473665133345,0.00581954306651111,"sand/gravel",NA,34.08,15.93,0
"2022_095_12","Alewife Cove","Outer",2022,8,33,1,0,4,545,0,45,0,0,0.320034939031996,0.155237624461549,"sand/gravel",NA,34,17.07,0.693147180559945
"2022_098_12","Alewife Cove","Outer",2022,8,35,0,0,0,208,0,0,0,1,0.0303346319749826,0.00952359149286885,"sand/gravel",NA,33.92,17.18,0
