date,Site,Oyster_ID,Oyster_length_mm,Oyster_width_mm,Whole oyster_weight_g,Wet_shell_weight_g,Wet_meat_weight_g,Dry_shell_weight_g,Dry_meat_weight_g,notes
6/8/2023,Dogs Head,DH_1A,80.47,54.09,42.995,29.084,8.003,26.997,1.215,
6/8/2023,Dogs Head,DH_1B,75.56,52.96,44.767,32.331,9.219,30.412,1.272,
6/8/2023,Dogs Head,DH_1C,65.93,52.9,33.816,21.986,8.684,20.565,1.343,
6/8/2023,Dogs Head,DH_1D,85.16,56.55,57.299,38.988,10.996,36.465,1.421,
6/8/2023,Dogs Head,DH_1E,72.97,53.05,31.909,22.935,6.277,21.993,0.818,
6/8/2023,Snow Island,SI_1A,75.9,59.82,61.946,42.79,10.499,40.636,1.8541,
6/8/2023,Snow Island,SI_1B,72.09,50.64,38.351,25.807,6.133,24.653,0.999,
6/8/2023,Snow Island,SI_1C,91,54.77,49.59,34.322,10.185,31.815,1.187,
6/8/2023,Snow Island,SI_1D,66.41,45.98,32.812,23.062,8.427,21.609,0.821,
6/8/2023,Snow Island,SI_1E,86.69,56.78,55.528,37.218,15.523,35.518,1.628,
6/13/2023,Dogs Head,DH_2A,73.63,52.62,40.318,29.07,8.774,27.863,1.146,
6/13/2023,Dogs Head,DH_2B,63.71,48.37,29.163,20.178,4.11,19.517,0.56,
6/13/2023,Dogs Head,DH_2C,78.06,51.94,48.058,33.481,10.803,31.654,1.849,
6/13/2023,Dogs Head,DH_2D,69.83,57.87,39.451,28.235,7.723,27.196,1.05,
6/13/2023,Dogs Head,DH_2E,70.79,54.41,37.894,25.591,9.791,24.181,1.172,
6/13/2023,Snow Island,SI_2A,66.22,55.31,50.092,37.2,12.892,36.189,0.731,
6/13/2023,Snow Island,SI_2B,80.91,59.71,39.282,26.031,11.021,24.29,0.927,
6/13/2023,Snow Island,SI_2C,78.64,57.81,67.457,49.742,12.796,46.539,1.523,
6/13/2023,Snow Island,SI_2D,70.6,51.77,49.984,37.052,7.798,34.837,0.947,
6/13/2023,Snow Island,SI_2E,81.17,58.85,86.653,61.764,17.021,58.603,2.085,
6/19/2023,Dogs Head,DH_3A,74.47,52.43,50.255,32.549,12.828,30.385,1.244,
6/19/2023,Dogs Head,DH_3B,84.47,51.35,40.661,26.878,10.227,25.216,0.942,
6/19/2023,Dogs Head,DH_3C,88.49,49.43,56.783,38.031,13.776,34.964,2.026,
6/19/2023,Dogs Head,DH_3D,87.7,57.39,60.453,41.074,11.492,38.714,2.076,
6/19/2023,Dogs Head,DH_3E,73.73,61.39,49.594,35.324,8.247,33.291,1.005,meat after 48h
6/19/2023,Snow Island,SI_3A,67.63,56.15,62.575,41.843,11.398,39.708,1.935,
6/19/2023,Snow Island,SI_3B,78.74,49.25,48.032,32.872,9.594,30.651,1.536,
6/19/2023,Snow Island,SI_3C,76.53,47.64,46.89,31.556,9.215,29.961,1.344,
6/19/2023,Snow Island,SI_3D,72.43,48.93,63.573,46.323,9.859,43.307,1.524,
6/19/2023,Snow Island,SI_3E,72.25,44.73,50.62,36.119,9.95,34.387,1.187,
6/26/2023,Dogs Head,DH_4A,76.82,52.24,42.851,30.944,10.025,28.299,1.491,
6/26/2023,Dogs Head,DH_4B,76.4,49.38,37.939,27.025,10.054,25.594,1.653,
6/26/2023,Dogs Head,DH_4C,97.11,58.01,62.821,44.729,15.816,42.333,2.79,
6/26/2023,Dogs Head,DH_4D,72.86,60.65,36.987,25.202,8.487,23.663,1.278,
6/26/2023,Dogs Head,DH_4E,89.08,57.91,61.182,44.625,12.66,41.968,2.293,
6/26/2023,Snow Island,SI_4A,70.58,42.7,30.771,24.406,6.571,22.419,0.841,
6/26/2023,Snow Island,SI_4B,68.18,58.02,47.425,34.471,7.832,32.96,1.167,
6/26/2023,Snow Island,SI_4C,51.84,43.48,23.935,16.398,4.925,14.981,0.318,
6/26/2023,Snow Island,SI_4D,91.87,48.19,63.68,48.742,9.914,45.034,1.462,
6/26/2023,Snow Island,SI_4E,74.54,44.36,42.268,28.724,7.584,27.153,1.031,
7/6/2023,Dogs Head,DH_5A,74.19,57.1,44.927,31.047,11.112,29.765,2.501,
7/6/2023,Dogs Head,DH_5B,64.53,40.56,22.529,14.313,5.622,13.324,0.623,
7/6/2023,Dogs Head,DH_5C,90.78,65.47,56.899,38.813,11.198,36.261,1.575,
7/6/2023,Dogs Head,DH_5D,88.74,66.55,55.812,40.087,11.727,35.8,2.091,
7/6/2023,Dogs Head,DH_5E,86.57,58.39,43.148,29.624,12.201,27.241,2.034,
7/6/2023,Snow Island,SI_5A,70.01,52.4,41.32,28.554,11.241,27.004,1.321,
7/6/2023,Snow Island,SI_5B,83.98,50.3,60.851,42.358,16.653,40.452,2.213,
7/6/2023,Snow Island,SI_5C,80.78,60.68,60.046,38.57,21.43,37.136,3.037,
7/6/2023,Snow Island,SI_5D,79.7,53.69,54.922,36.862,16.062,33.6,2.208,
7/6/2023,Snow Island,SI_5E,63.36,51.77,38.069,27.713,7.608,26.154,1.011,
