site_name,latitude,longitude,collecting_agency
Presumpscot Moorings,43.71546,-70.25923,GMRI
Skitterygusset,43.71458,-70.24791,GMRI
Audubon,43.705967,-70.245789,GMRI
Mussel Cove,43.71143,-70.21814,GMRI
The Brothers - North,43.701058,-70.218932,GMRI
Mackworth Island - North,43.69248,-70.23123,GMRI
Mackworth Island - Beach,43.68958,-70.23572,GMRI
Back Cove,43.67912,-70.26547,GMRI
Great Diamond Island,43.67601,-70.20443,GMRI
SMCC,43.650227,-70.225804,GMRI
Cushing Island,43.64294,-70.20761,GMRI
Alewife Cove,43.59085,-70.21031,GMRI
Orrs Cove,43.83444,-69.91389,QBC
Snow Island,43.81389,-69.90944,QBC
Lowell Cove,43.75917,-69.97556,QBC
Cedar Beach,43.74278,-69.98639,QBC
Garrison Cove,43.74778,-69.99139,QBC
Long Point Cove,43.77472,-69.93889,QBC
