Treatment,Trial ,Time (m),Total,Immobile,Mobile
Control,1,0,455000,295000,160000
Control,1,304,547500,327500,220000
Control,1,417,587500,397500,190000
Control,1,1033,760000,400000,360000
Control,2,0,562500,310000,252500
Control,2,522,567500,510000,57500
Control,2,641,645000,487500,157500
Control,2,1262,667500,472500,195000
Control,3,0,642500,370000,272500
Control,3,252,660000,427500,232500
Control,3,596,697500,357500,340000
Control,3,1583,1125000,432500,692500
1ppb,1,5,380000,195000,185000
1ppb,1,310,420000,210000,210000
1ppb,1,422,427500,200000,227500
1ppb,1,1039,457500,207500,250000
1ppb,2,6,517500,240000,277500
1ppb,2,528,612500,235000,377500
1ppb,2,646,620000,235000,385000
1ppb,2,1271,627500,245000,382500
1ppb,3,23,720000,375000,345000
1ppb,3,259,742500,380000,362500
1ppb,3,601,747500,427500,320000
1ppb,3,1590,927500,415000,512500
10ppb,1,12,575000,337500,237500
10ppb,1,315,740000,472500,267500
10ppb,1,427,755000,380000,375000
10ppb,1,1043,832500,255000,577500
10ppb,2,10,487500,187500,300000
10ppb,2,532,690000,305000,385000
10ppb,2,650,655000,340000,315000
10ppb,2,1271,672500,310000,362500
10ppb,3,28,725000,370000,355000
10ppb,3,265,812500,470000,342500
10ppb,3,606,687500,297500,390000
10ppb,3,1607,770000,330000,440000
100ppb,1,17,517500,300000,217500
100ppb,1,321,560000,295000,265000
100ppb,1,431,687500,302500,385000
100ppb,1,1055,812500,297500,515000
100ppb,2,16,445000,152500,292500
100ppb,2,537,727500,327500,400000
100ppb,2,650,602500,250000,352500
100ppb,2,1276,670000,277500,392500
100ppb,3,34,567500,255000,312500
100ppb,3,271,700000,387500,312500
100ppb,3,612,695000,285000,410000
100ppb,3,1612,885000,335000,550000
10ppb S,1,22,507500,245000,262500
10ppb S,1,326,595000,250000,345000
10ppb S,1,436,527500,245000,282500
10ppb S,1,1060,790000,245000,545000
10ppb S,2,21,555000,205000,350000
10ppb S,2,542,575000,202500,372500
10ppb S,2,661,522500,172500,350000
10ppb S,2,1283,597500,215000,382500
10ppb S,3,37,742500,400000,342500
10ppb S,3,278,820000,407500,412500
10ppb S,3,616,662500,367500,295000
10ppb S,3,1617,1160000,385000,775000
