trip_id,site_number,site_name,species_name,total_catch,notes
1,25,Garrison Cove,atlantic herring,72,
1,25,Garrison Cove,grubby sculpin,7,
1,23,Lowell Cove,green crab,10,
1,23,Lowell Cove,bluefish,14,
1,23,Lowell Cove,atlantic tomcod,3,
1,26,Long Point Cove,green crab,63,
1,26,Long Point Cove,atlantic silverside,1,
1,26,Long Point Cove,mummichog,1,no length- crab ate
2,22,Snow Island,mummichog,58,
2,22,Snow Island,green crab,9,
2,22,Snow Island,atlantic silverside,47,
2,25,Garrison Cove,green crab,4,
2,25,Garrison Cove,atlantic herring,395,
2,28,Stovers Point,atlantic silverside,1,
2,28,Stovers Point,green crab,1,
2,21,Orrs Cove,mummichog,10,
2,21,Orrs Cove,atlantic silverside,2,
2,23,Lowell Cove,green crab,6,
2,23,Lowell Cove,atlantic tomcod,42,
2,23,Lowell Cove,atlantic silverside,1,
2,23,Lowell Cove,winter flounder,1,
2,23,Lowell Cove,mummichog,4,
2,26,Long Point Cove,green crab,4,
2,26,Long Point Cove,atlantic herring,177,
2,26,Long Point Cove,atlantic tomcod,7,
2,26,Long Point Cove,mummichog,2,
2,26,Long Point Cove,atlantic silverside,1,
3,22,Snow Island,mummichog,52,
3,22,Snow Island,green crab,5,
3,22,Snow Island,atlantic silverside,25,
3,21,Orrs Cove,atlantic silverside,41,
3,21,Orrs Cove,threespine stickleback,1,
3,21,Orrs Cove,mummichog,1,
3,28,Stovers Point,green crab,1,
3,28,Stovers Point,atlantic silverside,1,
3,28,Stovers Point,northern pipefish,1,
3,25,Garrison Cove,green crab,5,
3,25,Garrison Cove,grubby sculpin,3,
3,25,Garrison Cove,atlantic herring,1,
3,26,Long Point Cove,green crab,27,
3,26,Long Point Cove,asian shore crab,1,
3,26,Long Point Cove,atlantic herring,109,
3,26,Long Point Cove,atlantic silverside,2,
3,26,Long Point Cove,atlantic tomcod,1,
3,23,Lowell Cove,green crab,10,
3,23,Lowell Cove,atlantic herring,1,
4,26,Long Point Cove ,mummichog,1,
4,22,Snow Island,mummichog,2,
4,22,Snow Island,green crab,1,
4,22,Snow Island,white mullet,1,
4,22,Snow Island,atlantic silverside,7,
4,25,Garrison Cove,atlantic herring,44,
4,25,Garrison Cove,green crab,3,
4,21,Orrs Cove,atlantic silverside,284,
4,21,Orrs Cove,atlantic mackerel,1,
4,21,Orrs Cove,bluefish,1,
4,21,Lowell Cove,mummichog,2,
4,21,Lowell Cove,atlantic tomcod,1,
5,25,Garrison Cove,atlantic herring,100,
5,25,Garrison Cove,green crab,3,
5,25,Garrison Cove,winter flounder,1,
5,25,Garrison Cove,sandlance,1,
5,28,Stovers Point,atlantic silverside,1,
5,28,Stovers Point,green crab,1,
5,22,Snow Island,mummichog,2,
5,22,Snow Island,green crab,15,
5,22,Snow Island,atlantic silverside,4,
5,21,Orrs Cove,bluefish,4,one no len - crab ate
5,21,Orrs Cove,atlantic silverside,26,
5,21,Orrs Cove,green crab,1,
5,26,Long Point Cove,green crab,6,
5,26,Long Point Cove,atlantic herring,18,
5,21,Lowell Cove,bluefish,6,
5,21,Lowell Cove,atlantic tomcod,2,
5,21,Lowell Cove,atlantic herring,18,
5,21,Lowell Cove,green crab,1,
6,25,Garrison Cove,green crab,1,
6,25,Garrison Cove,sandlance,1,
6,25,Garrison Cove ,bluefish,4,
6,25,Garrison Cove,atlantic herring,1,
6,28,Stovers Point,atlantic silverside,1,
6,26,Long Point Cove,green crab,1,
6,23,Lowell Cove,green crab,5,
6,23,Lowell Cove,atlantic herring,1,
6,23,Lowell Cove,bluefish,1,
6,23,Lowell Cove,mummichog,1,
6,22,Snow Island,atlantic silverside,4,
6,22,Snow Island,green crab,5,
6,22,Snow Island,mummichog,3,
6,21,Orrs Cove,atlantic silverside,24,
6,21,Orrs Cove,mummichog,2,
7,28,Stovers Point,green crab,1,
7,25,Garrison Cove,green crab,1,
7,23,Lowell Cove ,green crab,2,
7,23,Lowell Cove,bluefish,11,
7,23,Lowell Cove,atlantic herring,1,
7,26,Long Point Cove,atlantic silverside,33,
7,26,Long Point Cove,green crab,1,
7,21,Orrs Cove,atlantic silverside,175,
7,21,Orrs Cove,bluefish,1,
7,21,Orrs Cove,white mullet,2,
7,22,Snow Island,green crab,4,
7,22,Snow Island,atlantic silverside,382,
7,22,Snow Island,mummichog,19,
8,25,Garrison Cove,winter flounder,1,
8,25,Garrison Cove,green crab,2,
8,28,Stovers Point,atlantic silverside,11,
8,28,Stovers Point,mummichog,1,
8,23,Lowell Cove,atlantic herring,3,
8,26,Long Point Cove ,mummichog,1,
8,26,Long Point Cove ,green crab,4,
8,26,Long Point Cove ,grubby sculpin,1,
8,26,Long Point Cove ,winter flounder,1,
8,21,Orrs Cove,atlantic silverside,219,
8,22,Snow Island,white mullet,32,
8,22,Snow Island,green crab,2,
8,22,Snow Island,atlantic silverside,3,
8,22,Snow Island,mummichog,9,
9,21,Orrs Cove,atlantic herring,1,
9,21,Orrs Cove,atlantic silverside,3,
9,21,Orrs Cove,bluefish,1,
9,22,Snow Island,mummichog,112,
9,22,Snow Island,atlantic silverside,105,
9,22,Snow Island,white mullet,78,
9,22,Snow Island,green crab,1,
9,28,Stovers Point,sandlance,16,
9,28,Stovers Point,atlantic silverside,1,
9,28,Stovers Point,green crab,2,
9,26,Long Point Cove,green crab,4,
9,26,Long Point Cove,atlantic silverside,218,
9,26,Long Point Cove,atlantic herring,2,
9,26,Long Point Cove,mummichog ,2,
9,23,Lowell Cove,green crab,1,
9,23,Lowell Cove,atlantic herring,5,
9,23,Lowell Cove,permit,1,
9,25,Garrison Cove,green crab,3,
10,28,Stovers Point,mummichog,3,
10,28,Stovers Point,atlantic silverside,2,
10,25,Garrison Cove,sandlance,1,
10,21,Orrs Cove,mummichog,6,
