fish_id,trip_id,site_number,site_name,sample_id,species_name,species_code,sex,field_length_mm,lab_length_mm,weight_g,notes
,1,25,Garrison Cove,,atlantic herring,ah,,47,,,
,1,25,Garrison Cove,,atlantic herring,ah,,47,,,
,1,25,Garrison Cove,,atlantic herring,ah,,46,,,
,1,25,Garrison Cove,,atlantic herring,ah,,53,,,
,1,25,Garrison Cove,,atlantic herring,ah,,45,,,
,1,25,Garrison Cove,,atlantic herring,ah,,50,,,
,1,25,Garrison Cove,,atlantic herring,ah,,47,,,
,1,25,Garrison Cove,,atlantic herring,ah,,54,,,
,1,25,Garrison Cove,,atlantic herring,ah,,55,,,
,1,25,Garrison Cove,,atlantic herring,ah,,53,,,
,1,25,Garrison Cove,,atlantic herring,ah,,51,,,
,1,25,Garrison Cove,,atlantic herring,ah,,51,,,
,1,25,Garrison Cove,,atlantic herring,ah,,55,,,
,1,25,Garrison Cove,,atlantic herring,ah,,48,,,
,1,25,Garrison Cove,,atlantic herring,ah,,45,,,
,1,25,Garrison Cove,,atlantic herring,ah,,49,,,
,1,25,Garrison Cove,,atlantic herring,ah,,48,,,
,1,25,Garrison Cove,,atlantic herring,ah,,54,,,
,1,25,Garrison Cove,,atlantic herring,ah,,48,,,
,1,25,Garrison Cove,,atlantic herring,ah,,47,,,
,1,25,Garrison Cove,,atlantic herring,ah,,49,,,
,1,25,Garrison Cove,,atlantic herring,ah,,49,,,
,1,25,Garrison Cove,,atlantic herring,ah,,45,,,
,1,25,Garrison Cove,,atlantic herring,ah,,48,,,
,1,25,Garrison Cove,,atlantic herring,ah,,47,,,
,1,25,Garrison Cove,,grubby sculpin,gs,,33,,,
,1,25,Garrison Cove,,grubby sculpin,gs,,29,,,
,1,25,Garrison Cove,,grubby sculpin,gs,,31,,,
,1,25,Garrison Cove,,grubby sculpin,gs,,30,,,
,1,25,Garrison Cove,,grubby sculpin,gs,,31,,,
,1,25,Garrison Cove,,grubby sculpin,gs,,34,,,
,1,25,Garrison Cove,,grubby sculpin,gs,,33,,,
,1,23,Lowell Cove,,green crab,cg,m,19,,,
,1,23,Lowell Cove,,green crab,cg,f,41,,,
,1,23,Lowell Cove,,green crab,cg,m,37,,,
,1,23,Lowell Cove,,green crab,cg,m,38,,,
,1,23,Lowell Cove,,green crab,cg,m,19,,,
,1,23,Lowell Cove,,green crab,cg,m,41,,,
,1,23,Lowell Cove,,green crab,cg,m,20,,,
,1,23,Lowell Cove,,green crab,cg,m,29,,,
,1,23,Lowell Cove,,green crab,cg,m,15,,,
,1,23,Lowell Cove,,green crab,cg,m,6,,,
,1,23,Lowell Cove,,green crab,cg,f,41,,,
,1,23,Lowell Cove,,atlantic herring,ah,,52,,,
,1,23,Lowell Cove,,atlantic herring,ah,,46,,,
,1,23,Lowell Cove,,atlantic herring,ah,,46,,,
,1,23,Lowell Cove,,atlantic herring,ah,,33,,,
,1,23,Lowell Cove,,atlantic herring,ah,,47,,,
,1,23,Lowell Cove,,atlantic herring,ah,,45,,,
,1,23,Lowell Cove,,atlantic herring,ah,,47,,,
,1,23,Lowell Cove,,atlantic herring,ah,,49,,,
,1,23,Lowell Cove,,atlantic herring,ah,,47,,,
,1,23,Lowell Cove,,atlantic herring,ah,,47,,,
,1,23,Lowell Cove,,atlantic herring,ah,,46,,,
,1,23,Lowell Cove,,atlantic herring,ah,,41,,,
,1,23,Lowell Cove,,atlantic herring,ah,,47,,,
,1,23,Lowell Cove,,atlantic herring,ah,,45,,,
,1,23,Lowell Cove,,atlantic tomcod,tom,,39,,,
,1,23,Lowell Cove,,atlantic tomcod,tom,,39,,,
,1,23,Lowell Cove,,atlantic tomcod,tom,,33,,,
,1,26,Long Point Cove,,green crab,gc,f,40,,,
,1,26,Long Point Cove,,green crab,gc,m,1,,,
,1,26,Long Point Cove,,green crab,gc,m,22,,,
,1,26,Long Point Cove,,green crab,gc,f,40,,,
,1,26,Long Point Cove,,green crab,gc,f,24,,,
,1,26,Long Point Cove,,green crab,gc,m,3,,,
,1,26,Long Point Cove,,green crab,gc,f,38,,,
,1,26,Long Point Cove,,green crab,gc,m,5,,,
,1,26,Long Point Cove,,green crab,gc,f,42,,,
,1,26,Long Point Cove,,green crab,gc,m,1,,,
,1,26,Long Point Cove,,green crab,gc,m,48,,,
,1,26,Long Point Cove,,green crab,gc,m,6,,,
,1,26,Long Point Cove,,green crab,gc,m,30,,,
,1,26,Long Point Cove,,green crab,gc,m,27,,,
,1,26,Long Point Cove,,green crab,gc,m,6,,,
,1,26,Long Point Cove,,green crab,gc,m,20,,,
,1,26,Long Point Cove,,green crab,gc,m,25,,,
,1,26,Long Point Cove,,green crab,gc,m,20,,,
,1,26,Long Point Cove,,green crab,gc,m,12,,,
,1,26,Long Point Cove,,green crab,gc,f,35,,,
,1,26,Long Point Cove,,green crab,gc,m,10,,,
,1,26,Long Point Cove,,green crab,gc,m,10,,,
,1,26,Long Point Cove,,green crab,gc,f,14,,,
,1,26,Long Point Cove,,green crab,gc,f,3,,,
,1,26,Long Point Cove,,green crab,gc,m,25,,,
,1,26,Long Point Cove,,atlantic silverside,asv,,105,,,
,2,22,Snow Island,,green crab,gc,m,40,,,
,2,22,Snow Island,,green crab,gc,m,25,,,
,2,22,Snow Island,,green crab,gc,m,20,,,
,2,22,Snow Island,,green crab,gc,f,48,,,
,2,22,Snow Island,,green crab,gc,m,45,,,
,2,22,Snow Island,,green crab,gc,m,62,,,
,2,22,Snow Island,,green crab,gc,m,10,,,
,2,22,Snow Island,,green crab,gc,m,60,,,
,2,22,Snow Island,,green crab,gc,m,30,,,
,2,22,Snow Island,,mummichog,mmg,,55,,,
,2,22,Snow Island,,mummichog,mmg,,50,,,
,2,22,Snow Island,,mummichog,mmg,,56,,,
,2,22,Snow Island,,mummichog,mmg,,55,,,
,2,22,Snow Island,,mummichog,mmg,,60,,,
,2,22,Snow Island,,mummichog,mmg,,64,,,
,2,22,Snow Island,,mummichog,mmg,,56,,,
,2,22,Snow Island,,mummichog,mmg,,61,,,
,2,22,Snow Island,,mummichog,mmg,,59,,,
,2,22,Snow Island,,mummichog,mmg,,61,,,
,2,22,Snow Island,,mummichog,mmg,,65,,,
,2,22,Snow Island,,mummichog,mmg,,66,,,
,2,22,Snow Island,,mummichog,mmg,,55,,,
,2,22,Snow Island,,mummichog,mmg,,57,,,
,2,22,Snow Island,,mummichog,mmg,,71,,,
,2,22,Snow Island,,mummichog,mmg,,62,,,
,2,22,Snow Island,,mummichog,mmg,,64,,,
,2,22,Snow Island,,mummichog,mmg,,60,,,
,2,22,Snow Island,,mummichog,mmg,,56,,,
,2,22,Snow Island,,mummichog,mmg,,59,,,
,2,22,Snow Island,,mummichog,mmg,,60,,,
,2,22,Snow Island,,mummichog,mmg,,60,,,
,2,22,Snow Island,,mummichog,mmg,,48,,,
,2,22,Snow Island,,mummichog,mmg,,49,,,
,2,22,Snow Island,,mummichog,mmg,,66,,,
,2,22,Snow Island,,Atlantic Silverside,asv,,100,,,
,2,22,Snow Island,,Atlantic Silverside,asv,,112,,,
,2,22,Snow Island,,Atlantic Silverside,asv,,85,,,
,2,22,Snow Island,,Atlantic Silverside,asv,,114,,,
,2,22,Snow Island,,Atlantic Silverside,asv,,95,,,
,2,22,Snow Island,,Atlantic Silverside,asv,,109,,,
,2,22,Snow Island,,Atlantic Silverside,asv,,95,,,
,2,22,Snow Island,,Atlantic Silverside,asv,,110,,,
