"year","species","abund.per.100cum"
2014,"Euphausiids",15622266.7573827
2014,"LgCopepods",613335806.773351
2014,"SmCopepods",2489149808.13985
2014,"TotalHerringFood",3118107881.67058
2015,"Euphausiids",27925770.0960275
2015,"LgCopepods",1245206104.58221
2015,"SmCopepods",4983182840.0868
2015,"TotalHerringFood",6256314714.76504
2016,"Euphausiids",4882618.4800885
2016,"LgCopepods",990988935.525033
2016,"SmCopepods",6213470103.32553
2016,"TotalHerringFood",7209341657.33065
2017,"Euphausiids",12810454.6023489
2017,"LgCopepods",749524641.610215
2017,"SmCopepods",2767301905.29312
2017,"TotalHerringFood",3529637001.50568
2018,"Euphausiids",20599506.9905739
2018,"LgCopepods",1108695958.90968
2018,"SmCopepods",6920771644.28549
2018,"TotalHerringFood",8050067110.18574
2019,"Euphausiids",4929546.7184095
2019,"LgCopepods",373970734.556772
2019,"SmCopepods",1526910532.94647
2019,"TotalHerringFood",1905810814.22165
2020,"Euphausiids",25926589.690008
2020,"LgCopepods",604022803.665236
2020,"SmCopepods",1871087775.57234
2020,"TotalHerringFood",2501037168.92758
2021,"Euphausiids",17640832.3054943
2021,"LgCopepods",370724868.415491
2021,"SmCopepods",1701355452.43448
2021,"TotalHerringFood",2089721153.15547
2022,"Euphausiids",9027199.71974009
2022,"LgCopepods",607474693.447193
2022,"SmCopepods",2769514133.12026
2022,"TotalHerringFood",3386016026.28719
