Date,Simple Date,Outdoor Temperature (??F),Feels Like (??F),Wind Speed (mph),Wind Gust (mph),Max Daily Gust (mph),Wind Direction (??),Rain Rate (in/hr),Event Rain (in),Daily Rain (in),Weekly Rain (in),Monthly Rain (in),Total Rain (in),Relative Pressure (inHg),Humidity (%),Ultra-Violet Radiation Index,Solar Radiation (W/m^2),Absolute Pressure (inHg),CO2 battery
2025-08-08T10:15:00-04:00,8/8/2025 10:15,68.9,68.7,5.6,5.8,8.1,177,0,0,0,0,0.1,180.87,30.58,68,4,450.2,30.16,1
2025-08-08T10:10:00-04:00,8/8/2025 10:10,68.7,68.6,5.8,5.8,8.1,177,0,0,0,0,0.1,180.87,30.58,71,3,401.3,30.16,1
2025-08-08T10:06:00-04:00,8/8/2025 10:06,68.4,68.3,3.4,3.4,8.1,170,0,0,0,0,0.1,180.87,30.58,71,4,425.5,30.16,1
2025-08-08T10:00:00-04:00,8/8/2025 10:00,67.6,67.6,5.6,5.8,8.1,180,0,0,0,0,0.1,180.87,30.58,78,4,492.3,30.16,1
2025-08-08T09:55:00-04:00,8/8/2025 09:55,68.2,68.1,7.8,8.1,8.1,216,0,0,0,0,0.1,180.87,30.58,72,4,484.9,30.16,1
2025-08-08T09:50:00-04:00,8/8/2025 09:50,68,68,6.3,6.9,6.9,215,0,0,0,0,0.1,180.87,30.57,72,4,484.4,30.15,1
2025-08-08T09:46:00-04:00,8/8/2025 09:46,68.2,68.1,5.8,5.8,6.9,212,0,0,0,0,0.1,180.87,30.57,72,4,485.4,30.15,1
2025-08-08T09:40:00-04:00,8/8/2025 09:40,69.8,69.7,4.9,5.8,5.8,204,0,0,0,0,0.1,180.87,30.57,68,4,498.4,30.15,1
2025-08-08T09:35:00-04:00,8/8/2025 09:35,69.8,69.6,3.4,3.4,5.8,197,0,0,0,0,0.1,180.87,30.57,67,4,479.3,30.15,1
2025-08-08T09:30:00-04:00,8/8/2025 09:30,70,69.8,3.4,4.5,5.8,202,0,0,0,0,0.1,180.87,30.58,67,4,470.1,30.16,1
2025-08-08T09:25:00-04:00,8/8/2025 09:25,69.8,69.6,2.7,3.4,5.8,189,0,0,0,0,0.1,180.87,30.58,67,4,464.5,30.16,1
2025-08-08T09:20:00-04:00,8/8/2025 09:20,69.6,69.4,2.7,3.4,5.8,196,0,0,0,0,0.1,180.87,30.57,66,4,449.3,30.15,1
2025-08-08T09:15:00-04:00,8/8/2025 09:15,69.1,68.8,3.4,3.4,5.8,199,0,0,0,0,0.1,180.87,30.57,66,4,426.3,30.15,1
2025-08-08T09:10:00-04:00,8/8/2025 09:10,68.9,68.5,3.6,4.5,5.8,203,0,0,0,0,0.1,180.87,30.57,65,3,408.6,30.15,1
2025-08-08T09:05:00-04:00,8/8/2025 09:05,68.7,68.3,4,4.5,5.8,207,0,0,0,0,0.1,180.87,30.57,65,3,370.8,30.15,1
2025-08-08T09:00:00-04:00,8/8/2025 09:00,68.5,68.2,3.4,3.4,5.8,204,0,0,0,0,0.1,180.87,30.57,66,3,380.3,30.15,1
2025-08-08T08:55:00-04:00,8/8/2025 08:55,68.4,68,4,4.5,5.8,205,0,0,0,0,0.1,180.87,30.57,66,2,304,30.15,1
2025-08-08T08:50:00-04:00,8/8/2025 08:50,68.5,68.2,3.8,4.5,5.8,197,0,0,0,0,0.1,180.87,30.57,66,3,357.3,30.15,1
2025-08-08T08:45:00-04:00,8/8/2025 08:45,68,68,2.7,3.4,5.8,200,0,0,0,0,0.1,180.87,30.57,67,3,351.4,30.15,1
2025-08-08T08:40:00-04:00,8/8/2025 08:40,67.8,67.8,3.4,3.4,5.8,203,0,0,0,0,0.1,180.87,30.57,68,3,308.4,30.15,1
2025-08-08T08:35:00-04:00,8/8/2025 08:35,67.8,67.8,3.4,3.4,5.8,157,0,0,0,0,0.1,180.87,30.57,68,1,151,30.15,1
2025-08-08T08:30:00-04:00,8/8/2025 08:30,67.5,67.5,3.4,3.4,5.8,157,0,0,0,0,0.1,180.87,30.58,68,1,142.6,30.16,1
2025-08-08T08:25:00-04:00,8/8/2025 08:25,66.7,66.7,2.2,2.2,5.8,157,0,0,0,0,0.1,180.87,30.58,70,1,135.7,30.16,1
2025-08-08T08:20:00-04:00,8/8/2025 08:20,66.4,66.4,2.2,2.2,5.8,157,0,0,0,0,0.1,180.87,30.57,71,1,126.6,30.15,1
2025-08-08T08:15:00-04:00,8/8/2025 08:15,66.4,66.4,2.5,3.4,5.8,157,0,0,0,0,0.1,180.87,30.57,73,1,126.1,30.15,1
2025-08-08T08:10:00-04:00,8/8/2025 08:10,66.4,66.4,2.2,2.2,5.8,157,0,0,0,0,0.1,180.87,30.57,72,1,126.6,30.15,1
2025-08-08T08:05:00-04:00,8/8/2025 08:05,66.4,66.4,2.2,2.2,5.8,157,0,0,0,0,0.1,180.87,30.57,72,1,122.7,30.15,1
2025-08-08T08:00:00-04:00,8/8/2025 08:00,65.7,65.7,3.4,3.4,5.8,157,0,0,0,0,0.1,180.87,30.57,73,1,121.4,30.15,1
2025-08-08T07:55:00-04:00,8/8/2025 07:55,65.5,65.5,3.4,3.4,5.8,157,0,0,0,0,0.1,180.87,30.57,74,2,205.5,30.15,1
2025-08-08T07:50:00-04:00,8/8/2025 07:50,65.8,65.8,2.2,2.2,5.8,156,0,0,0,0,0.1,180.87,30.57,76,1,194.3,30.15,1
2025-08-08T07:45:00-04:00,8/8/2025 07:45,65.7,65.7,2.2,2.2,5.8,156,0,0,0,0,0.1,180.87,30.56,75,1,181.3,30.14,1
