date [EST],CDOM [QSDE],current speed [mm/s],fluorescence [ug/L],salinity [PSU],temperature [C]
6/1/2025 00:00,3.07,342.599,18.32,28.43,11.55
6/1/2025 01:00,3.04,399.626,7.86,28.55,10.81
6/1/2025 02:00,2.94,309.479,8.39,28.54,10.82
6/1/2025 03:00,2.92,235.036,15.54,28.45,10.56
6/1/2025 04:00,3.34,59.683,8.69,,
6/1/2025 05:00,3.07,171.652,9.77,28.52,10.99
6/1/2025 06:00,3.07,283.786,10.43,28.53,10.9
6/1/2025 07:00,3.36,213.81,11.29,28.51,11.15
6/1/2025 08:00,3.34,138.161,8.31,28.49,11.23
6/1/2025 09:00,3.28,54.8948,8.06,28.48,11.39
6/1/2025 10:00,3.3,109.269,7.05,28.5,11.48
6/1/2025 11:00,3.16,159.154,7.11,28.51,11.59
6/1/2025 12:00,2.84,217.703,12.49,28.51,11.37
6/1/2025 13:00,2.86,158.586,5.42,28.55,11.14
6/1/2025 14:00,2.83,178.603,6.65,28.55,10.99
6/1/2025 15:00,2.83,184.636,19.1,28.6,10.91
6/1/2025 16:00,3.02,97.2175,7.51,28.6,11.38
6/1/2025 17:00,2.95,97.8254,8.19,28.61,11.28
6/1/2025 18:00,2.92,111.555,11.88,28.61,11.15
6/1/2025 19:00,3.08,165.735,13.61,28.61,11.11
6/1/2025 20:00,3.19,176.313,9.75,28.53,11.59
6/1/2025 21:00,3.14,42.784,9.91,28.54,11.5
6/1/2025 22:00,3.22,19.9701,9.71,28.53,11.46
6/1/2025 23:00,3.13,104.183,9.55,28.52,11.46
6/2/2025 00:00,2.97,177.767,14.85,28.54,11.19
6/2/2025 01:00,3.05,144.478,8.93,28.57,11.04
6/2/2025 02:00,2.95,160.322,9.67,28.58,10.91
6/2/2025 03:00,3.04,90.5983,9.94,28.59,10.87
6/2/2025 04:00,3.27,23.2337,9.14,,
6/2/2025 05:00,3.16,111.221,10.32,28.6,10.8
6/2/2025 06:00,3.04,188.838,7.86,28.6,10.79
6/2/2025 07:00,3.14,219.192,5.16,28.51,11.3
6/2/2025 08:00,3.14,170.887,8.45,28.51,11.51
6/2/2025 09:00,3.41,95.3166,5.84,28.45,11.95
6/2/2025 10:00,3.2,53.2982,7.59,28.51,12.01
6/2/2025 11:00,3.25,59.7385,6,28.5,11.99
6/2/2025 12:00,3.05,160.17,15.14,28.53,12.22
6/2/2025 13:00,2.96,181.096,4.74,28.52,11.96
6/2/2025 14:00,2.93,136.631,6.38,28.57,11.68
6/2/2025 15:00,2.78,159.347,20.75,28.64,11.54
6/2/2025 16:00,2.83,120.817,5.56,28.64,11.7
6/2/2025 17:00,2.76,47.6702,8.68,28.65,11.52
6/2/2025 18:00,2.94,68.8832,10.46,28.61,11.74
6/2/2025 19:00,2.95,112.336,10.04,28.64,11.84
6/2/2025 20:00,2.91,78.9643,10.34,28.6,12.05
6/2/2025 21:00,3.2,73.6165,9.52,28.53,12.05
6/2/2025 22:00,3.22,13.234,9.68,28.53,11.99
6/2/2025 23:00,3.19,62.8128,10.05,28.56,11.93
6/3/2025 00:00,3.23,57.7759,9.83,28.53,12.03
6/3/2025 01:00,3.17,196.71,9.93,28.59,11.8
6/3/2025 02:00,3.02,221.949,9.28,28.66,11.55
6/3/2025 03:00,3.36,181.069,9.31,28.67,11.27
6/3/2025 04:00,3.22,79.0051,9.05,,
6/3/2025 05:00,3.07,111.366,8.8,28.6,11.5
6/3/2025 06:00,3.26,55.6,6.96,28.6,11.54
6/3/2025 07:00,3.39,146.503,6.71,28.61,11.56
6/3/2025 08:00,3.08,254.369,19.85,28.58,11.84
6/3/2025 09:00,3.07,200.278,8.1,28.58,12.04
6/3/2025 10:00,3.32,115.16,6.08,28.54,12.49
